row,col,data
2, 30321, 1.0
7, 3, 1.0
8, 30321, 1.0
10, 30321, 1.0
12, 30321, 1.0
13, 30321, 1.0
14, 1, 1.0
15, 30321, 1.0
16, 30321, 1.0
17, 30323, 1.0
18, 30321, 1.0
19, 30321, 1.0
20, 30321, 1.0
21, 30322, 1.0
22, 30321, 1.0
23, 30322, 1.0
26, 30320, 1.0
27, 30321, 1.0
28, 30320, 1.0
31, 1, 1.0
32, 30321, 1.0
33, 30323, 1.0
34, 30321, 1.0
35, 0, 1.0
36, 30320, 1.0
37, 30323, 1.0
38, 30321, 1.0
39, 30321, 1.0
40, 0, 1.0
41, 0, 1.0
42, 30320, 1.0
43, 2, 1.0
44, 2, 1.0
45, 30321, 1.0
46, 30321, 1.0
47, 30321, 1.0
48, 30320, 1.0
49, 2, 1.0
50, 30322, 1.0
51, 30323, 1.0
52, 1, 1.0
53, 30323, 1.0
54, 30318, 1.0
55, 30321, 1.0
56, 30322, 1.0
57, 30322, 1.0
58, 3, 1.0
59, 30322, 1.0
60, 30325, 1.0
61, 30322, 1.0
62, 30323, 1.0
63, 30322, 1.0
64, 0, 1.0
65, 30321, 1.0
66, 30323, 1.0
67, 30322, 1.0
68, 30321, 1.0
69, 1, 1.0
70, 30325, 1.0
71, 30321, 1.0
72, 30320, 1.0
73, 30323, 1.0
74, 30322, 1.0
75, 1, 1.0
76, 30323, 1.0
77, 30322, 1.0
78, 30323, 1.0
79, 2, 1.0
80, 30323, 1.0
81, 30322, 1.0
82, 30322, 1.0
83, 1, 1.0
84, 30322, 1.0
85, 30322, 1.0
86, 30321, 1.0
87, 30320, 1.0
88, 30320, 1.0
89, 30322, 1.0
90, 3, 1.0
91, 30321, 1.0
92, 30320, 1.0
93, 30323, 1.0
94, 30321, 1.0
95, 30323, 1.0
96, 30320, 1.0
97, 30320, 1.0
98, 0, 1.0
99, 30320, 1.0
100, 30321, 1.0
101, 1, 1.0
102, 1, 1.0
103, 30322, 1.0
104, 30321, 1.0
105, 30320, 1.0
106, 0, 1.0
107, 30323, 1.0
108, 30321, 1.0
109, 30322, 1.0
110, 3, 1.0
111, 2, 1.0
112, 1, 1.0
113, 30321, 1.0
114, 30323, 1.0
115, 30323, 1.0
116, 30320, 1.0
117, 30323, 1.0
118, 30322, 1.0
119, 30322, 1.0
120, 30322, 1.0
121, 30323, 1.0
122, 30321, 1.0
123, 30321, 1.0
124, 30321, 1.0
125, 30323, 1.0
126, 30323, 1.0
127, 30323, 1.0
128, 30321, 1.0
129, 30322, 1.0
130, 0, 1.0
131, 1, 1.0
132, 30321, 1.0
133, 30323, 1.0
134, 30321, 1.0
135, 30321, 1.0
136, 30322, 1.0
137, 30322, 1.0
138, 30321, 1.0
139, 30322, 1.0
140, 0, 1.0
141, 30321, 1.0
142, 30322, 1.0
143, 30321, 1.0
144, 30323, 1.0
145, 30320, 1.0
146, 30323, 1.0
147, 0, 1.0
148, 30320, 1.0
149, 30322, 1.0
150, 30320, 1.0
151, 30322, 1.0
152, 1, 1.0
153, 30321, 1.0
154, 30322, 1.0
155, 30323, 1.0
156, 30322, 1.0
157, 30323, 1.0
158, 30321, 1.0
159, 30322, 1.0
160, 30323, 1.0
161, 1, 1.0
162, 30321, 1.0
163, 1, 1.0
164, 2, 1.0
165, 30322, 1.0
166, 30323, 1.0
167, 1, 1.0
168, 30323, 1.0
169, 3, 1.0
170, 1, 1.0
171, 2, 1.0
172, 30323, 1.0
173, 30322, 1.0
174, 0, 1.0
175, 30323, 1.0
176, 3, 1.0
177, 1, 1.0
178, 1, 1.0
179, 30321, 1.0
180, 1, 1.0
181, 30323, 1.0
182, 30323, 1.0
183, 30320, 1.0
184, 30322, 1.0
185, 30320, 1.0
186, 30320, 1.0
187, 30320, 1.0
188, 30322, 1.0
189, 30320, 1.0
190, 30323, 1.0
191, 30320, 1.0
192, 30321, 1.0
193, 30322, 1.0
194, 30321, 1.0
195, 0, 1.0
196, 1, 1.0
197, 0, 1.0
198, 3, 1.0
199, 1, 1.0
200, 2, 1.0
201, 30321, 1.0
202, 30323, 1.0
203, 30323, 1.0
204, 30322, 1.0
205, 30320, 1.0
206, 30321, 1.0
207, 30320, 1.0
208, 30321, 1.0
209, 30321, 1.0
210, 30322, 1.0
211, 30322, 1.0
212, 2, 1.0
213, 30320, 1.0
214, 30321, 1.0
215, 30321, 1.0
216, 30321, 1.0
217, 30323, 1.0
218, 30323, 1.0
219, 30320, 1.0
220, 30325, 1.0
221, 30325, 1.0
222, 30321, 1.0
223, 30322, 1.0
224, 30321, 1.0
225, 30325, 1.0
226, 1, 1.0
227, 30322, 1.0
228, 30323, 1.0
229, 30320, 1.0
230, 30320, 1.0
231, 30321, 1.0
232, 30323, 1.0
233, 30321, 1.0
234, 1, 1.0
235, 30323, 1.0
236, 30320, 1.0
237, 1, 1.0
238, 30321, 1.0
239, 30322, 1.0
240, 30322, 1.0
241, 30321, 1.0
242, 3, 1.0
243, 30321, 1.0
244, 3, 1.0
245, 30322, 1.0
246, 3, 1.0
247, 30321, 1.0
248, 30322, 1.0
249, 2, 1.0
250, 1, 1.0
251, 0, 1.0
252, 1, 1.0
253, 3, 1.0
254, 30321, 1.0
255, 30322, 1.0
256, 30323, 1.0
257, 30320, 1.0
258, 30323, 1.0
259, 2, 1.0
260, 30320, 1.0
261, 3, 1.0
262, 30323, 1.0
263, 1, 1.0
264, 1, 1.0
265, 30320, 1.0
266, 30321, 1.0
267, 0, 1.0
268, 30322, 1.0
269, 30322, 1.0
270, 30320, 1.0
271, 30321, 1.0
272, 3, 1.0
273, 30322, 1.0
274, 30322, 1.0
275, 30321, 1.0
276, 30321, 1.0
277, 3, 1.0
278, 30323, 1.0
279, 30320, 1.0
280, 3, 1.0
281, 30322, 1.0
282, 30322, 1.0
283, 30322, 1.0
284, 30320, 1.0
285, 30322, 1.0
286, 30323, 1.0
287, 30321, 1.0
288, 0, 1.0
289, 3, 1.0
290, 30322, 1.0
291, 30321, 1.0
292, 30323, 1.0
293, 0, 1.0
294, 30323, 1.0
295, 30321, 1.0
296, 0, 1.0
297, 30320, 1.0
298, 1, 1.0
299, 0, 1.0
300, 2, 1.0
301, 30322, 1.0
302, 30318, 1.0
303, 0, 1.0
304, 30325, 1.0
305, 30321, 1.0
306, 30321, 1.0
307, 3, 1.0
308, 30320, 1.0
309, 1, 1.0
310, 30320, 1.0
311, 0, 1.0
312, 3, 1.0
313, 3, 1.0
314, 30322, 1.0
315, 30322, 1.0
316, 30323, 1.0
317, 1, 1.0
318, 30323, 1.0
319, 30322, 1.0
320, 30321, 1.0
321, 30321, 1.0
322, 0, 1.0
323, 30323, 1.0
324, 1, 1.0
325, 3, 1.0
326, 30323, 1.0
327, 0, 1.0
328, 0, 1.0
329, 0, 1.0
330, 30320, 1.0
331, 30320, 1.0
332, 2, 1.0
333, 30320, 1.0
334, 1, 1.0
335, 30320, 1.0
336, 30320, 1.0
337, 30320, 1.0
338, 30323, 1.0
339, 1, 1.0
340, 30321, 1.0
341, 0, 1.0
342, 30321, 1.0
343, 30322, 1.0
344, 1, 1.0
345, 1, 1.0
346, 30320, 1.0
347, 30321, 1.0
348, 30323, 1.0
349, 2, 1.0
350, 0, 1.0
351, 30322, 1.0
352, 30320, 1.0
353, 30321, 1.0
354, 30320, 1.0
355, 3, 1.0
356, 0, 1.0
357, 30323, 1.0
358, 30321, 1.0
359, 0, 1.0
360, 30323, 1.0
361, 30320, 1.0
362, 30321, 1.0
363, 30320, 1.0
364, 1, 1.0
365, 0, 1.0
366, 1, 1.0
367, 0, 1.0
368, 2, 1.0
369, 30321, 1.0
370, 1, 1.0
371, 30320, 1.0
372, 30323, 1.0
373, 1, 1.0
374, 3, 1.0
375, 30321, 1.0
376, 30320, 1.0
377, 30322, 1.0
378, 1, 1.0
379, 30323, 1.0
380, 0, 1.0
381, 1, 1.0
382, 30321, 1.0
383, 30323, 1.0
384, 1, 1.0
385, 2, 1.0
386, 30321, 1.0
387, 30321, 1.0
388, 30321, 1.0
389, 30322, 1.0
390, 30323, 1.0
391, 30322, 1.0
392, 30323, 1.0
393, 1, 1.0
394, 30321, 1.0
395, 30320, 1.0
396, 30320, 1.0
397, 3, 1.0
398, 30320, 1.0
399, 30325, 1.0
400, 30325, 1.0
402, 30322, 1.0
403, 30323, 1.0
404, 30323, 1.0
405, 0, 1.0
406, 30322, 1.0
407, 30320, 1.0
408, 30323, 1.0
409, 30322, 1.0
410, 30320, 1.0
411, 30325, 1.0
412, 30322, 1.0
413, 30325, 1.0
414, 1, 1.0
415, 30321, 1.0
416, 1, 1.0
417, 30323, 1.0
418, 2, 1.0
419, 1, 1.0
420, 30320, 1.0
421, 30321, 1.0
422, 30320, 1.0
423, 30320, 1.0
424, 1, 1.0
425, 30325, 1.0
426, 0, 1.0
427, 30321, 1.0
428, 0, 1.0
429, 3, 1.0
430, 30323, 1.0
431, 30323, 1.0
432, 30321, 1.0
433, 3, 1.0
434, 30320, 1.0
435, 30320, 1.0
436, 2, 1.0
437, 2, 1.0
438, 30323, 1.0
439, 30321, 1.0
440, 30323, 1.0
441, 0, 1.0
442, 30321, 1.0
443, 30323, 1.0
444, 30321, 1.0
445, 30321, 1.0
446, 30321, 1.0
447, 30322, 1.0
448, 0, 1.0
449, 30322, 1.0
450, 30323, 1.0
451, 30320, 1.0
452, 30320, 1.0
453, 30321, 1.0
454, 30321, 1.0
455, 30320, 1.0
456, 30325, 1.0
457, 30322, 1.0
459, 30322, 1.0
460, 30322, 1.0
461, 30323, 1.0
462, 30322, 1.0
463, 30320, 1.0
464, 30320, 1.0
465, 30323, 1.0
466, 30323, 1.0
467, 1, 1.0
468, 3, 1.0
469, 0, 1.0
470, 1, 1.0
471, 30320, 1.0
472, 30321, 1.0
473, 30320, 1.0
474, 2, 1.0
475, 30322, 1.0
476, 30320, 1.0
477, 30323, 1.0
478, 30321, 1.0
479, 30321, 1.0
480, 30323, 1.0
481, 30323, 1.0
482, 1, 1.0
483, 1, 1.0
484, 3, 1.0
485, 30323, 1.0
486, 30320, 1.0
487, 30321, 1.0
488, 0, 1.0
489, 30322, 1.0
490, 30321, 1.0
491, 30322, 1.0
492, 30323, 1.0
493, 30321, 1.0
494, 30320, 1.0
495, 0, 1.0
496, 0, 1.0
497, 30320, 1.0
498, 30323, 1.0
499, 30321, 1.0
500, 30320, 1.0
501, 30322, 1.0
502, 30321, 1.0
503, 30320, 1.0
504, 30320, 1.0
505, 30325, 1.0
506, 30321, 1.0
507, 30322, 1.0
508, 1, 1.0
509, 30323, 1.0
510, 30325, 1.0
511, 30323, 1.0
512, 30322, 1.0
513, 0, 1.0
514, 30322, 1.0
515, 30322, 1.0
516, 30323, 1.0
517, 2, 1.0
518, 1, 1.0
519, 30321, 1.0
520, 30323, 1.0
521, 1, 1.0
522, 30323, 1.0
523, 1, 1.0
524, 1, 1.0
525, 30321, 1.0
526, 30320, 1.0
527, 30320, 1.0
528, 30320, 1.0
529, 30323, 1.0
530, 1, 1.0
531, 2, 1.0
532, 30322, 1.0
533, 30325, 1.0
534, 30322, 1.0
535, 30320, 1.0
536, 30323, 1.0
537, 30322, 1.0
538, 30323, 1.0
539, 30322, 1.0
540, 30323, 1.0
541, 30322, 1.0
542, 30320, 1.0
543, 0, 1.0
544, 30321, 1.0
545, 30321, 1.0
546, 2, 1.0
547, 30322, 1.0
548, 1, 1.0
549, 30320, 1.0
550, 2, 1.0
551, 30322, 1.0
