row,col,data
0, 30323, 1.0
0, 30317, 1.0
1, 1, 1.0
1, 30317, 1.0
2, 30322, 1.0
3, 30317, 1.0
4, 30322, 1.0
4, 30317, 1.0
5, 30320, 1.0
5, 30317, 1.0
6, 30317, 1.0
7, 30323, 1.0
9, 30322, 1.0
9, 30317, 1.0
10, 1, 1.0
11, 30322, 1.0
11, 30317, 1.0
12, 1, 1.0
13, 1, 1.0
14, 30323, 1.0
15, 30321, 1.0
16, 30323, 1.0
17, 0, 1.0
21, 1, 1.0
22, 30323, 1.0
23, 30323, 1.0
24, 30323, 1.0
24, 30317, 1.0
25, 1, 1.0
25, 30317, 1.0
26, 1, 1.0
27, 0, 1.0
28, 30321, 1.0
29, 1, 1.0
29, 30317, 1.0
30, 30323, 1.0
30, 30317, 1.0
31, 30320, 1.0
32, 30321, 1.0
33, 0, 1.0
34, 1, 1.0
37, 1, 1.0
39, 1, 1.0
40, 1, 1.0
41, 1, 1.0
42, 30323, 1.0
43, 1, 1.0
44, 30323, 1.0
45, 30322, 1.0
46, 30323, 1.0
47, 30323, 1.0
48, 30321, 1.0
51, 30323, 1.0
53, 30323, 1.0
54, 1, 1.0
55, 30323, 1.0
56, 30323, 1.0
57, 30323, 1.0
58, 30323, 1.0
61, 1, 1.0
63, 30322, 1.0
64, 1, 1.0
65, 1, 1.0
66, 1, 1.0
67, 30323, 1.0
68, 30323, 1.0
69, 30323, 1.0
70, 30323, 1.0
71, 1, 1.0
72, 30323, 1.0
73, 30321, 1.0
75, 30322, 1.0
76, 30322, 1.0
77, 30323, 1.0
78, 30323, 1.0
79, 30323, 1.0
80, 30323, 1.0
81, 30323, 1.0
82, 30323, 1.0
85, 1, 1.0
88, 1, 1.0
89, 30321, 1.0
90, 30323, 1.0
92, 30323, 1.0
93, 30323, 1.0
95, 30323, 1.0
96, 30323, 1.0
97, 30323, 1.0
98, 30323, 1.0
99, 30323, 1.0
101, 1, 1.0
102, 30323, 1.0
103, 30321, 1.0
104, 30323, 1.0
105, 1, 1.0
106, 1, 1.0
107, 30323, 1.0
109, 30321, 1.0
110, 30323, 1.0
111, 30323, 1.0
112, 30323, 1.0
113, 30323, 1.0
114, 1, 1.0
115, 30323, 1.0
117, 30322, 1.0
118, 30323, 1.0
119, 30321, 1.0
120, 1, 1.0
121, 30322, 1.0
122, 0, 1.0
123, 1, 1.0
124, 30321, 1.0
125, 30321, 1.0
126, 1, 1.0
127, 1, 1.0
128, 1, 1.0
129, 30322, 1.0
130, 30323, 1.0
131, 30322, 1.0
132, 1, 1.0
133, 30323, 1.0
134, 30323, 1.0
135, 1, 1.0
137, 30322, 1.0
138, 30323, 1.0
139, 1, 1.0
140, 30323, 1.0
141, 1, 1.0
142, 30323, 1.0
143, 30322, 1.0
144, 30323, 1.0
145, 30323, 1.0
147, 30323, 1.0
148, 0, 1.0
149, 1, 1.0
150, 30323, 1.0
151, 30323, 1.0
152, 30323, 1.0
153, 1, 1.0
154, 30323, 1.0
155, 30323, 1.0
156, 1, 1.0
157, 1, 1.0
158, 30323, 1.0
159, 30323, 1.0
160, 1, 1.0
161, 30323, 1.0
162, 1, 1.0
163, 30322, 1.0
165, 30323, 1.0
166, 30323, 1.0
167, 1, 1.0
168, 30323, 1.0
169, 30323, 1.0
170, 30323, 1.0
172, 30323, 1.0
173, 30323, 1.0
174, 1, 1.0
175, 1, 1.0
176, 30322, 1.0
177, 30323, 1.0
178, 30321, 1.0
179, 30323, 1.0
180, 1, 1.0
