row,col,data
0, 478, 1.0
1, 111, 1.0
2, 839, 1.0
3, 743, 1.0
4, 743, 1.0
5, 743, 1.0
6, 743, 1.0
7, 743, 1.0
8, 743, 1.0
9, 561, 1.0
10, 834, 1.0
11, 63, 1.0
12, 674, 1.0
13, 304, 1.0
14, 640, 1.0
15, 310, 1.0
16, 625, 1.0
17, 18, 1.0
18, 101, 1.0
19, 101, 1.0
20, 447, 1.0
21, 447, 1.0
22, 447, 1.0
23, 137, 1.0
24, 137, 1.0
25, 137, 1.0
26, 274, 1.0
27, 3, 1.0
28, 3, 1.0
29, 3, 1.0
30, 3, 1.0
31, 6, 1.0
32, 25, 1.0
33, 25, 1.0
34, 732, 1.0
35, 63, 1.0
36, 247, 1.0
37, 201, 1.0
38, 573, 1.0
39, 299, 1.0
40, 596, 1.0
41, 708, 1.0
42, 498, 1.0
43, 544, 1.0
44, 885, 1.0
45, 829, 1.0
46, 125, 1.0
47, 754, 1.0
48, 243, 1.0
49, 762, 1.0
50, 762, 1.0
51, 389, 1.0
52, 699, 1.0
53, 699, 1.0
54, 728, 1.0
55, 365, 1.0
56, 365, 1.0
57, 840, 1.0
58, 0, 1.0
59, 615, 1.0
60, 712, 1.0
61, 712, 1.0
62, 712, 1.0
63, 712, 1.0
64, 712, 1.0
65, 652, 1.0
66, 652, 1.0
67, 652, 1.0
68, 338, 1.0
69, 338, 1.0
70, 338, 1.0
71, 207, 1.0
72, 928, 1.0
73, 479, 1.0
74, 529, 1.0
75, 343, 1.0
76, 529, 1.0
77, 829, 1.0
78, 699, 1.0
79, 278, 1.0
80, 278, 1.0
81, 714, 1.0
82, 410, 1.0
83, 150, 1.0
84, 377, 1.0
85, 784, 1.0
86, 573, 1.0
87, 289, 1.0
88, 343, 1.0
89, 454, 1.0
90, 573, 1.0
91, 158, 1.0
92, 652, 1.0
93, 656, 1.0
94, 656, 1.0
95, 212, 1.0
96, 839, 1.0
97, 505, 1.0
98, 656, 1.0
99, 677, 1.0
100, 377, 1.0
101, 377, 1.0
102, 365, 1.0
103, 751, 1.0
104, 245, 1.0
105, 784, 1.0
106, 454, 1.0
107, 0, 1.0
108, 544, 1.0
109, 289, 1.0
110, 289, 1.0
111, 596, 1.0
112, 243, 1.0
113, 334, 1.0
114, 684, 1.0
115, 356, 1.0
116, 233, 1.0
117, 529, 1.0
118, 233, 1.0
119, 360, 1.0
120, 289, 1.0
121, 245, 1.0
122, 270, 1.0
123, 629, 1.0
124, 63, 1.0
125, 629, 1.0
126, 360, 1.0
127, 188, 1.0
128, 887, 1.0
129, 598, 1.0
130, 3, 1.0
131, 615, 1.0
132, 615, 1.0
133, 247, 1.0
134, 361, 1.0
135, 321, 1.0
136, 530, 1.0
137, 598, 1.0
138, 885, 1.0
139, 247, 1.0
140, 22, 1.0
141, 52, 1.0
142, 22, 1.0
143, 52, 1.0
144, 621, 1.0
145, 310, 1.0
146, 329, 1.0
147, 885, 1.0
148, 870, 1.0
149, 269, 1.0
150, 640, 1.0
151, 897, 1.0
152, 454, 1.0
153, 454, 1.0
154, 640, 1.0
155, 537, 1.0
156, 603, 1.0
157, 603, 1.0
158, 603, 1.0
159, 802, 1.0
160, 498, 1.0
161, 498, 1.0
162, 48, 1.0
163, 640, 1.0
164, 22, 1.0
165, 617, 1.0
166, 916, 1.0
167, 885, 1.0
168, 378, 1.0
169, 188, 1.0
170, 813, 1.0
171, 259, 1.0
172, 11, 1.0
173, 828, 1.0
174, 293, 1.0
175, 11, 1.0
176, 773, 1.0
177, 684, 1.0
178, 330, 1.0
179, 79, 1.0
180, 761, 1.0
181, 885, 1.0
182, 684, 1.0
183, 813, 1.0
184, 389, 1.0
185, 479, 1.0
186, 389, 1.0
187, 389, 1.0
188, 208, 1.0
189, 389, 1.0
190, 471, 1.0
191, 773, 1.0
192, 389, 1.0
193, 223, 1.0
194, 389, 1.0
195, 389, 1.0
196, 406, 1.0
197, 389, 1.0
198, 828, 1.0
199, 473, 1.0
200, 864, 1.0
201, 864, 1.0
202, 86, 1.0
203, 900, 1.0
204, 125, 1.0
205, 256, 1.0
206, 256, 1.0
207, 175, 1.0
208, 175, 1.0
209, 150, 1.0
210, 473, 1.0
211, 684, 1.0
212, 598, 1.0
213, 773, 1.0
214, 447, 1.0
215, 150, 1.0
216, 909, 1.0
217, 728, 1.0
218, 111, 1.0
219, 679, 1.0
220, 407, 1.0
221, 22, 1.0
222, 684, 1.0
223, 201, 1.0
224, 407, 1.0
225, 633, 1.0
226, 0, 1.0
227, 454, 1.0
228, 454, 1.0
229, 897, 1.0
230, 897, 1.0
231, 813, 1.0
232, 813, 1.0
233, 365, 1.0
234, 454, 1.0
235, 471, 1.0
236, 483, 1.0
237, 483, 1.0
238, 552, 1.0
239, 603, 1.0
240, 299, 1.0
241, 299, 1.0
242, 299, 1.0
243, 454, 1.0
244, 365, 1.0
245, 471, 1.0
246, 444, 1.0
247, 875, 1.0
248, 444, 1.0
249, 444, 1.0
250, 48, 1.0
251, 48, 1.0
252, 150, 1.0
253, 382, 1.0
254, 111, 1.0
255, 111, 1.0
256, 596, 1.0
257, 735, 1.0
258, 356, 1.0
259, 732, 1.0
260, 629, 1.0
261, 425, 1.0
262, 473, 1.0
263, 284, 1.0
264, 284, 1.0
265, 37, 1.0
266, 37, 1.0
267, 37, 1.0
268, 890, 1.0
269, 37, 1.0
270, 890, 1.0
271, 890, 1.0
272, 37, 1.0
273, 272, 1.0
274, 629, 1.0
275, 878, 1.0
276, 878, 1.0
277, 878, 1.0
278, 878, 1.0
279, 878, 1.0
280, 878, 1.0
281, 878, 1.0
282, 878, 1.0
283, 878, 1.0
284, 878, 1.0
285, 878, 1.0
286, 272, 1.0
287, 272, 1.0
288, 272, 1.0
289, 517, 1.0
290, 37, 1.0
291, 37, 1.0
292, 37, 1.0
293, 37, 1.0
294, 37, 1.0
295, 37, 1.0
296, 37, 1.0
297, 732, 1.0
298, 732, 1.0
299, 652, 1.0
300, 14, 1.0
301, 14, 1.0
302, 14, 1.0
303, 14, 1.0
304, 14, 1.0
305, 878, 1.0
306, 878, 1.0
307, 878, 1.0
308, 284, 1.0
309, 127, 1.0
310, 127, 1.0
311, 212, 1.0
312, 212, 1.0
313, 425, 1.0
314, 425, 1.0
315, 212, 1.0
316, 212, 1.0
317, 212, 1.0
318, 212, 1.0
319, 212, 1.0
320, 212, 1.0
321, 212, 1.0
322, 212, 1.0
323, 212, 1.0
324, 212, 1.0
325, 212, 1.0
326, 127, 1.0
327, 127, 1.0
328, 37, 1.0
329, 37, 1.0
330, 37, 1.0
331, 37, 1.0
332, 37, 1.0
333, 284, 1.0
334, 486, 1.0
335, 486, 1.0
336, 629, 1.0
337, 629, 1.0
338, 629, 1.0
339, 127, 1.0
340, 127, 1.0
341, 425, 1.0
342, 212, 1.0
343, 212, 1.0
344, 596, 1.0
345, 469, 1.0
346, 897, 1.0
347, 596, 1.0
348, 556, 1.0
349, 708, 1.0
350, 299, 1.0
351, 201, 1.0
352, 389, 1.0
353, 708, 1.0
354, 573, 1.0
355, 573, 1.0
356, 573, 1.0
357, 552, 1.0
358, 278, 1.0
359, 802, 1.0
360, 879, 1.0
361, 76, 1.0
362, 775, 1.0
363, 38, 1.0
364, 656, 1.0
365, 690, 1.0
366, 302, 1.0
367, 0, 1.0
368, 0, 1.0
369, 773, 1.0
370, 188, 1.0
371, 732, 1.0
372, 773, 1.0
373, 828, 1.0
374, 188, 1.0
375, 743, 1.0
376, 48, 1.0
377, 596, 1.0
378, 198, 1.0
379, 377, 1.0
380, 221, 1.0
381, 640, 1.0
382, 813, 1.0
383, 515, 1.0
384, 761, 1.0
385, 483, 1.0
386, 544, 1.0
387, 135, 1.0
388, 515, 1.0
389, 150, 1.0
390, 598, 1.0
391, 761, 1.0
392, 829, 1.0
393, 321, 1.0
394, 321, 1.0
395, 321, 1.0
396, 454, 1.0
397, 454, 1.0
398, 640, 1.0
399, 684, 1.0
400, 708, 1.0
401, 769, 1.0
402, 353, 1.0
403, 599, 1.0
404, 359, 1.0
405, 106, 1.0
406, 878, 1.0
407, 454, 1.0
408, 596, 1.0
409, 515, 1.0
410, 596, 1.0
411, 596, 1.0
412, 596, 1.0
413, 135, 1.0
414, 135, 1.0
415, 135, 1.0
416, 802, 1.0
417, 135, 1.0
418, 150, 1.0
419, 150, 1.0
420, 175, 1.0
421, 885, 1.0
422, 0, 1.0
423, 0, 1.0
424, 885, 1.0
425, 839, 1.0
426, 720, 1.0
427, 839, 1.0
428, 802, 1.0
429, 802, 1.0
430, 708, 1.0
431, 885, 1.0
432, 677, 1.0
433, 784, 1.0
434, 398, 1.0
435, 517, 1.0
436, 517, 1.0
437, 431, 1.0
438, 127, 1.0
439, 127, 1.0
440, 127, 1.0
441, 286, 1.0
442, 599, 1.0
443, 765, 1.0
444, 520, 1.0
445, 848, 1.0
446, 879, 1.0
447, 493, 1.0
448, 617, 1.0
449, 129, 1.0
450, 304, 1.0
451, 714, 1.0
452, 729, 1.0
453, 712, 1.0
454, 656, 1.0
455, 656, 1.0
456, 188, 1.0
457, 906, 1.0
458, 235, 1.0
459, 588, 1.0
460, 338, 1.0
461, 378, 1.0
462, 301, 1.0
463, 127, 1.0
464, 919, 1.0
465, 22, 1.0
466, 99, 1.0
467, 603, 1.0
468, 813, 1.0
469, 430, 1.0
470, 270, 1.0
471, 851, 1.0
472, 603, 1.0
473, 851, 1.0
474, 471, 1.0
475, 773, 1.0
476, 247, 1.0
477, 430, 1.0
478, 150, 1.0
479, 356, 1.0
480, 851, 1.0
481, 461, 1.0
482, 334, 1.0
483, 517, 1.0
484, 828, 1.0
485, 625, 1.0
486, 829, 1.0
487, 247, 1.0
488, 529, 1.0
489, 723, 1.0
490, 97, 1.0
491, 97, 1.0
492, 360, 1.0
493, 127, 1.0
494, 851, 1.0
495, 853, 1.0
496, 245, 1.0
497, 904, 1.0
498, 87, 1.0
499, 181, 1.0
500, 87, 1.0
501, 87, 1.0
502, 87, 1.0
503, 87, 1.0
504, 87, 1.0
505, 87, 1.0
506, 181, 1.0
507, 853, 1.0
508, 897, 1.0
509, 897, 1.0
510, 743, 1.0
511, 926, 1.0
512, 293, 1.0
513, 732, 1.0
514, 175, 1.0
515, 732, 1.0
516, 111, 1.0
517, 419, 1.0
518, 417, 1.0
519, 527, 1.0
520, 498, 1.0
521, 498, 1.0
522, 48, 1.0
523, 201, 1.0
524, 899, 1.0
525, 221, 1.0
526, 221, 1.0
527, 221, 1.0
528, 123, 1.0
529, 221, 1.0
530, 221, 1.0
531, 221, 1.0
532, 430, 1.0
533, 596, 1.0
534, 897, 1.0
535, 897, 1.0
536, 406, 1.0
537, 907, 1.0
538, 76, 1.0
539, 454, 1.0
540, 24, 1.0
541, 696, 1.0
542, 529, 1.0
543, 652, 1.0
544, 839, 1.0
545, 839, 1.0
546, 101, 1.0
547, 743, 1.0
548, 406, 1.0
549, 63, 1.0
550, 427, 1.0
551, 916, 1.0
552, 517, 1.0
553, 603, 1.0
554, 406, 1.0
555, 208, 1.0
556, 208, 1.0
557, 208, 1.0
558, 96, 1.0
559, 561, 1.0
560, 27, 1.0
561, 773, 1.0
562, 380, 1.0
563, 380, 1.0
564, 811, 1.0
565, 93, 1.0
566, 773, 1.0
567, 515, 1.0
568, 652, 1.0
569, 640, 1.0
570, 677, 1.0
571, 640, 1.0
572, 640, 1.0
573, 708, 1.0
574, 762, 1.0
575, 899, 1.0
576, 178, 1.0
577, 640, 1.0
578, 245, 1.0
579, 359, 1.0
580, 430, 1.0
581, 851, 1.0
582, 851, 1.0
583, 334, 1.0
584, 299, 1.0
585, 690, 1.0
586, 813, 1.0
587, 813, 1.0
588, 813, 1.0
589, 417, 1.0
590, 813, 1.0
591, 360, 1.0
592, 356, 1.0
593, 583, 1.0
594, 583, 1.0
595, 583, 1.0
596, 223, 1.0
597, 679, 1.0
598, 135, 1.0
599, 679, 1.0
600, 135, 1.0
601, 387, 1.0
602, 478, 1.0
603, 478, 1.0
604, 478, 1.0
605, 803, 1.0
606, 761, 1.0
607, 732, 1.0
608, 732, 1.0
609, 732, 1.0
610, 732, 1.0
611, 732, 1.0
612, 732, 1.0
613, 732, 1.0
614, 804, 1.0
615, 76, 1.0
616, 454, 1.0
617, 454, 1.0
618, 173, 1.0
619, 173, 1.0
620, 158, 1.0
621, 158, 1.0
622, 708, 1.0
623, 751, 1.0
624, 478, 1.0
625, 107, 1.0
626, 828, 1.0
627, 469, 1.0
628, 732, 1.0
629, 758, 1.0
630, 223, 1.0
631, 301, 1.0
632, 677, 1.0
633, 463, 1.0
634, 712, 1.0
635, 301, 1.0
636, 851, 1.0
637, 406, 1.0
638, 471, 1.0
639, 471, 1.0
640, 406, 1.0
641, 406, 1.0
642, 479, 1.0
643, 517, 1.0
644, 517, 1.0
645, 221, 1.0
646, 221, 1.0
647, 255, 1.0
648, 255, 1.0
649, 255, 1.0
650, 864, 1.0
651, 97, 1.0
652, 235, 1.0
653, 454, 1.0
654, 529, 1.0
655, 583, 1.0
656, 773, 1.0
657, 763, 1.0
658, 43, 1.0
659, 894, 1.0
660, 492, 1.0
661, 719, 1.0
662, 599, 1.0
663, 708, 1.0
664, 708, 1.0
665, 378, 1.0
666, 501, 1.0
667, 501, 1.0
668, 223, 1.0
669, 471, 1.0
670, 0, 1.0
671, 851, 1.0
672, 851, 1.0
673, 0, 1.0
674, 867, 1.0
675, 677, 1.0
676, 600, 1.0
677, 788, 1.0
678, 664, 1.0
679, 864, 1.0
680, 398, 1.0
681, 398, 1.0
682, 398, 1.0
683, 398, 1.0
684, 283, 1.0
685, 283, 1.0
686, 600, 1.0
687, 27, 1.0
688, 629, 1.0
689, 478, 1.0
690, 237, 1.0
691, 245, 1.0
692, 245, 1.0
693, 245, 1.0
694, 108, 1.0
695, 198, 1.0
696, 334, 1.0
697, 897, 1.0
698, 839, 1.0
699, 188, 1.0
700, 732, 1.0
701, 751, 1.0
702, 378, 1.0
703, 720, 1.0
704, 431, 1.0
705, 498, 1.0
706, 625, 1.0
707, 188, 1.0
708, 728, 1.0
709, 140, 1.0
710, 601, 1.0
711, 188, 1.0
712, 600, 1.0
713, 247, 1.0
714, 828, 1.0
715, 839, 1.0
716, 839, 1.0
717, 839, 1.0
718, 906, 1.0
719, 906, 1.0
720, 832, 1.0
721, 360, 1.0
722, 224, 1.0
723, 556, 1.0
724, 289, 1.0
725, 289, 1.0
726, 483, 1.0
727, 289, 1.0
728, 498, 1.0
729, 498, 1.0
730, 498, 1.0
731, 471, 1.0
732, 498, 1.0
733, 596, 1.0
734, 498, 1.0
735, 596, 1.0
736, 596, 1.0
737, 537, 1.0
738, 596, 1.0
739, 537, 1.0
740, 301, 1.0
741, 301, 1.0
742, 885, 1.0
743, 885, 1.0
744, 583, 1.0
745, 583, 1.0
746, 245, 1.0
747, 251, 1.0
748, 289, 1.0
749, 430, 1.0
750, 573, 1.0
751, 640, 1.0
752, 8, 1.0
753, 166, 1.0
754, 166, 1.0
755, 500, 1.0
756, 40, 1.0
757, 695, 1.0
758, 642, 1.0
759, 380, 1.0
760, 380, 1.0
761, 117, 1.0
762, 591, 1.0
763, 777, 1.0
764, 777, 1.0
765, 468, 1.0
766, 769, 1.0
767, 359, 1.0
768, 152, 1.0
769, 236, 1.0
770, 663, 1.0
771, 663, 1.0
772, 862, 1.0
773, 152, 1.0
774, 242, 1.0
775, 181, 1.0
776, 181, 1.0
777, 692, 1.0
778, 692, 1.0
779, 247, 1.0
780, 233, 1.0
781, 266, 1.0
782, 652, 1.0
783, 652, 1.0
784, 22, 1.0
785, 652, 1.0
786, 652, 1.0
787, 359, 1.0
788, 483, 1.0
789, 652, 1.0
790, 552, 1.0
791, 652, 1.0
792, 321, 1.0
793, 389, 1.0
794, 529, 1.0
795, 321, 1.0
796, 389, 1.0
797, 198, 1.0
798, 198, 1.0
799, 773, 1.0
800, 359, 1.0
801, 529, 1.0
802, 773, 1.0
803, 483, 1.0
804, 652, 1.0
805, 773, 1.0
806, 652, 1.0
807, 751, 1.0
808, 389, 1.0
809, 22, 1.0
810, 583, 1.0
811, 583, 1.0
812, 583, 1.0
813, 321, 1.0
814, 389, 1.0
815, 590, 1.0
816, 583, 1.0
817, 583, 1.0
818, 59, 1.0
819, 652, 1.0
820, 97, 1.0
821, 715, 1.0
822, 454, 1.0
823, 27, 1.0
824, 529, 1.0
825, 652, 1.0
826, 652, 1.0
827, 652, 1.0
828, 878, 1.0
829, 234, 1.0
830, 444, 1.0
831, 419, 1.0
832, 574, 1.0
833, 899, 1.0
834, 67, 1.0
835, 552, 1.0
836, 267, 1.0
837, 513, 1.0
838, 3, 1.0
839, 761, 1.0
840, 761, 1.0
841, 101, 1.0
842, 198, 1.0
843, 784, 1.0
844, 596, 1.0
845, 471, 1.0
846, 775, 1.0
847, 708, 1.0
848, 708, 1.0
849, 897, 1.0
850, 161, 1.0
851, 129, 1.0
852, 864, 1.0
853, 0, 1.0
854, 746, 1.0
855, 99, 1.0
856, 212, 1.0
857, 247, 1.0
858, 690, 1.0
859, 473, 1.0
860, 135, 1.0
861, 79, 1.0
862, 751, 1.0
863, 402, 1.0
864, 208, 1.0
865, 135, 1.0
866, 212, 1.0
867, 906, 1.0
868, 644, 1.0
869, 310, 1.0
870, 598, 1.0
871, 233, 1.0
872, 173, 1.0
873, 198, 1.0
874, 266, 1.0
875, 321, 1.0
876, 173, 1.0
877, 108, 1.0
878, 198, 1.0
879, 321, 1.0
880, 603, 1.0
881, 664, 1.0
882, 615, 1.0
883, 212, 1.0
884, 864, 1.0
885, 125, 1.0
886, 128, 1.0
887, 266, 1.0
888, 321, 1.0
889, 321, 1.0
890, 321, 1.0
891, 321, 1.0
892, 82, 1.0
893, 65, 1.0
894, 652, 1.0
895, 552, 1.0
896, 773, 1.0
897, 773, 1.0
898, 389, 1.0
899, 389, 1.0
900, 297, 1.0
901, 529, 1.0
902, 773, 1.0
903, 76, 1.0
904, 338, 1.0
905, 656, 1.0
906, 245, 1.0
907, 454, 1.0
908, 221, 1.0
909, 598, 1.0
910, 647, 1.0
911, 595, 1.0
912, 930, 1.0
913, 417, 1.0
914, 561, 1.0
915, 307, 1.0
916, 906, 1.0
917, 312, 1.0
918, 178, 1.0
919, 87, 1.0
920, 728, 1.0
921, 784, 1.0
922, 851, 1.0
923, 906, 1.0
924, 111, 1.0
925, 751, 1.0
926, 461, 1.0
927, 625, 1.0
928, 839, 1.0
929, 137, 1.0
