row,col,data
0, 2635, 1.0
1, 3332, 1.0
2, 3451, 1.0
3, 2458, 1.0
4, 2458, 1.0
5, 2458, 1.0
6, 2458, 1.0
7, 2458, 1.0
8, 2458, 1.0
9, 2112, 1.0
10, 2119, 1.0
11, 3281, 1.0
12, 3231, 1.0
13, 2745, 1.0
14, 2834, 1.0
15, 3824, 1.0
16, 3824, 1.0
17, 2318, 1.0
18, 3314, 1.0
19, 3314, 1.0
20, 3314, 1.0
21, 3314, 1.0
22, 3314, 1.0
23, 3314, 1.0
24, 3314, 1.0
25, 3314, 1.0
26, 3314, 1.0
27, 3314, 1.0
28, 3314, 1.0
29, 3314, 1.0
30, 3314, 1.0
31, 3314, 1.0
32, 3314, 1.0
33, 3314, 1.0
34, 3623, 1.0
35, 2672, 1.0
36, 2362, 1.0
37, 3076, 1.0
38, 3076, 1.0
39, 2918, 1.0
40, 2918, 1.0
41, 3773, 1.0
42, 2672, 1.0
43, 2928, 1.0
44, 2353, 1.0
45, 2353, 1.0
46, 3803, 1.0
47, 3197, 1.0
48, 2544, 1.0
49, 2526, 1.0
50, 2689, 1.0
51, 3959, 1.0
52, 3759, 1.0
53, 3759, 1.0
54, 3759, 1.0
55, 3759, 1.0
56, 3759, 1.0
57, 3077, 1.0
58, 3860, 1.0
59, 3805, 1.0
60, 2043, 1.0
61, 2043, 1.0
62, 2043, 1.0
63, 2043, 1.0
64, 2043, 1.0
65, 2043, 1.0
66, 2043, 1.0
67, 2043, 1.0
68, 2043, 1.0
69, 2043, 1.0
70, 2043, 1.0
71, 2153, 1.0
72, 2153, 1.0
73, 2475, 1.0
74, 3824, 1.0
75, 3824, 1.0
76, 3824, 1.0
77, 3315, 1.0
78, 2031, 1.0
79, 3416, 1.0
80, 3416, 1.0
81, 3416, 1.0
82, 3416, 1.0
83, 3416, 1.0
84, 3416, 1.0
85, 2811, 1.0
86, 2811, 1.0
87, 3416, 1.0
88, 3416, 1.0
89, 3416, 1.0
90, 3416, 1.0
91, 2811, 1.0
92, 3416, 1.0
93, 2811, 1.0
94, 3416, 1.0
95, 3416, 1.0
96, 2811, 1.0
97, 2811, 1.0
98, 2811, 1.0
99, 2811, 1.0
100, 2811, 1.0
101, 2811, 1.0
102, 2811, 1.0
103, 2811, 1.0
104, 2811, 1.0
105, 3416, 1.0
106, 3416, 1.0
107, 2811, 1.0
108, 3416, 1.0
109, 3416, 1.0
110, 3416, 1.0
111, 3416, 1.0
112, 2318, 1.0
113, 3416, 1.0
114, 3416, 1.0
115, 3416, 1.0
116, 2318, 1.0
117, 3416, 1.0
118, 2318, 1.0
119, 3416, 1.0
120, 3416, 1.0
121, 2543, 1.0
122, 1964, 1.0
123, 2558, 1.0
124, 2709, 1.0
125, 3948, 1.0
126, 3894, 1.0
127, 3894, 1.0
128, 3306, 1.0
129, 3306, 1.0
130, 3306, 1.0
131, 3451, 1.0
132, 3451, 1.0
133, 1973, 1.0
134, 3917, 1.0
135, 3530, 1.0
136, 2904, 1.0
137, 3146, 1.0
138, 2072, 1.0
139, 3626, 1.0
140, 3332, 1.0
141, 3332, 1.0
142, 3332, 1.0
143, 3332, 1.0
144, 3031, 1.0
145, 3031, 1.0
146, 3031, 1.0
147, 2503, 1.0
148, 2072, 1.0
149, 2891, 1.0
150, 3674, 1.0
151, 2941, 1.0
152, 2941, 1.0
153, 2941, 1.0
154, 2941, 1.0
155, 2941, 1.0
156, 2353, 1.0
157, 2353, 1.0
158, 2353, 1.0
159, 3069, 1.0
160, 2941, 1.0
161, 2941, 1.0
162, 2941, 1.0
163, 2941, 1.0
164, 2677, 1.0
165, 2640, 1.0
166, 2640, 1.0
167, 3637, 1.0
168, 2072, 1.0
169, 3146, 1.0
170, 3146, 1.0
171, 3146, 1.0
172, 3146, 1.0
173, 3146, 1.0
174, 3146, 1.0
175, 2780, 1.0
176, 3146, 1.0
177, 2750, 1.0
178, 2033, 1.0
179, 3146, 1.0
180, 3475, 1.0
181, 2150, 1.0
182, 2184, 1.0
183, 1983, 1.0
184, 3674, 1.0
185, 2895, 1.0
186, 3530, 1.0
187, 3674, 1.0
188, 3530, 1.0
189, 3674, 1.0
190, 2184, 1.0
191, 3530, 1.0
192, 3530, 1.0
193, 3588, 1.0
194, 3530, 1.0
195, 3530, 1.0
196, 3530, 1.0
197, 3530, 1.0
198, 2150, 1.0
199, 2150, 1.0
200, 2526, 1.0
201, 2526, 1.0
202, 2112, 1.0
203, 3385, 1.0
204, 2112, 1.0
205, 2941, 1.0
206, 2941, 1.0
207, 2044, 1.0
208, 2044, 1.0
209, 2044, 1.0
210, 3674, 1.0
211, 2072, 1.0
212, 2701, 1.0
213, 2701, 1.0
214, 3146, 1.0
215, 2072, 1.0
216, 2072, 1.0
217, 2072, 1.0
218, 3169, 1.0
219, 2072, 1.0
220, 3626, 1.0
221, 3146, 1.0
222, 2919, 1.0
223, 3115, 1.0
224, 2033, 1.0
225, 2494, 1.0
226, 3433, 1.0
227, 2941, 1.0
228, 2941, 1.0
229, 2941, 1.0
230, 2941, 1.0
231, 2941, 1.0
232, 2941, 1.0
233, 2941, 1.0
234, 2941, 1.0
235, 2026, 1.0
236, 2752, 1.0
237, 2752, 1.0
238, 2752, 1.0
239, 2752, 1.0
240, 2752, 1.0
241, 2752, 1.0
242, 2752, 1.0
243, 3812, 1.0
244, 2875, 1.0
245, 2875, 1.0
246, 2941, 1.0
247, 2941, 1.0
248, 2941, 1.0
249, 2941, 1.0
250, 3878, 1.0
251, 3878, 1.0
252, 1984, 1.0
253, 1984, 1.0
254, 1984, 1.0
255, 1984, 1.0
256, 3451, 1.0
257, 3667, 1.0
258, 3793, 1.0
259, 3667, 1.0
260, 3062, 1.0
261, 3062, 1.0
262, 2829, 1.0
263, 2853, 1.0
264, 2853, 1.0
265, 3204, 1.0
266, 3204, 1.0
267, 3204, 1.0
268, 2746, 1.0
269, 3204, 1.0
270, 2746, 1.0
271, 2746, 1.0
272, 3204, 1.0
273, 2853, 1.0
274, 2244, 1.0
275, 2829, 1.0
276, 2829, 1.0
277, 2829, 1.0
278, 2853, 1.0
279, 2853, 1.0
280, 2853, 1.0
281, 2853, 1.0
282, 2853, 1.0
283, 2853, 1.0
284, 2853, 1.0
285, 2853, 1.0
286, 2853, 1.0
287, 2853, 1.0
288, 2853, 1.0
289, 2829, 1.0
290, 3204, 1.0
291, 3204, 1.0
292, 3204, 1.0
293, 3204, 1.0
294, 3204, 1.0
295, 3204, 1.0
296, 3204, 1.0
297, 2853, 1.0
298, 2853, 1.0
299, 2585, 1.0
300, 2746, 1.0
301, 2746, 1.0
302, 2746, 1.0
303, 2746, 1.0
304, 2746, 1.0
305, 2853, 1.0
306, 2853, 1.0
307, 2853, 1.0
308, 2853, 1.0
309, 3667, 1.0
310, 3667, 1.0
311, 2853, 1.0
312, 2853, 1.0
313, 2853, 1.0
314, 2853, 1.0
315, 2853, 1.0
316, 2853, 1.0
317, 2853, 1.0
318, 2853, 1.0
319, 2853, 1.0
320, 2853, 1.0
321, 2853, 1.0
322, 2853, 1.0
323, 2853, 1.0
324, 2853, 1.0
325, 2853, 1.0
