row,col,data
2, 3, 1.0
7, 9, 1.0
8, 3, 1.0
10, 3, 1.0
12, 3, 1.0
13, 3, 1.0
14, 6, 1.0
15, 3, 1.0
16, 3, 1.0
17, 5, 1.0
18, 3, 1.0
19, 3, 1.0
20, 3, 1.0
21, 4, 1.0
22, 3, 1.0
23, 4, 1.0
26, 2, 1.0
27, 3, 1.0
28, 2, 1.0
31, 6, 1.0
32, 3, 1.0
33, 5, 1.0
34, 3, 1.0
35, 1, 1.0
36, 2, 1.0
37, 5, 1.0
38, 3, 1.0
39, 3, 1.0
40, 1, 1.0
41, 1, 1.0
42, 2, 1.0
43, 7, 1.0
44, 7, 1.0
45, 3, 1.0
46, 3, 1.0
47, 3, 1.0
48, 2, 1.0
49, 7, 1.0
50, 4, 1.0
51, 5, 1.0
52, 6, 1.0
53, 5, 1.0
54, 0, 1.0
55, 3, 1.0
56, 4, 1.0
57, 4, 1.0
58, 9, 1.0
59, 4, 1.0
60, 8, 1.0
61, 4, 1.0
62, 5, 1.0
63, 4, 1.0
64, 1, 1.0
65, 3, 1.0
66, 5, 1.0
67, 4, 1.0
68, 3, 1.0
69, 6, 1.0
70, 8, 1.0
71, 3, 1.0
72, 2, 1.0
73, 5, 1.0
74, 4, 1.0
75, 6, 1.0
76, 5, 1.0
77, 4, 1.0
78, 5, 1.0
79, 7, 1.0
80, 5, 1.0
81, 4, 1.0
82, 4, 1.0
83, 6, 1.0
84, 4, 1.0
85, 4, 1.0
86, 3, 1.0
87, 2, 1.0
88, 2, 1.0
89, 4, 1.0
90, 9, 1.0
91, 3, 1.0
92, 2, 1.0
93, 5, 1.0
94, 3, 1.0
95, 5, 1.0
96, 2, 1.0
97, 2, 1.0
98, 1, 1.0
99, 2, 1.0
100, 3, 1.0
101, 6, 1.0
102, 6, 1.0
103, 4, 1.0
104, 3, 1.0
105, 2, 1.0
106, 1, 1.0
107, 5, 1.0
108, 3, 1.0
109, 4, 1.0
110, 9, 1.0
111, 7, 1.0
112, 6, 1.0
113, 3, 1.0
114, 5, 1.0
115, 5, 1.0
116, 2, 1.0
117, 5, 1.0
118, 4, 1.0
119, 4, 1.0
120, 4, 1.0
121, 5, 1.0
122, 3, 1.0
123, 3, 1.0
124, 3, 1.0
125, 5, 1.0
126, 5, 1.0
127, 5, 1.0
128, 3, 1.0
129, 4, 1.0
130, 1, 1.0
131, 6, 1.0
132, 3, 1.0
133, 5, 1.0
134, 3, 1.0
135, 3, 1.0
136, 4, 1.0
137, 4, 1.0
138, 3, 1.0
139, 4, 1.0
140, 1, 1.0
141, 3, 1.0
142, 4, 1.0
143, 3, 1.0
144, 5, 1.0
145, 2, 1.0
146, 5, 1.0
147, 1, 1.0
148, 2, 1.0
149, 4, 1.0
150, 2, 1.0
151, 4, 1.0
152, 6, 1.0
153, 3, 1.0
154, 4, 1.0
155, 5, 1.0
156, 4, 1.0
157, 5, 1.0
158, 3, 1.0
159, 4, 1.0
160, 5, 1.0
161, 6, 1.0
162, 3, 1.0
163, 6, 1.0
164, 7, 1.0
165, 4, 1.0
166, 5, 1.0
167, 6, 1.0
168, 5, 1.0
169, 9, 1.0
170, 6, 1.0
171, 7, 1.0
172, 5, 1.0
173, 4, 1.0
174, 1, 1.0
175, 5, 1.0
176, 9, 1.0
177, 6, 1.0
178, 6, 1.0
179, 3, 1.0
180, 6, 1.0
181, 5, 1.0
182, 5, 1.0
183, 2, 1.0
184, 4, 1.0
185, 2, 1.0
186, 2, 1.0
187, 2, 1.0
188, 4, 1.0
189, 2, 1.0
190, 5, 1.0
191, 2, 1.0
192, 3, 1.0
193, 4, 1.0
194, 3, 1.0
195, 1, 1.0
196, 6, 1.0
197, 1, 1.0
198, 9, 1.0
199, 6, 1.0
200, 7, 1.0
201, 3, 1.0
202, 5, 1.0
203, 5, 1.0
204, 4, 1.0
205, 2, 1.0
206, 3, 1.0
207, 2, 1.0
208, 3, 1.0
209, 3, 1.0
210, 4, 1.0
211, 4, 1.0
212, 7, 1.0
213, 2, 1.0
214, 3, 1.0
215, 3, 1.0
216, 3, 1.0
217, 5, 1.0
218, 5, 1.0
219, 2, 1.0
220, 8, 1.0
221, 8, 1.0
222, 3, 1.0
223, 4, 1.0
224, 3, 1.0
225, 8, 1.0
226, 6, 1.0
227, 4, 1.0
228, 5, 1.0
229, 2, 1.0
230, 2, 1.0
231, 3, 1.0
232, 5, 1.0
233, 3, 1.0
234, 6, 1.0
235, 5, 1.0
236, 2, 1.0
237, 6, 1.0
238, 3, 1.0
239, 4, 1.0
240, 4, 1.0
241, 3, 1.0
242, 9, 1.0
243, 3, 1.0
244, 9, 1.0
245, 4, 1.0
246, 9, 1.0
247, 3, 1.0
248, 4, 1.0
249, 7, 1.0
250, 6, 1.0
251, 1, 1.0
252, 6, 1.0
253, 9, 1.0
254, 3, 1.0
255, 4, 1.0
256, 5, 1.0
257, 2, 1.0
258, 5, 1.0
259, 7, 1.0
260, 2, 1.0
261, 9, 1.0
262, 5, 1.0
263, 6, 1.0
264, 6, 1.0
265, 2, 1.0
266, 3, 1.0
267, 1, 1.0
268, 4, 1.0
269, 4, 1.0
270, 2, 1.0
271, 3, 1.0
272, 9, 1.0
273, 4, 1.0
274, 4, 1.0
275, 3, 1.0
276, 3, 1.0
277, 9, 1.0
278, 5, 1.0
279, 2, 1.0
280, 9, 1.0
