row,col,data
0, 15, 1.0
0, 10, 1.0
1, 16, 1.0
1, 10, 1.0
2, 14, 1.0
3, 10, 1.0
4, 14, 1.0
4, 10, 1.0
5, 12, 1.0
5, 10, 1.0
6, 10, 1.0
7, 15, 1.0
9, 14, 1.0
9, 10, 1.0
10, 16, 1.0
11, 14, 1.0
11, 10, 1.0
12, 16, 1.0
13, 16, 1.0
14, 15, 1.0
15, 13, 1.0
16, 15, 1.0
17, 11, 1.0
21, 16, 1.0
22, 15, 1.0
23, 15, 1.0
24, 15, 1.0
24, 10, 1.0
25, 16, 1.0
25, 10, 1.0
26, 16, 1.0
27, 11, 1.0
28, 13, 1.0
29, 16, 1.0
29, 10, 1.0
30, 15, 1.0
30, 10, 1.0
31, 12, 1.0
32, 13, 1.0
33, 11, 1.0
34, 16, 1.0
37, 16, 1.0
39, 16, 1.0
40, 16, 1.0
41, 16, 1.0
42, 15, 1.0
43, 16, 1.0
44, 15, 1.0
45, 14, 1.0
46, 15, 1.0
47, 15, 1.0
48, 13, 1.0
51, 15, 1.0
53, 15, 1.0
54, 16, 1.0
55, 15, 1.0
56, 15, 1.0
57, 15, 1.0
58, 15, 1.0
61, 16, 1.0
63, 14, 1.0
64, 16, 1.0
65, 16, 1.0
66, 16, 1.0
67, 15, 1.0
68, 15, 1.0
69, 15, 1.0
70, 15, 1.0
71, 16, 1.0
72, 15, 1.0
73, 13, 1.0
75, 14, 1.0
76, 14, 1.0
77, 15, 1.0
78, 15, 1.0
79, 15, 1.0
80, 15, 1.0
81, 15, 1.0
82, 15, 1.0
85, 16, 1.0
88, 16, 1.0
89, 13, 1.0
90, 15, 1.0
92, 15, 1.0
93, 15, 1.0
95, 15, 1.0
96, 15, 1.0
97, 15, 1.0
98, 15, 1.0
99, 15, 1.0
101, 16, 1.0
102, 15, 1.0
103, 13, 1.0
104, 15, 1.0
105, 16, 1.0
106, 16, 1.0
107, 15, 1.0
109, 13, 1.0
110, 15, 1.0
111, 15, 1.0
112, 15, 1.0
113, 15, 1.0
114, 16, 1.0
115, 15, 1.0
117, 14, 1.0
118, 15, 1.0
119, 13, 1.0
120, 16, 1.0
121, 14, 1.0
122, 11, 1.0
123, 16, 1.0
124, 13, 1.0
125, 13, 1.0
126, 16, 1.0
127, 16, 1.0
128, 16, 1.0
129, 14, 1.0
130, 15, 1.0
131, 14, 1.0
132, 16, 1.0
133, 15, 1.0
134, 15, 1.0
135, 16, 1.0
137, 14, 1.0
138, 15, 1.0
139, 16, 1.0
140, 15, 1.0
141, 16, 1.0
142, 15, 1.0
143, 14, 1.0
144, 15, 1.0
145, 15, 1.0
147, 15, 1.0
148, 11, 1.0
