row,col,data 
0,226,1.0
1,408,1.0
2,116,1.0
3,799,1.0
4,799,1.0
5,799,1.0
6,799,1.0
7,799,1.0
8,451,1.0
9,928,1.0
10,331,1.0
11,119,1.0
12,324,1.0
13,336,1.0
14,799,1.0
15,958,1.0
16,764,1.0
17,906,1.0
18,354,1.0
19,354,1.0
20,956,1.0
21,956,1.0
22,956,1.0
23,468,1.0
24,468,1.0
25,468,1.0
26,16,1.0
27,623,1.0
28,623,1.0
29,623,1.0
30,623,1.0
31,504,1.0
32,623,1.0
33,623,1.0
34,934,1.0
35,408,1.0
36,832,1.0
37,642,1.0
38,303,1.0
39,874,1.0
40,43,1.0
41,799,1.0
42,928,1.0
43,978,1.0
44,42,1.0
45,385,1.0
46,259,1.0
47,565,1.0
48,286,1.0
49,765,1.0
50,765,1.0
51,231,1.0
52,943,1.0
53,943,1.0
54,163,1.0
55,864,1.0
56,864,1.0
57,712,1.0
58,19,1.0
59,999,1.0
60,837,1.0
61,837,1.0
62,837,1.0
63,837,1.0
64,81,1.0
65,303,1.0
66,801,1.0
67,801,1.0
68,817,1.0
69,892,1.0
70,892,1.0
71,153,1.0
72,776,1.0
73,788,1.0
74,928,1.0
75,907,1.0
76,928,1.0
77,933,1.0
78,150,1.0
79,778,1.0
80,874,1.0
81,160,1.0
82,501,1.0
83,848,1.0
84,654,1.0
85,42,1.0
86,620,1.0
87,874,1.0
88,907,1.0
89,467,1.0
90,43,1.0
91,62,1.0
92,247,1.0
93,236,1.0
94,236,1.0
95,326,1.0
96,46,1.0
97,544,1.0
98,236,1.0
99,247,1.0
100,518,1.0
101,53,1.0
102,53,1.0
103,84,1.0
104,798,1.0
105,450,1.0
106,465,1.0
107,536,1.0
108,531,1.0
109,918,1.0
110,231,1.0
111,189,1.0
112,675,1.0
113,231,1.0
114,247,1.0
115,696,1.0
116,970,1.0
117,687,1.0
118,217,1.0
119,819,1.0
120,874,1.0
121,536,1.0
122,848,1.0
123,129,1.0
124,42,1.0
125,129,1.0
126,274,1.0
127,852,1.0
128,769,1.0
129,236,1.0
130,265,1.0
131,303,1.0
132,303,1.0
133,433,1.0
134,862,1.0
135,865,1.0
136,431,1.0
137,100,1.0
138,408,1.0
139,274,1.0
140,116,1.0
141,912,1.0
142,116,1.0
143,221,1.0
144,672,1.0
145,394,1.0
146,531,1.0
147,42,1.0
148,269,1.0
149,768,1.0
150,303,1.0
151,1004,1.0
152,231,1.0
153,708,1.0
154,750,1.0
155,979,1.0
156,1000,1.0
157,620,1.0
158,620,1.0
159,557,1.0
160,467,1.0
161,467,1.0
162,325,1.0
163,303,1.0
164,248,1.0
165,933,1.0
166,763,1.0
167,46,1.0
168,442,1.0
169,326,1.0
170,42,1.0
171,431,1.0
172,540,1.0
173,450,1.0
174,431,1.0
175,119,1.0
176,42,1.0
177,68,1.0
178,449,1.0
179,407,1.0
180,116,1.0
181,19,1.0
182,764,1.0
183,42,1.0
184,518,1.0
185,118,1.0
186,518,1.0
187,518,1.0
188,147,1.0
189,518,1.0
190,634,1.0
191,84,1.0
192,518,1.0
193,276,1.0
194,518,1.0
195,518,1.0
196,321,1.0
197,518,1.0
198,311,1.0
199,431,1.0
200,42,1.0
201,84,1.0
202,276,1.0
203,978,1.0
204,536,1.0
205,173,1.0
206,173,1.0
207,42,1.0
208,326,1.0
209,119,1.0
210,442,1.0
211,247,1.0
212,150,1.0
213,248,1.0
214,121,1.0
215,848,1.0
216,718,1.0
217,311,1.0
218,848,1.0
219,805,1.0
220,442,1.0
221,852,1.0
222,247,1.0
223,326,1.0
224,259,1.0
225,16,1.0
226,42,1.0
227,708,1.0
228,708,1.0
229,450,1.0
230,450,1.0
231,311,1.0
232,247,1.0
233,231,1.0
234,231,1.0
235,654,1.0
236,620,1.0
237,620,1.0
238,799,1.0
239,311,1.0
240,508,1.0
241,508,1.0
242,508,1.0
243,255,1.0
244,231,1.0
245,654,1.0
246,231,1.0
247,247,1.0
248,231,1.0
249,508,1.0
250,345,1.0
251,450,1.0
252,540,1.0
253,54,1.0
254,276,1.0
255,408,1.0
256,620,1.0
257,436,1.0
258,231,1.0
259,933,1.0
260,150,1.0
261,162,1.0
262,274,1.0
263,826,1.0
264,166,1.0
265,1017,1.0
266,119,1.0
267,119,1.0
268,618,1.0
269,119,1.0
270,618,1.0
271,618,1.0
272,119,1.0
273,166,1.0
274,236,1.0
275,844,1.0
276,844,1.0
277,919,1.0
278,844,1.0
279,844,1.0
280,554,1.0
281,844,1.0
282,469,1.0
283,844,1.0
284,386,1.0
285,844,1.0
286,166,1.0
287,166,1.0
288,166,1.0
289,422,1.0
290,119,1.0
291,119,1.0
292,119,1.0
293,119,1.0
294,1017,1.0
295,119,1.0
296,119,1.0
297,933,1.0
298,749,1.0
299,799,1.0
300,622,1.0
301,622,1.0
302,622,1.0
303,139,1.0
304,91,1.0
305,919,1.0
306,844,1.0
307,469,1.0
308,166,1.0
309,519,1.0
310,519,1.0
311,693,1.0
312,431,1.0
313,531,1.0
314,531,1.0
315,693,1.0
316,693,1.0
317,693,1.0
318,693,1.0
319,693,1.0
320,693,1.0
321,431,1.0
322,693,1.0
323,693,1.0
