user_id,item_list
0,3569 6530 6404 3572 6289 10227 5113 5494 5700 8627
1,7259 16148 8470 16460 15892 6280 8984 7671 3604 7662
2,4657 4658 739 735 11734 13837 737 17550 5732 11733
4,4634 4728 4638 4637 9461 4731 187 4280 13393 14225
5,9641 6798 4013 12196 12195 6794 4748 10270 4747 2843
6,14912 4732 10359 345 14958 11715 3456 7550 5305 3770
7,6798 4057 4977 7174 11222 5112 9014 6780 10469 10141
8,5192 4526 4527 5189 5190 5174 18140 4771 4770 5206
9,4082 9303 4083 5297 4432 16176 4086 5322 5294 749
10,3901 13416 6288 8478 12557 4210 16097 4348 3968 67
11,18360 2730 4767 9196 17987 4790 4784 5192 4770 3692
12,4705 3529 4722 3528 3534 4721 3533 3536 6986 9476
13,4785 1023 4487 5133 5144 4784 4480 4481 4179 4779
14,5725 7885 6201 6200 4702 7887 9302 3565 16463 4703
15,18301 18299 17661 4691 6135 394 7493 3991 10232 10914
16,9202 9204 9201 9712 9205 7602 5297 9208 5112 3877
17,3251 7326 5296 5645 6650 15892 187 11890 18081 17955
18,8347 1689 1691 7326 3105 9641 6546 8257 14865 12258
19,7190 4458 7195 9714 4310 4030 1105 9930 4053 5049
20,4279 10466 5112 8989 724 725 4035 4034 4033 7498
21,3565 3576 9208 3595 3572 7592 3566 9205 6202 7368
22,12257 7496 4019 3654 3655 5752 4010 5736 13837 12358
23,4279 8989 5113 10466 724 725 7172 5112 7581 6405
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
25,10167 4082 3105 4081 12705 4057 5645 5143 5114 14847
26,4034 4035 4033 16182 4279 7497 7498 5112 11191 17558
27,15099 15102 15100 12469 4747 2301 17558 8667 13202 4767
28,13206 12341 3146 3094 2519 14779 11393 2708 6661 13174
29,6170 5112 4287 6173 6289 4057 8483 8481 6292 16137
30,17748 4280 15706 3785 16307 5593 8473 5671 6289 8635
31,4634 4658 6794 3516 8483 3514 6796 5115 15223 15228
32,16232 5294 5610 3983 18181 15892 5297 5296 7258 2103
33,15099 15118 8306 8414 8008 8666 15101 15100 6526 9461
34,8483 6174 5112 5114 6171 10466 4627 10141 3105 4844
35,18153 8505 8481 8508 5112 8516 6793 8984 5610 5113
36,5089 4191 16137 661 4187 4284 7997 10158 10157 10154
39,18301 10194 18299 4795 3655 7493 4792 7496 5736 3842
40,5186 4497 1041 6786 15594 4448 1241 8568 15768 4510
41,4035 4034 4033 4279 5112 16182 7498 7497 10466 11191
42,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
43,7581 2301 14847 5143 197 10227 6404 6289 4844 5113
44,3568 3569 15120 15119 15114 9477 13202 5896 6168 6169
45,725 5562 3805 5508 3806 5561 7706 3827 3387 4748
46,4279 10466 8989 4035 5112 4033 725 724 4034 7497
47,5296 9236 5297 15892 3823 10141 7153 17955 5293 7323
48,4033 4034 4035 4279 7497 7498 5112 16182 10466 11191
49,724 5508 5695 3387 6686 17507 16485 17440 5026 6201
50,4728 9476 9477 9461 4638 8306 15030 1943 5275 8564
51,724 5508 5695 3387 6686 17507 16485 17440 5026 6201
52,4128 5101 6356 8854 8853 8856 4214 11653 8858 12516
53,15114 15099 15100 9477 3879 9709 5897 9475 3568 12469
54,5562 7655 3626 7706 4748 3629 5561 4440 7710 5508
55,4280 192 197 194 187 6172 6171 5593 4691 6170
56,4346 4967 6117 3572 3565 5291 4359 6118 9002 16376
57,5562 17750 5561 3805 10466 16099 3554 17752 4660 8483
59,4128 5715 11301 5128 3565 8668 5143 3572 4214 5112
60,7661 7662 7657 5602 5603 4446 4440 9263 3564 5957
61,9199 4657 3529 9206 9204 4658 3530 9202 9201 3531
62,7118 11166 9599 7116 15852 1879 11011 12525 5878 8563
63,3572 15101 3529 10068 7496 9092 15100 15227 5726 5561
64,4703 12815 192 8347 197 735 736 11733 187 194
65,9202 15102 15100 9205 15227 5190 15223 9709 9208 5553
66,7823 4019 4018 4275 7135 8872 7416 5556 17551 3008
67,4279 8989 5113 10466 724 725 7172 5112 7581 6405
68,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
69,7496 7493 7495 3654 5752 5737 3655 5736 5060 5742
71,10846 4000 11300 5113 6432 8363 5345 4483 5005 4623
72,8506 8563 8570 8569 10067 3572 3565 5518 17559 10163
74,10636 11403 9446 14847 12199 12201 12181 3698 2103 8877
75,3852 7771 17601 17965 8171 18318 6231 9196 5703 15655
76,4279 8989 4280 7581 6405 5113 10466 724 725 7172
77,18096 18097 18098 5190 7583 14244 18092 18100 18093 18101
78,18231 18238 18236 9199 725 9203 7592 3527 3595 9202
79,5294 8470 3307 15855 5296 5287 15200 15892 8984 7671
80,739 735 13837 736 1944 15908 738 737 13838 5133
81,10142 14851 14867 14870 3100 9145 14852 14865 10141 4806
82,4279 8989 5113 10466 724 725 7172 5112 7581 6405
84,3565 3572 8982 8984 3593 16096 10843 15496 16104 8414
85,4194 11734 4123 4193 9477 2233 9305 5297 197 7602
86,4279 10466 5112 8989 724 725 4035 4034 4033 7498
87,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
