user_id,item_list
0, 3569 6530 10227 6289 6404 3572 5113 5700 8627 12469
1, 5142 15892 4728 7354 8984 3805 6292 17951 9446 16148
2, 4657 4658 11734 11733 5700 735 3834 3805 1023 737
4, 4634 4728 5562 8666 6228 10067 15892 189 10466 4731
5, 6798 5645 8483 10466 5297 5610 6292 14847 15892 12194
6, 14784 14910 14912 9853 10192 12030 10227 13144 2217 14654
7, 10466 4057 5112 15908 6798 10469 5297 4634 6289 17955
8, 5192 5189 5190 4527 4526 4771 2301 5211 10067 4770
9, 9303 4657 5297 8483 7642 8982 5294 5645 8526 7199
10, 3901 11836 15098 13586 15097 1212 5297 8478 5294 17955
11, 18360 2730 4767 13324 11396 12142 12084 8090 13550 13263
12, 3529 9461 4634 9477 4705 9476 8179 4691 3565 17955
13, 1023 4785 5142 5147 4762 6526 8526 3834 4627 5128
14, 3572 3565 9302 8982 8638 6201 10067 17955 6228 6526
15, 18301 3991 18299 12194 4691 5731 194 4010 5508 10232
16, 9202 9204 9201 12469 8982 8306 17955 4657 8638 8666
17, 187 3251 9224 15892 5296 3922 5645 4037 18185 5128
18, 8483 17955 4361 5113 3572 3922 15892 8638 6289 5455
19, 7190 6289 10466 8638 4657 9714 7195 8481 3806 192
20, 10068 5147 4728 9103 9461 15892 4687 11733 10055 9302
21, 3565 3572 6526 8984 3566 9208 3576 7581 9446 8982
22, 7496 3654 5113 8982 3565 3572 4657 5297 10067 5562
23, 10068 7172 2301 187 6793 14847 5645 4361 15892 9948
24, 6526 5294 10232 9014 8984 7310 5700 5142 5455 197
25, 14847 15892 3105 4057 5645 5143 17955 2301 5294 8638
26, 2301 4627 5560 10067 724 6404 8179 5143 725 8526
27, 15099 15102 15100 12469 9446 8668 4747 8666 8414 197
28, 5400 8354 5272 5399 5401 17955 4634 3572 3805 8481
29, 5112 4057 17955 4844 8666 6404 6289 4634 5645 8483
30, 4280 17748 3572 10067 5593 7581 10068 15706 15892 7640
31, 4634 4658 5297 10466 5645 8982 8638 8483 5113 15892
32, 8483 15892 5294 4627 5297 5143 5645 4361 189 2301
33, 6526 15101 8414 8666 9446 15099 15100 7581 1212 9461
34, 4361 3922 4034 8483 9224 6292 10466 8638 10141 5114
35, 4844 5297 5113 5562 6404 6289 4687 8984 15892 5114
36, 5089 3922 16137 4191 4361 4034 4033 4124 4284 4187
39, 197 4795 5455 194 5120 8982 5044 3842 4010 4792
40, 4551 4554 16388 15713 5322 4607 4702 4704 4690 6554
41, 8445 6404 724 5143 12194 6793 8666 8186 6292 15101
42, 4728 8414 8526 4691 5147 5114 4410 10067 5044 6793
43, 14847 17955 6289 5297 5113 2301 4844 5294 10227 10466
44, 3568 3569 15119 15120 9461 9477 5897 4762 12469 9448
45, 725 3805 5562 3806 1212 7192 5695 12469 4703 3827
46, 5147 194 5560 8414 8179 7172 4410 8526 8483 15099
