user_id,item_list
0, 3569 10227 6530 6404 5113 6289 5700 3572 8982 12469
1, 8984 4728 15892 5142 3531 4634 8483 9303 6793 5562
2, 4657 4658 11734 11733 5700 3805 8666 735 17955 737
4, 4634 4728 10067 5147 5142 8666 3572 15892 2301 4638
5, 6798 5645 10466 8483 5297 6292 14847 5112 10227 6289
6, 14784 14910 10227 14912 9461 4844 9853 10192 12030 2217
7, 10466 6798 5297 4057 17955 15908 4634 5112 14847 6289
8, 5192 5189 5190 4527 4526 4771 2301 10067 4770 12469
9, 9303 4657 5297 8982 5294 8483 10227 3572 6391 3565
10, 3901 5297 1212 15098 11836 17955 8478 5294 6292 13586
11, 18360 2730 4767 8638 17951 8564 13324 10068 11396 12142
12, 3529 9461 4634 10067 9477 17955 3572 4705 3565 4728
13, 1023 4785 5147 5142 4762 8526 6526 2301 10227 9303
14, 3572 3565 9302 8982 6228 8638 10067 17955 4728 6201
15, 3991 18301 12194 18299 10914 7172 4010 5560 4691 17955
16, 9202 9204 9201 12469 8982 17955 4657 8666 7581 8638
17, 187 15892 3251 9224 5296 3922 5645 5128 10067 4657
18, 10141 8483 17955 5113 4361 8638 6289 5455 3922 3805
19, 7190 10466 8481 3806 5112 6289 8638 9303 4627 6228
20, 187 4728 6292 7172 6526 5044 6793 4279 17752 6798
21, 3565 3572 6526 3566 8984 9208 8982 7581 8414 9446
22, 7496 8982 3572 5113 3654 4657 5297 3565 10067 187
23, 5112 1212 10232 8984 4728 3805 194 9014 5114 4693
24, 5143 4691 5700 10227 6289 5560 5645 5455 189 192
25, 14847 15892 5143 5645 3105 17955 4057 2301 8638 5610
26, 1212 4691 6526 9461 187 5044 4844 4728 5112 5455
27, 15099 15102 15100 12469 8666 8668 9446 3565 197 8982
28, 17955 5400 8354 5272 5399 5401 3572 4634 3805 8481
29, 17955 5112 4634 4057 4691 8666 8483 4844 6289 5645
30, 4280 17748 3572 10067 10068 7581 4844 4657 5593 197
31, 4634 4658 5297 10466 8982 8638 5645 5113 10067 17955
32, 8483 15892 5294 5297 4627 5645 5143 2301 4361 5113
33, 6526 15101 8414 8666 8526 15099 9446 7581 15100 3572
34, 4361 3922 10466 8483 4034 6292 4634 8638 10141 9224
35, 4844 5113 5297 5562 6404 6289 17955 8638 9014 8982
36, 5089 3922 16137 4191 4361 4034 4033 4284 4124 4187
39, 5455 197 8445 8982 3842 5143 5044 8666 5700 7496
40, 4551 4554 16388 15713 4607 5322 4702 4690 4704 9612
41, 9014 6292 12194 8526 10068 5112 3805 5142 8445 4693
42, 5700 189 6404 1212 9014 3805 5294 8564 10068 5645
43, 17955 14847 5297 5113 2301 10466 6289 4844 5143 10227
44, 3568 3569 15120 15119 4762 9461 9448 9477 5897 12469
45, 725 3805 5562 3806 1212 12469 5508 5112 9477 9448
46, 4410 8526 5044 4728 9448 3568 17752 1212 10067 8668
47, 5296 5297 17955 5291 10141 5301 4024 15892 7121 5044
48, 3834 12194 9303 1023 5142 18185 5114 6228 5700 9302
49, 724 5508 3806 5562 3805 5695 4844 3572 10067 197
50, 4728 8666 2301 9477 5113 7581 9461 8638 17955 197
51, 724 5508 3806 5562 3805 5695 4844 3572 10067 197
52, 4128 17955 10466 8854 5700 10068 9014 3572 8638 10914
53, 15114 15100 15099 12469 7581 9461 8414 8666 9477 8526
54, 5562 8984 2301 3626 7655 10227 5508 4687 12469 8638
55, 4280 192 197 194 187 10067 2301 17955 8666 5562
56, 3572 17955 3565 15892 5297 4693 197 10466 4844 4346
57, 10466 5562 3805 17955 8483 8982 197 5113 15892 4693
59, 5143 17955 1212 8638 5113 3572 10067 2301 10227 4657
60, 7662 7657 7661 7172 5602 4446 4440 8526 4687 5113
61, 4657 3565 3572 15892 5645 10067 197 8638 7581 5297
62, 10664 2098 2205 6845 15553 14850 8375 13334 1290 7936
63, 3572 5113 10466 8666 10227 8483 10068 3806 3805 8526
64, 197 187 3806 4703 10227 192 3572 8638 4657 8982
65, 9202 12469 8982 15100 15102 7581 3572 10227 8666 3565
66, 7823 7825 5645 16446 4019 4018 6344 6005 17546 8792
67, 4728 10055 5700 5560 5294 8414 194 10469 9103 8306
68, 10232 4693 3805 5112 10068 5142 7354 9014 8445 5044
69, 7496 7493 7495 3654 3655 5737 5752 8473 1233 5736
71, 8473 4279 5113 8635 6404 7581 6289 17955 12469 15892
72, 4361 8506 3922 8638 197 4657 3572 8666 5297 10227
74, 2103 8982 8481 17955 9103 4657 5291 7688 10636 8638
75, 3852 8984 7642 433 5279 13830 13828 3843 6299 13829
76, 8306 5700 8414 4693 10469 4728 5044 3805 5112 8308
77, 18096 7583 5128 4634 5142 4755 8982 9477 3572 1023
78, 3565 3572 8982 9199 725 5297 8638 7581 17955 8526
79, 5294 8984 15892 5113 8483 5297 4361 10466 8982 14847
80, 15908 739 735 8638 5562 5700 197 17955 187 2301
81, 8414 10142 14847 12469 10141 8982 10227 3565 7581 8638
82, 7662 5294 8179 8635 5560 4762 7657 9448 4691 9014
84, 3565 3572 3593 8414 12469 9448 8982 8984 6526 8483
85, 5297 17955 10067 8982 15892 197 4657 3572 7581 3806
86, 3834 5112 8984 4629 5455 4410 4630 12194 5114 8526
87, 8635 7199 3805 9224 5296 8984 5294 6228 194 8179
88, 5562 5508 9093 3805 2301 8526 8982 8638 8508 5113
89, 4687 5645 17955 5296 8982 187 3654 4037 7495 10067
90, 11734 11733 3827 736 15908 17955 4657 9133 3805 737
92, 8635 8984 7642 3834 3541 5562 4702 8186 10055 4703
93, 10068 8179 8483 7581 17955 4657 189 5297 6404 8982
94, 7657 7659 5113 3922 4361 7661 17955 3565 5297 8982
95, 15120 10068 12469 8666 7581 2301 8638 189 6404 5562
96, 4696 7310 6404 4280 9446 9461 10227 8526 5297 8666
97, 4361 3922 17955 8982 5143 9302 15892 3572 3565 2301
98, 8668 12469 8445 8982 3572 2301 8638 9948 8414 4279
102, 9477 8668 1023 16659 7583 6404 2301 5128 12469 5142
103, 5044 5653 10227 10067 8483 5560 4630 15892 5275 14847
104, 8516 17547 5113 15892 17955 8638 8564 10466 9461 8519
105, 3568 8982 6228 6530 18101 3572 379 4634 8627 8666
106, 3970 4361 5296 3922 6597 17929 16614 8638 5297 8483
108, 4361 3922 4634 10466 7581 8638 3572 10227 7310 17955
109, 5653 5044 5661 10067 10227 3105 7172 7581 5654 4687
110, 5645 4357 8638 8483 5143 15892 6292 5113 10227 10068
111, 7581 8666 3572 12469 10068 8638 2301 15114 197 4634
112, 4124 4123 4194 4361 15892 5370 17559 4034 8638 3922
113, 187 4280 10068 7581 8638 3572 1212 2301 8982 5645
114, 3572 3805 3565 8666 7581 9204 8982 9203 3568 5561
115, 5113 10141 5115 6018 4037 8478 17955 8481 5196 8179
116, 11734 5700 15908 8564 11733 17955 3805 5562 736 8526
117, 6528 8414 8666 8008 5113 10227 7581 8982 6289 4057
118, 3568 4657 2301 5143 10227 4634 5113 7581 12469 4844
119, 10466 7310 5645 6289 6292 8666 5113 8500 5297 189
120, 7495 5508 7493 5561 3805 10466 5113 8638 5142 4844
122, 5297 7310 17955 15892 5114 14847 5112 3922 8179 9224
123, 3922 4361 15892 5700 12194 10466 14847 7172 10469 8483
124, 9302 10067 10466 8638 17955 5044 4748 2301 4693 15892
125, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
126, 4634 9303 5143 3572 2301 10067 18098 8982 7581 3565
127, 3572 3566 3593 8982 7581 3582 8414 9446 7592 9208
128, 10466 4346 6526 3105 9446 8483 17955 5297 14847 4844
129, 10068 6289 8483 5113 8982 9461 17955 7581 8481 197
130, 7662 7657 7661 15892 4627 8526 7581 8982 10227 189
131, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
132, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
134, 5143 8638 5113 17955 3565 8666 4657 10227 7493 3572
135, 724 5508 3806 5562 3805 5695 4844 3572 10067 197
136, 18185 14855 13118 1911 10155 8500 1075 10192 9853 13083
137, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
138, 8668 17955 7172 8414 4361 10067 10466 2301 3805 4634
