user_id,item_list
0, 3569 6530 6289 6404 5553 5700 3572 10227 3601 5494
1, 7259 8470 16148 3604 7671 6391 6280 8429 8202 8984
2, 4657 4658 11734 735 739 11733 737 13837 5732 17550
4, 4634 4728 4638 4637 4731 4723 15303 4726 5043 3951
5, 6798 6794 4013 9641 12196 12194 12195 5297 4748 4747
6, 11715 14912 15856 5305 4732 10359 5570 3456 7550 14958
7, 5112 6798 4977 7174 6880 4071 8505 76 4220 10469
8, 5192 4526 4527 5189 5190 5174 4771 2301 4770 5206
9, 9303 4082 4083 5297 5294 9305 4432 5840 5301 7602
10, 3901 8478 4210 16097 6288 67 15841 8529 3968 4325
11, 18360 2730 4767 9196 17987 4790 4770 4784 5203 4799
12, 3529 4705 3528 3534 4722 3533 4721 9476 9477 3536
13, 4785 1023 4487 5144 5133 4784 4480 4481 5118 4779
14, 6201 6200 7885 5725 4702 9302 7887 3565 9263 6209
15, 18301 18299 12194 6135 10914 3991 17661 10232 7493 3641
16, 9202 9204 9201 9712 9205 5112 7602 9208 8694 8306
17, 3251 7326 5296 9224 4037 5645 3254 187 15892 8478
18, 8347 3105 1689 7326 1691 6546 10141 14865 8257 12199
19, 7190 7195 9714 4458 4310 9930 4053 4030 3883 6897
20, 5560 5143 1023 12194 6404 5645 5112 4728 6526 14847
21, 3565 3576 3595 9208 3566 7592 9205 9446 7368 9199
22, 7496 12257 3654 4019 3655 5752 4010 5737 5736 7494
23, 7172 4691 5143 5700 724 8526 6404 5294 194 725
24, 12194 4691 8483 9461 1023 187 5455 5645 4410 5142
25, 3105 4057 10167 14847 4082 4081 5645 5114 12705 5143
26, 5147 3805 8186 8481 5142 6793 7310 10232 5044 6798
27, 15102 15099 15100 12469 4747 4767 8667 17558 13202 8306
28, 2519 12341 13206 3094 3146 14779 2708 6661 11393 15746
29, 5112 4287 6170 4057 6173 6289 8483 6292 7310 8481
30, 4280 17748 15706 5593 5598 8473 9106 4410 3785 1338
31, 4634 4658 6794 6796 6776 8483 15223 7172 10466 15228
32, 5610 5294 5296 16232 15892 18181 4976 17953 4968 5297
33, 12030 8306 8008 15118 8414 15101 15100 15099 6526 4210
34, 8483 5114 3105 6174 10141 10466 4627 4034 4361 6171
35, 18153 8505 8481 5112 6793 4220 8516 4983 3509 4057
36, 5089 16137 4191 4284 4187 661 9759 16578 10158 10157
39, 18301 18299 4792 4795 3655 7493 3842 10194 7496 5736
40, 5186 15577 1983 4497 5504 7362 8568 6786 10472 5209
41, 5142 6228 6292 4844 7172 197 3806 5294 8186 5044
42, 7172 5143 8483 1023 5700 5114 7581 194 10055 4634
43, 9302 7581 5294 2301 5143 14847 8445 197 6404 10227
44, 3568 3569 15120 15119 9477 15114 13202 5896 16169 844
45, 725 5562 3805 3806 5508 7706 5561 3387 7655 4748
46, 5044 8306 194 8984 1023 5143 8635 9303 11733 7310
47, 5296 10141 5293 15892 4024 9236 5297 17955 3823 5301
48, 5294 7172 8414 5142 4627 9199 9303 4687 9224 9302
49, 724 5508 5695 17507 4291 16171 5648 5469 10179 7137
50, 4728 9477 9476 4638 1943 9461 17995 5043 17503 5275
51, 724 5508 5695 17507 4291 16171 5648 5469 10179 7137
52, 4128 8854 8853 5101 6356 4214 8856 12516 8858 11239
53, 15114 15099 15100 9477 9709 5897 3879 9475 9461 12469
54, 5562 7655 3626 5508 8984 7706 4748 3629 5561 4440
55, 4280 192 197 194 187 5593 6172 6171 4687 4127
56, 4346 4693 4967 5291 4359 4219 3572 9002 16376 3565
57, 5562 5561 10466 8483 17750 3805 17752 4357 4660 4967
59, 4128 5715 1212 5128 227 7199 8638 5143 11301 2103
60, 7662 7661 7657 5603 5602 4446 4440 3564 5957 16306
61, 3529 9199 4657 9204 4658 3531 9202 9206 3530 9201
62, 15852 7118 11166 8570 9599 7116 1879 11011 12525 10856
63, 3572 8666 10068 8483 5113 10466 10227 8526 3805 3806
64, 4703 192 11733 197 187 8347 12815 3806 194 11734
65, 9202 15102 15100 9205 15227 12469 9208 9709 7581 3877
66, 7823 4019 7135 4018 4275 17551 7416 5556 3008 9327
67, 9948 5112 4410 10067 4693 194 5147 3568 6228 4691
68, 8564 5114 8445 4687 10232 4728 7310 3991 18185 197
69, 7496 7493 7495 3654 5752 3655 5737 5060 5736 17863
71, 10846 4000 5113 10979 11300 4483 5840 10845 16209 10044
72, 8563 8506 8570 8569 8508 10067 3572 5518 9446 3565
74, 12199 12181 12201 10636 2835 9446 2103 2834 5940 5291
75, 3852 7771 8171 17601 17965 18318 6231 5703 9196 12532
76, 9014 8635 5455 5294 4691 5142 4696 14847 5120 9224
77, 18096 18097 18098 7583 5190 5458 4795 4243 5128 3992
78, 18231 18236 18238 9199 725 9203 3527 3565 7592 3595
79, 5294 8470 3307 5296 15855 3604 7671 6391 8202 8429
80, 739 735 736 15908 738 737 13837 1944 13838 5700
81, 10142 14851 14867 14870 3100 10141 14852 14847 14876 9145
82, 5147 9446 4693 7199 5044 8564 3991 4629 8668 3541
84, 3572 3565 8982 3593 8984 15496 16096 8414 8404 8623
85, 11734 4194 4123 9305 9477 5297 4193 7602 197 16211
86, 3991 5610 4728 8564 3541 17752 8526 9103 7310 4629
87, 8984 5147 8306 5196 8308 9948 11218 4691 3834 4010
88, 9093 5562 16176 16179 5508 8505 8508 4069 10112 3805
89, 5296 4687 5918 3654 4691 14780 5921 5645 4037 7495
90, 9133 11309 11734 8937 3827 736 737 5696 9124 8030
92, 4687 5455 8564 5114 4657 18185 8414 1023 7192 5560
93, 10068 8179 379 18094 18101 254 5190 18096 6404 7584
94, 7657 7659 7661 5113 4361 16219 4070 3922 7663 4057
95, 15120 10068 521 9712 8516 6530 4280 194 3877 4691
96, 4280 7310 10227 6404 4844 4702 8668 4410 4279 8641
97, 4123 4194 2775 160 4361 17559 9302 5147 4034 9446
98, 8445 12469 8668 4657 10078 4280 4634 194 15114 4279
102, 9477 7583 16659 15030 1023 5128 9475 15031 8668 7198
103, 5653 5649 5470 5044 5664 4416 9104 5221 3944 17600
104, 8516 17547 8519 8556 8523 8506 8513 8505 3057 17765
105, 3568 18101 379 18094 6207 6831 6530 6204 6203 5724
106, 3970 5296 6038 3943 4352 16097 6452 16103 5853 8999
108, 4284 5112 4844 4280 7883 7310 4034 4124 6404 10469
109, 5653 5044 5661 5649 5664 4416 5221 17600 5470 5225
110, 4357 3898 16376 16374 4343 17870 3568 7455 5143 9224
111, 15114 8668 5044 10068 5896 6530 5561 7437 194 7651
112, 4124 4123 4194 6213 4034 17732 657 4361 4365 5370
113, 187 4280 10068 6018 17752 7642 4410 8179 3879 3641
114, 9204 9202 5561 9203 3805 9206 9446 9201 3568 8982
115, 5113 5115 6018 10141 4358 4623 4037 11300 4102 9562
116, 9128 11734 8564 11733 11309 8565 8570 8569 15908 735
117, 6528 8008 8414 9446 15100 9448 15099 17989 15102 6228
118, 3568 4779 2301 8635 5139 5895 5593 9477 5896 8668
119, 8500 10466 5645 7310 6292 8567 4057 8179 3387 126
120, 7495 7493 5561 5508 3805 7627 1212 3842 3827 6292
122, 5297 4024 3902 14883 6209 521 15705 15396 15674 9260
123, 15819 5483 3827 16227 12186 7172 13590 4357 16222 5481
124, 9302 4748 17790 6207 9305 6203 6201 6204 11906 11834
125, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
126, 4634 18098 18097 18092 9303 18101 18100 18094 3569 17750
127, 3572 3566 3593 3582 8982 7592 8404 7581 3576 3595
128, 3105 4346 9446 16376 4359 6526 14865 10141 17870 16374
129, 10068 7437 6289 7190 4703 7199 18343 17995 8481 197
130, 7662 7661 7657 5603 7248 5602 4446 4440 3564 4202
131, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
132, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
134, 8849 5895 7493 5896 5143 4251 17955 8473 3655 5729
135, 724 5508 5695 17507 4291 16171 5648 5469 10179 7137
136, 18185 17712 11805 9593 14084 2808 2361 4732 6388 3095
137, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
138, 8668 7455 8414 12469 3845 2301 4242 8526 7581 10227
139, 9303 17951 8666 6289 8481 8667 5322 7581 8445 8635
140, 3902 5112 8179 11218 15854 4057 6018 5113 11222 6782
141, 4657 15101 4634 15100 15099 4731 4712 4711 4728 4727
142, 11733 11734 735 15908 738 5700 10813 13837 10831 17550
143, 18096 18101 18094 379 18098 18097 1689 1691 18093 8034
144, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
145, 6776 6780 15132 6445 6798 4346 1631 15144 5756 4976
146, 4702 4710 4703 4359 4346 5143 4723 3568 8414 4219
149, 4657 15114 4279 5726 6228 15101 15099 8668 5895 3877
150, 12815 4128 3554 7490 7489 5673 4214 5672 11220 5523
151, 9203 9202 9204 4634 4658 9201 5297 3901 10068 5115
152, 4035 4033 4124 4194 11395 3922 9228 8849 7334 4365
153, 0 12332 12331 12330 12329 12328 12327 12333 12326 12324
155, 3569 10141 6391 8515 4985 4983 14852 14865 14847 8445
156, 4280 15101 5508 15099 15102 5561 7651 8506 7706 3805
157, 15458 5143 10466 5147 10141 16220 16211 2301 4481 4691
158, 9302 15398 18096 5297 15707 5196 9305 5115 7602 3114
