user_id,item_list
0,4130 8617 15303 1227 4205 8957 546 4795 17613 17140
1,12469 7199 15114 5354 8328 7459 5712 11666 16426 4763
2,12194 7662 14851 7310 8583 3633 14617 5650 4161 546
4,7662 4209 9048 10068 8309 7310 9448 5196 15907 6943
5,16281 5847 6662 12470 4057 9948 3254 3307 8426 7182
6,5005 5593 4418 8318 17140 3541 4037 8984 3059 15303
7,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
8,9948 4057 5005 5520 8483 11300 16661 5434 17140 2709
9,5362 3880 6695 5488 7534 4835 4215 4439 8032 8469
10,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
11,572 8186 5128 4628 4968 3572 5188 6768 8834 6167
12,17352 7114 11280 13666 5599 1147 6403 661 17730 6894
13,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
14,572 6793 4970 4357 4702 11222 9655 6043 1105 10078
15,7199 12469 10068 2301 7883 8567 8666 12194 8872 5142
16,4418 9048 15907 7310 7662 4217 9305 8473 7199 8259
17,345 3606 17784 15704 3555 1915 6457 1172 8852 15891
18,4759 6768 17584 6064 4526 7583 2739 6900 12253 9266
19,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
20,4702 8483 4070 9655 11191 2289 6793 15892 4755 5560
21,7880 4284 11222 4070 4365 14743 4094 4317 11191 2289
22,8426 5340 7185 4982 4355 17288 6756 12630 5411 11393
23,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
24,8842 9479 7215 16506 245 5328 11252 4197 10915 5406
25,7703 16176 9229 197 8636 194 7304 8516 4864 4640
26,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
27,12469 7199 8666 2301 8623 8635 9448 10068 13825 3815
28,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
29,4130 8617 7529 8506 15303 6885 8852 4342 5593 11937
30,4418 15907 9048 6920 8309 5354 7199 8328 4798 5431
31,4284 7880 11222 5488 14743 4365 572 5589 3880 3911
32,11222 5115 4057 12572 16182 11214 5291 5589 16661 3064
33,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
34,16378 9223 17965 8629 9671 9646 2353 6983 11215 7403
35,4418 7662 15907 7310 12194 546 4161 1464 8473 3059
36,4418 7662 8473 7529 5196 3516 3105 8259 5431 7594
39,4418 5593 15907 4399 5196 8852 8924 8473 5431 4952
40,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
41,17955 4037 4036 17784 14722 485 8318 8981 7626 12572
42,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
43,11222 4284 9622 5589 439 14743 5872 16226 4030 4887
44,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
45,4418 7114 8318 2310 2990 389 7529 6393 5586 5593
46,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
47,8852 15303 7529 17140 5593 4418 8620 8506 6885 16220
