user_id,item_list
0,3507 14170 10425 10673 8943 16602 1475 6882 15185 9871
1,10163 9246 16306 3631 3954 10080 2734 8852 4656 5264
2,3631 3344 3960 11894 8065 9338 4636 9172 15486 13863
4,6219 16376 246 3254 10650 4627 11200 5120 5753 187
5,15183 2740 10698 6385 18233 15760 12635 15687 3104 1011
6,9453 5739 1262 14525 6911 10188 3537 14780 4656 15663
7,10474 7873 13617 7764 841 2626 11846 3445 16168 16970
8,4970 16376 13918 3991 189 14727 5074 15756 5114 3278
9,4057 4891 15237 7823 8684 540 1673 4506 2002 10394
10,11248 6597 5593 13275 9476 9840 17351 8096 501 7608
11,4187 6769 7494 5174 12760 9144 4249 8892 5746 11920
12,5368 13576 15227 17917 17838 15309 7608 11248 5895 10569
13,10163 7870 4656 5265 15731 6049 6478 14839 1646 14780
14,4506 11920 8936 3593 6281 5725 4359 5745 3571 187
15,7363 6288 8074 4631 4070 4708 2426 17759 5279 2162
16,8483 5700 5293 4057 7708 8569 10077 232 12661 6881
17,17829 4253 10837 8035 7116 9476 645 11242 5586 8984
18,3765 4919 4063 1691 10009 6812 6494 6380 10569 5677
19,8023 5586 6233 5555 4169 11193 16213 5561 6640 7673
20,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
21,4180 4651 4931 5424 8530 7292 15031 8948 7494 15797
22,15031 5679 15892 7494 4651 7583 8530 2505 4781 4931
23,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
24,9143 1415 3631 4342 18094 4656 5360 5623 6414 3624
25,14451 4487 10009 5232 11202 15459 14858 1172 12193 5174
26,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
27,5117 11300 4253 8500 8892 15892 11254 10455 8978 2490
28,6752 8137 7600 10167 8962 3540 5174 6430 1338 546
29,17733 11795 9347 14247 2505 10311 814 10185 6494 13421
30,9104 379 15892 5112 6828 4806 8626 8506 15183 8473
31,1276 9162 4314 15232 3851 8903 11239 4266 7494 15666
32,17733 8903 11846 8948 2505 4142 4314 8530 3741 814
33,16185 8534 6793 2586 4127 13845 4531 13856 7602 4352
34,6323 3623 7329 15731 1646 14772 12705 13847 5277 11703
35,9104 5360 8506 16201 9143 4091 10660 16578 11300 3584
36,5700 189 194 3074 16209 16292 5297 7688 4690 11734
39,9453 16219 4454 6118 8426 4402 7252 9983 10188 12527
40,76 14434 6414 10202 16303 1481 9347 4591 9858 4581
41,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
42,4651 2505 15031 3365 16256 14875 4001 15227 4314 5043
43,16355 4581 3537 7664 12083 2786 10744 5606 11374 7298
44,3571 4506 10856 11193 5137 6481 5261 8922 7548 14959
45,379 2154 6948 6785 6038 5112 5564 586 10067 1921
46,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
47,7326 3827 2586 5113 4094 6344 192 197 584 7174
48,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
49,15445 4057 4044 4341 12066 13158 4157 7220 10609 8903
50,8684 17523 4266 15365 7534 8802 432 12673 4608 7063
51,1475 9642 6172 3507 3003 14780 6882 17140 4090 6219
52,14786 7818 3823 10423 9347 8614 9883 14434 2383 10485
53,7197 5293 5700 189 3891 5432 4623 7662 9019 5189
54,15892 194 3922 3604 11300 4651 15031 8473 3566 5120
55,7494 4266 8483 3851 4034 4365 7455 4123 5313 1636
56,10660 8935 3090 17332 4200 12526 7301 374 13206 2154
57,15183 16220 4311 4906 9104 5112 13206 13386 10657 5455
59,4651 7292 4314 9538 7330 4059 12644 7146 15031 4202
60,5895 5417 12526 10117 3627 8473 5710 16306 6343 5604
61,4090 8203 2586 17140 5926 3842 3624 6219 6680 6344
62,4199 3848 4777 8426 14251 6800 3555 6667 16532 15228
63,8450 2729 1237 14033 9447 4814 8701 11371 6281 8887
64,4069 2835 14852 6323 17870 8526 50 3636 5213 5593
65,4057 5603 8526 7170 10887 14941 6940 17449 12154 11891
66,6090 4715 15232 5432 5842 8875 732 11007 11270 2427
67,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
68,72 13297 17955 7939 2835 12227 17870 10856 13862 4187
69,14780 5586 6463 7870 5927 9453 4702 10158 5149 4621
71,11300 4702 5117 11254 5586 15954 4628 7331 4034 15892
72,7174 8483 11300 9104 6798 4094 4634 3827 3972 192
74,4702 5495 11191 7336 9714 8982 13254 17955 4618 16186
75,15227 9476 16532 4485 8390 7608 4796 4829 16306 17787
76,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
77,15350 5728 15173 15227 4933 4919 8418 2725 4063 7459
78,8962 6726 432 2560 8684 14434 1295 5790 9693 6556
79,4063 189 7662 16304 13602 14451 5598 4785 1694 15732
80,4057 6881 3898 6288 194 6707 12038 6530 4891 17917
81,2154 5296 3059 4037 4361 1338 5112 4770 8445 17955
82,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
84,15514 9133 4594 3948 5899 10849 3069 18308 718 11305
85,9104 6494 8849 16578 8506 5617 4284 5120 4299 10108
86,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
87,9246 8852 9347 4735 8712 12000 15636 4130 14205 2456
88,15237 2775 6802 4409 11300 4651 1673 9951 67 6429
89,7219 1691 7372 8885 6494 9638 3765 16141 7364 8640
90,7219 4253 10587 1691 3765 15712 5677 2490 9638 5289
92,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
93,9104 16578 7174 9103 10163 5610 13421 3899 5013 9347
94,4702 16578 6228 8759 17735 5586 4628 7887 3972 6545
95,5700 8892 4933 189 1034 5556 8202 14858 9170 7719
96,13218 4123 10080 7123 9163 18207 11790 5169 4088 14128
97,2808 3380 10043 1512 14470 1554 10821 432 509 13633
98,76 6414 5343 7195 6728 6802 7324 10311 3380 15237
102,16376 3922 2185 4728 8179 4094 4627 4544 9104 4755
103,16376 17733 509 16225 1554 6494 668 17727 6812 6948
104,15237 6802 6414 7308 7219 11300 10123 13552 17944 883
105,4627 187 14247 4190 192 8903 10807 9229 3741 7331
106,7217 6750 2500 3278 16255 10949 4231 2240 9055 7141
108,13862 4715 13053 14764 6430 6808 7465 660 6948 2522
109,3972 3827 584 728 13081 7326 4634 8483 8487 9868
110,14451 4806 10960 6881 7311 4221 3584 10077 3074 15892
111,8854 5593 4187 9303 8943 13918 3531 3636 4970 6323
112,16376 8425 5951 4446 4806 7602 7522 3544 8936 5644
113,9476 4253 4359 5289 4485 8262 4454 4768 16219 6686
114,7662 5700 189 4057 3074 4708 5520 1041 17955 5432
115,15892 5564 16225 7583 5679 6812 9104 8506 10185 5556
116,10122 5606 8569 11374 4487 3818 10077 7664 8483 10569
117,718 3943 6228 4199 4485 9476 6545 4253 12981 4081
118,10009 3765 15712 7475 8419 4933 5120 17501 7664 15291
119,374 5926 4112 5899 10192 12532 74 8111 75 5637
120,5700 194 5361 11734 3807 9476 6686 4708 8997 17759
122,8483 9229 7494 6798 4034 4365 5293 3922 15892 3807
123,6219 2586 10650 4090 11200 17140 6834 5745 246 1105
124,5895 17917 189 2560 432 16532 7585 4623 5387 4965
125,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
126,13206 6882 551 10698 14105 3794 3919 6969 8912 7298
127,5416 15712 18092 4487 4253 8978 8892 5361 3894 8914
128,4357 7475 15183 2740 4768 13206 8425 3104 3919 10650
129,4702 5586 15954 11191 6785 379 6462 9104 1023 5610
130,14451 660 3253 16076 6337 10393 4960 16761 4908 12765
131,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
132,6834 4095 5302 6495 16622 9455 13893 8425 16097 16200
134,3631 4485 7964 3344 15809 9338 1886 5056 4315 11078
135,6172 9362 6337 4862 13746 1475 3507 477 11196 14073
136,5586 4702 16339 15151 7693 7331 1967 4287 3058 11715
137,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
138,4097 6948 4253 12439 4429 8640 15655 10194 4775 13918
139,9476 4623 4199 4446 4806 5912 4112 8936 374 4253
140,4594 3100 5732 5679 5681 5828 18206 8547 7664 10137
141,4770 4970 3991 15503 4416 8854 9303 17955 3059 4037
142,5681 4221 15003 1691 5677 3963 4063 4802 8156 5732
143,5700 4187 5731 5593 7592 10055 15100 9303 4253 3074
144,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
145,15851 46 390 15136 4815 10163 2988 17890 15652 6982
146,9031 8799 7146 11272 6969 10698 4379 10056 3794 7298
149,5681 8892 5117 8500 7583 15712 2723 1691 7719 5293
150,5700 6323 4206 15100 8318 4235 5731 7887 4708 3836
151,6219 5927 4735 7495 3972 2599 2121 14281 8382 9336
152,2900 3584 5043 6812 4697 1535 16303 4221 9104 4802
153,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
155,5700 7603 10562 7494 4506 6798 8214 5720 3902 8483
156,16768 9476 4746 4359 4338 14743 6686 718 4357 17787
157,7664 6744 1475 2740 2816 5149 4091 9453 8879 10657
158,5912 5115 4123 76 6949 12256 16400 6798 883 4034
159,668 16376 15756 12037 16303 2522 6344 10650 4924 509
160,16305 9642 16196 11728 76 6882 9858 5955 6438 1484
161,9104 6494 10650 5304 5617 13582 16186 14247 16761 12612
162,4084 10085 8943 4736 3537 2292 1649 3085 16404 8574
163,7174 7195 10068 8483 4702 3923 5360 4454 6526 197
164,14451 5593 5951 4253 11214 17351 17580 11202 8943 1321
165,16376 12037 15756 10650 6919 8425 668 17955 5304 16176
166,4359 4806 13206 13477 8483 6777 187 4034 5745 13345
167,7326 4627 6797 5304 7496 5322 17955 3655 4361 5193
168,7592 5061 3876 8401 12358 3556 15226 8023 6416 7692
169,8483 8023 8943 4034 4183 11920 13275 4187 4487 12760
170,15227 14251 15350 16532 12673 10851 7608 7534 8526 7063
171,13863 14241 13206 4315 15395 4311 14621 15851 3401 12415
172,4243 7581 6545 5061 4456 5281 6228 5167 4359 5926
173,15892 187 5293 4627 3922 9104 4094 9014 8483 2185
174,1475 6172 6882 8943 4090 5061 6545 3571 3667 9642
175,5293 4057 15892 5117 10807 1673 11394 4627 10297 5737
176,9104 11300 13218 5360 7664 14247 5117 660 5022 8128
177,12635 10009 10592 7624 2505 8419 4130 17727 1293 1932
178,6323 4069 12852 6049 1649 17870 7329 14779 5593 4358
179,5117 10455 10650 10009 14451 3253 10807 8460 13077 7170
180,16106 4057 4070 4708 5700 7662 189 5432 520 5297
181,5895 6028 17965 12526 7490 5524 5264 4023 8473 15227
182,16303 6219 16376 1481 8309 3922 8203 9655 4728 5745
183,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
184,4127 4360 7710 11393 14281 5261 5542 6791 4407 7626
185,12852 3996 15851 6752 9020 15949 10115 242 8469 8962
186,5413 3537 4636 5163 4399 11783 9115 3571 5593 5056
187,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
188,14451 4708 5598 6881 5700 10077 10960 7335 9476 3074
189,7664 10698 5289 15183 5117 7624 13275 15712 4487 3104
190,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
191,10650 14451 16376 12612 6910 8425 10144 1487 3401 3955
192,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
193,4057 7608 5700 7662 4708 13210 189 16532 16106 1041
194,8892 4187 4249 11679 5656 2341 7292 7592 7494 9126
195,3571 5698 6165 12201 6811 13206 6049 4456 4090 13863
196,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
197,6866 14451 17955 10960 5297 6930 4708 3074 4057 10142
199,17733 652 4142 7170 2505 11846 2797 15350 4919 7308
200,7679 16376 9124 3653 5284 13325 6900 4728 8404 3568
201,8359 10887 16076 15954 10472 10923 9617 10675 6942 18046
202,4123 17759 17917 7534 16532 1777 5542 4069 15227 4948
203,7664 2360 4487 5828 15514 9133 3679 133 5232 3069
204,2900 16303 9347 7174 15892 10311 6802 10393 14434 9104
205,6494 8849 6948 12572 5141 12439 7792 379 4299 9951
206,13386 5511 16376 4799 5466 5222 5617 5284 7664 6744
207,4359 6798 6545 6228 3972 4034 5745 5725 9476 3827
208,5753 5304 8481 3655 5661 10067 5112 4627 8982 5189
209,4506 4487 5593 7329 11920 4187 11214 13206 12852 7178
210,5189 7592 3654 9204 3593 9201 3876 10067 4452 5287
211,4253 4806 11920 4359 13206 9476 4487 4357 7581 8936
212,718 12256 14033 4746 16095 8488 8035 3683 14745 16366
213,4506 11920 3972 8483 3827 187 7581 3057 6798 7421
214,15237 12903 8488 11567 15486 878 15366 7077 2797 7219
215,5074 5174 16209 9609 6793 17955 4970 16376 3569 4770
216,3507 6219 9562 14170 3919 7298 11196 18181 14434 1475
217,16201 9104 5360 11300 3584 7624 4221 15183 14207 16256
219,3252 7581 6639 6545 3654 3827 4359 5926 8505 4634
221,6785 4035 3827 8111 8203 187 5113 4728 5926 379
223,16376 4806 10650 4728 4687 15183 3593 17955 5644 3919
224,4708 17917 8997 10122 16532 4057 6881 15350 4073 12673
225,16376 3064 14451 10650 16176 7602 6793 5304 7172 2709
226,16532 72 9174 4077 14186 7219 11891 5603 4199 10128
227,5895 4485 5524 16424 3631 11218 6343 4269 4796 4199
228,7624 1496 14451 10393 814 16201 5117 15183 2900 4221
229,5593 6323 13210 5034 8943 3074 5951 7329 6165 5700
230,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
231,3571 8936 9171 8854 16845 2458 8943 4187 14139 16404
232,6881 3898 2560 14434 432 16303 8254 8684 9081 4695
233,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
234,7664 5277 13081 17740 11658 6566 7873 5302 4487 5360
235,4506 7603 5700 8214 6233 7887 10813 16106 3387 4458
237,8903 8309 4927 192 3741 4190 2897 11715 841 7331
238,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
239,13218 5360 11300 9104 1673 841 16578 5120 7873 2897
240,9476 4253 4359 11920 8035 4214 5352 4454 12705 15514
241,5877 4636 15760 11007 8879 12187 9716 2740 11337 10657
242,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
243,9104 4044 12561 7219 13143 16201 13206 14844 13421 10649
244,7363 16106 13421 11061 13565 4708 5313 12008 16862 16692
245,9104 16376 8483 15892 5120 7583 3568 5293 2185 6282
246,9453 11422 10188 13576 2 10698 6956 4130 3765 5289
248,16201 5895 6686 16175 16222 8127 11218 4815 9593 7823
250,16376 10650 6219 5222 4030 3624 694 3919 16303 2522
252,5593 4487 8701 14451 7220 5951 4187 4323 13275 5174
254,11894 7664 17866 3445 10009 16465 2740 3919 10393 8441
255,12201 3953 10080 2586 6734 3238 2292 12333 3823 7129
256,4627 5293 10807 10297 15892 11394 6359 4057 5193 9951
257,12037 16376 7659 5432 5304 15636 5753 16176 4660 15861
258,3537 2729 15104 1686 16192 9265 10085 17372 12363 4399
259,17735 572 8759 5061 6545 4702 389 6172 3972 4202
260,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
261,7219 8640 10009 16761 11281 4253 12612 14146 5117 660
262,15183 13206 3104 551 4806 3951 9039 3919 9632 6901
263,8526 4057 4708 4070 5297 5115 6167 3807 14451 10142
264,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
265,14033 6777 187 17740 16317 7773 14628 7873 5302 841
266,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
267,3555 203 3823 10467 2505 4955 4093 2386 1554 10174
268,4180 5120 15797 6138 3695 15712 3104 7146 6233 14743
269,11972 6897 10851 9181 5539 15805 1276 17456 18308 8574
270,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
271,4931 9473 5575 995 3629 5118 18288 6733 10117 3885
273,6686 9476 11218 4454 4485 8262 8390 6028 3943 8065
274,14451 16528 9170 1487 8368 3970 4960 5598 4073 15706
275,11300 5929 4702 9104 9473 5117 3293 5360 3566 13172
276,15892 7583 9104 4057 5293 14451 6802 4708 3963 5737
277,4069 7663 4399 8583 10207 156 17873 15855 17650 1661
278,8912 8569 16303 8483 14105 4284 4379 2456 6282 17713
279,11300 9104 16201 5360 6482 7516 14865 3057 14583 9143
280,2988 10698 4158 14364 14504 8614 15547 4314 15094 16574
281,7679 6948 6219 8879 246 6022 2099 16376 5120 5927
282,14451 4708 4057 4073 5598 5279 11252 6881 13210 11000
283,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
284,15227 16768 5945 11248 5054 16586 17917 15805 16351 9978
285,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
286,4123 520 8186 6866 16185 4111 7354 4638 12410 4024
288,9104 11300 8483 6282 4221 15892 8569 15003 4805 5293
289,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
290,5700 4708 16106 4187 3074 14451 8214 5297 10077 4057
291,11666 5895 7823 4032 4339 18218 12151 10643 10102 8127
292,16376 5074 5304 16186 17955 15892 7688 14451 9461 10650
294,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
296,5698 8854 3991 13210 5847 15503 4970 8269 4770 3059
298,4702 5586 4243 11300 6228 11254 4628 16339 6482 4253
300,8483 4034 10122 187 3922 10525 6707 3633 10202 17733
301,16303 16376 7664 4697 3380 4063 4802 4221 6812 5606
302,4728 197 3827 4806 192 187 8638 3842 5275 7195
304,4627 4094 4057 2185 17955 5304 5293 4035 8483 15861
305,4360 4314 15232 5287 6797 11393 5169 6948 7210 3741
306,5700 7592 7887 4506 4187 11193 5189 3387 5731 4742
307,5679 8506 15892 379 6812 16767 4594 3584 5120 4221
308,14451 4253 4187 5593 8892 8701 13297 4487 72 10009
310,1673 7873 5360 7823 13218 15237 16118 7219 17437 10675
311,4623 9476 14743 581 5912 3593 10192 9019 7197 6420
313,4180 5120 4805 4010 4284 14045 4219 5293 5387 8569
314,7174 7336 7329 10056 8483 15652 10163 7332 17735 5192
315,16264 8473 5700 379 6828 8694 15892 7366 8506 13578
316,8854 4506 3636 5593 3571 9475 3991 4437 6793 16185
317,16185 5005 9461 4361 4037 5637 3074 8445 9303 3654
318,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
319,5644 3104 4728 9264 8483 4806 6282 15183 15854 3252
320,7664 1481 6414 11004 16158 5343 8611 7948 10423 15000
321,12572 6948 16304 14843 16217 12983 12439 379 16604 6494
323,5120 4010 4927 8309 4891 5361 13838 8172 4318 12133
324,16768 4594 5534 14359 9978 7466 5277 14033 8194 16646
325,4253 9476 5289 5352 10128 2723 4454 15514 10569 6956
326,9104 12561 16578 9603 11300 732 5287 4634 9229 16141
