user_id,item_list
0,3569 6530 10227 6404 17835 10067 6289 8635 5700 5693
1,7259 16148 16460 18073 7354 16144 8470 4184 11260 4949
2,4657 4658 735 11734 739 11733 5732 737 13206 13837
4,4634 4728 13393 14225 15892 18191 7219 13893 3195 1886
5,9641 12196 4013 12195 6798 12194 6794 1105 5297 7352
6,14912 14135 13554 5305 10359 5590 5195 4732 7947 345
7,5112 4057 6798 4977 10469 11222 6780 7174 8784 6289
8,5192 4526 4527 5189 5190 18140 5174 18063 18070 18163
9,9303 4082 4083 5297 4432 7602 4086 749 5294 4069
10,3901 13416 6288 12557 4348 6738 8478 7150 18422 15098
11,18360 2730 4767 2725 12527 9196 2731 6081 4784 15701
12,4705 3529 4722 3534 9476 3528 9477 4721 3533 3536
13,4785 1023 4487 5133 4784 4480 5144 5118 4779 5142
14,6201 5725 7885 6200 4702 16463 6209 9302 5401 4703
15,18301 18299 12194 17661 15708 13235 3698 3991 7493 394
16,9202 9204 9201 9712 5297 11191 6167 3877 7602 8405
17,3251 7326 5645 18081 5296 16262 5756 11890 6650 187
18,8347 1689 9641 1691 7326 8257 3105 12368 4440 6546
19,7190 9714 7195 6289 4638 374 7194 8481 5112 4458
20,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
21,3565 3572 9208 6202 7368 3576 3566 6203 3595 7592
22,7496 12257 4019 3655 12355 12358 3654 18292 5113 7490
23,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
24,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
25,10167 4082 4081 12705 14847 3105 5143 4057 17871 5645
26,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
27,15102 15099 15100 4747 12469 17558 13297 4767 2234 5044
28,2519 13206 3094 14779 2708 11393 5400 5401 5399 2908
29,4287 6170 6173 5112 16137 6289 3942 8498 8499 7353
30,4280 17748 15706 3785 8473 16307 5593 3786 4008 3732
31,4634 4658 3516 6794 15223 3514 8483 5297 5875 15222
32,16232 7258 3983 18181 5296 5294 16428 5113 5916 1326
33,15099 8414 15101 15118 8666 15100 8306 8008 9461 7581
34,6174 6171 4361 4034 5114 3922 5112 10466 9224 8483
35,18153 8505 4844 5297 5113 8481 6289 8508 6404 8516
36,5089 4191 16137 4187 7997 661 10157 10158 4033 17394
39,18301 18299 10194 4795 4792 1932 7496 3655 7493 10192
40,4497 5196 5752 4838 15768 4554 4551 1241 5186 6901
41,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
42,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
43,5294 7581 10227 2301 4024 5143 5113 14847 6404 8445
44,3568 3569 15120 15119 15114 9477 13202 4223 6302 4417
45,725 3805 7823 5562 5661 1685 3806 13033 7695 5176
46,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
47,3823 9236 7153 7323 7121 5297 4035 5296 15199 7063
48,3922 4361 197 4657 187 3806 10466 5296 8982 5700
49,724 5508 4703 8706 4300 6642 5695 17507 3387 3806
50,9476 9477 4728 15030 9461 10080 8306 4638 15706 10579
51,724 5508 4703 8706 4300 6642 5695 17507 3387 3806
52,4128 8854 6356 11653 5101 8853 8856 4214 8389 8381
53,15114 15100 15099 9477 9709 3568 10725 6289 3569 15030
54,5562 3626 7655 4440 3629 3624 7706 5561 4748 5508
55,4280 197 192 194 187 6172 6171 234 6289 2692
56,4346 6117 6118 4359 4967 16376 3565 3572 9002 4693
57,5562 17750 10466 3805 5561 17752 16099 3554 16097 3654
59,4128 5715 11301 207 15908 4214 735 5144 737 11389
60,7657 7662 7661 5603 5602 4440 4446 3564 9263 5957
61,3529 4657 9199 4658 3531 3530 9204 9206 9202 3534
62,15852 11166 8563 7118 7357 7116 9599 2098 2205 13405
63,3572 3529 15101 7496 10068 9092 15100 4280 8666 15227
64,4703 12815 197 192 8347 11733 187 194 3806 5135
65,9202 15100 15102 15227 7704 4790 5190 3568 15223 7496
66,7823 4019 4018 7135 7825 4275 8872 6011 8585 17546
67,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
68,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
69,7496 7493 10451 7495 5736 11163 2147 3838 3654 18248
71,11300 10846 4000 5113 5345 5184 2539 10839 12286 6432
72,8506 8570 4361 8563 8569 17559 10463 8508 3922 3146
74,11403 9446 10636 13348 14113 3698 14847 3426 2835 544
75,3852 7771 8984 17601 12532 17965 939 8171 6231 1704
76,10067 8666 8414 6289 2301 4657 194 8481 189 12469
77,18096 18098 18097 7583 14244 18092 17790 18100 1023 18101
78,18231 18236 18238 725 9199 3565 9203 3527 161 7592
79,5294 5296 15855 5287 8470 4360 4024 15892 3307 15853
80,739 1944 735 5133 736 737 15908 18096 738 13838
