user_id,item_list
0,3569 6404 13206 6530 5835 10227 6289 3601 4399 4416
1,8470 13208 11220 8429 14617 15398 9132 7671 9487 6763
2,4657 4658 13206 5732 13208 3835 14977 4652 4010 13215
4,4634 15892 4728 13393 8637 7219 4340 173 18148 13210
5,4984 6798 4013 9641 12194 3146 6794 5297 7352 5645
6,14909 13554 8632 2234 11750 3603 2822 4005 11849 9379
7,7496 6881 3569 7671 11218 10117 4513 5114 8257 9199
8,8481 9014 3565 4691 4280 5560 5044 7494 4844 6018
9,9303 4082 5297 4083 8203 5115 5322 10163 3845 8565
10,3611 7662 11218 5189 5508 4057 6526 15099 3827 7584
11,18360 2730 4767 9196 4784 5008 4790 5203 13202 12527
12,3529 4705 3528 4722 3534 4721 4710 3527 6986 3533
13,8668 18185 11733 4627 6793 4630 3655 8380 5275 5147
14,6200 5725 6201 7885 16463 3105 3534 4358 7888 9263
15,18299 18301 17661 3830 5737 5397 6516 5368 5742 5743
16,9204 9202 9201 11191 5297 6167 13202 9446 4210 7602
17,7326 7325 5756 7323 5297 18081 3951 15387 8445 3199
18,8347 7326 1689 9641 12194 6546 3105 1691 864 4440
19,4010 10055 5196 194 8564 3568 17140 9104 7174 18096
20,10232 3569 131 5147 5560 4487 3387 8414 8179 5951
21,3565 3572 7368 3576 9208 3595 9205 3594 7592 7365
22,12257 7496 5752 12355 18292 11734 7304 12358 6778 13837
23,5192 4513 5518 3541 10141 4034 4357 9104 7657 5128
24,11734 10141 5926 5455 5887 5192 6943 3572 5560 13918
25,10167 4082 4081 5143 4057 8711 8700 14847 17871 7642
26,5926 7496 9477 11734 12038 6793 1023 9948 5192 12469
27,15102 15099 15100 4767 8667 12469 3882 8086 4784 4481
28,192 4976 18185 6793 4696 7354 4034 7496 5196 5147
29,4287 6171 16137 8306 16849 6170 7661 3653 2605 8564
30,4280 17752 17748 8473 9106 5593 10575 5671 5693 1338
31,4634 4658 6794 3514 15223 5297 11222 3516 5113 15222
32,16232 3983 5143 16410 16428 4723 16179 5005 16178 14852
33,7493 3509 75 3105 10117 3541 7661 6943 7640 8667
34,10466 4361 4034 16182 7703 4193 5112 10230 5455 588
35,5113 4968 8984 4844 6793 8481 13210 4053 5432 6404
36,4033 4187 7997 17392 660 17394 13523 8049 2771 1624
39,18299 18301 10194 5114 3655 5737 10141 7493 10192 10807
40,3569 5926 3611 4034 4396 6393 15099 18185 5611 6793
41,6780 6793 5926 15101 4357 10141 7642 9115 7354 6526
42,15907 131 17752 9302 11733 3827 15101 10055 8306 12355
43,4010 5192 7495 5951 131 4365 7662 8306 7172 8179
44,9224 5120 11734 3842 7661 3991 9948 3531 5695 5926
45,4280 5128 3565 9014 8257 5736 194 6526 3834 5331
46,131 192 5114 7642 14727 6793 11222 11733 9199 3565
47,9229 8567 13206 12548 10087 4977 7135 16281 11191 4024
48,1943 17870 11191 5147 3059 8508 4010 10067 7584 4630
49,4629 4396 2103 7495 5611 18185 4487 4057 6794 5005
50,9476 9477 15030 4728 13825 9048 15031 4638 8666 15112
51,7583 8306 7495 4219 3842 4010 3827 11734 3834 7192
52,4128 8854 8856 17955 5101 4214 197 3146 6784 8853
53,15119 15099 15100 15114 9477 9709 10725 15030 6530 3879
54,3572 11734 6780 4627 8202 8186 4420 4687 5074 9475
55,4280 197 192 194 187 18291 234 10067 3873 8011
56,4346 6117 4693 3565 4359 16438 6118 4660 6906 7310
57,5562 17750 3554 3805 3654 17752 4627 5673 16099 10466
59,207 5715 11301 15908 4217 6344 4102 5523 8306 3842
60,4357 7657 737 4396 1023 4280 5189 17140 9115 8668
61,3529 4657 9204 3531 9206 3533 9201 9199 4658 10142
62,131 11733 3509 7657 3565 4418 3611 6798 8526 7496
63,3572 3529 15101 7496 9092 8666 15227 18096 10068 7662
64,4703 8347 12815 4704 197 5135 3806 11733 735 4440
65,9202 15102 15100 15227 15223 5190 3568 9205 12469 7493
66,4410 3593 6881 5115 5142 4976 1943 6794 7661 8380
67,18185 4280 7657 5610 10232 4034 8202 11222 6808 6780
68,3565 4034 7172 4207 7887 9477 4410 4037 8473 12355
69,9643 18248 11163 5460 10261 3556 11234 11933 17659 4256
71,11300 6219 10297 4095 5589 4977 5294 14867 5611 4279
72,8506 8563 8567 9224 3565 3146 5481 4905 10463 1105
