user_id,item_list
0,10227 5113 6289 6404 3569 3572 8982 12469 5562 8638
1,15892 4728 8483 8982 5142 6292 7354 10227 3805 7259
2,4657 4658 11734 5700 11733 3805 735 8666 737 10067
4,4634 4728 10067 8666 2301 10466 5562 12469 189 10227
5,5645 6798 10466 8483 14847 15892 5297 8982 10227 6292
6,10227 9461 4844 5113 345 8635 5645 5114 18096 8982
7,10466 6289 17955 5297 4361 5112 5113 6798 4057 14847
8,5192 5189 5190 4526 4527 10067 12469 2301 4771 5174
9,4657 9303 8982 5297 8483 10227 15892 5645 17955 3572
10,3901 8478 17955 5297 1212 5294 4357 16178 8186 5645
11,18360 8638 2730 8564 10068 1212 5700 4767 5135 12469
12,3529 4634 17955 10067 9461 8982 4657 4728 15892 3565
13,1023 4785 5142 4762 5147 3806 2301 6526 10067 10227
14,3572 3565 8982 8638 17955 10067 2301 15892 12469 8666
15,12194 3991 17955 7496 10232 18301 3842 10067 17661 5294
16,9202 9204 9201 12469 8982 17955 8638 10227 8666 7581
17,15892 187 5645 3922 4361 9224 3251 14847 10067 4657
18,17955 15892 8483 8638 4361 5113 5297 3922 10141 4657
19,8638 6289 10466 4361 8481 3806 5113 12469 17955 5700
20,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
21,3565 3572 6526 9208 8982 7581 8666 8984 9461 8414
22,7496 8982 3565 4657 5113 3572 5297 10067 5142 8638
23,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
24,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
25,14847 15892 5645 17955 5143 2301 8638 10466 3105 5294
26,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
27,15102 15099 12469 15100 8414 8666 8982 197 2301 10227
28,17955 4634 3572 8481 2519 4057 13206 3805 10466 13831
29,5112 17955 4844 4057 6404 8483 4634 8666 6289 6292
30,4280 17748 3572 10067 10068 7581 8982 5113 4844 15892
31,4634 5297 4658 10466 5645 15892 8638 17955 5113 8982
32,15892 8483 4627 5113 5297 5294 5645 2301 5296 4361
33,6526 8414 8666 15101 7581 9461 15099 3572 1212 8526
34,4361 6292 10466 3922 8483 8638 6289 5114 5112 8481
35,4844 5113 5297 5562 6404 6289 15892 17955 8481 8638
36,4191 16137 3922 4361 4284 4033 4034 5089 4124 4194
39,197 8445 5455 8666 9461 3565 8982 7496 3572 5700
40,5196 3566 3991 9446 3996 10277 8363 1041 11353 5752
41,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
42,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
43,17955 14847 5113 4844 6289 10227 2301 5297 3922 10466
44,3568 3569 15119 15120 12469 9461 4657 9477 5897 9448
45,725 3805 5562 3806 1212 12469 8666 8481 8638 5113
46,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
47,5297 17955 5296 15892 10141 5044 4361 9103 4728 5301
48,3922 4361 197 4657 187 3806 10466 5296 8982 5700
49,724 5562 3806 3805 5508 4844 1212 5044 187 3572
50,4728 8666 2301 5113 7581 9461 8638 6289 10466 17955
51,724 5562 3806 3805 5508 4844 1212 5044 187 3572
52,17955 4128 10466 5700 10068 8483 15892 9014 6798 8638
53,15114 12469 15100 15099 7581 9461 8666 8414 1212 8526
54,5562 2301 10227 12469 8638 8984 5645 724 3805 7655
55,4280 197 192 194 187 10067 2301 17955 10068 5562
56,17955 3572 15892 5297 10466 3565 4844 5645 197 6526
57,10466 5562 8982 8483 17955 197 5113 10067 3806 3805
59,5143 8638 10067 17955 1212 5113 10227 2301 12469 10466
60,7662 7657 7661 7172 5602 15892 4440 5113 4446 6228
61,4657 3572 15892 3565 5645 197 10067 8638 5297 10466
