user_id,item_list
0,10227 6404 5113 8982 6289 3572 197 8638 3569 5562
1,15892 4728 8982 5142 3805 4657 4634 8483 8666 7581
2,4657 4658 11734 5700 8666 17955 11733 3805 10067 12469
4,4634 4728 10067 8666 3572 15892 2301 5143 9461 5142
5,5645 10466 6798 8483 5297 14847 8982 17955 6289 5113
6,10227 4844 8638 18096 9461 5113 5114 10843 2301 8982
7,10466 5297 17955 14847 5113 6289 5112 4634 15892 4361
8,5192 5189 5190 2301 4526 4527 12469 10067 4771 4657
9,9303 5297 8982 3572 8483 4657 10227 3565 8638 15892
10,3901 5297 8478 17955 1212 6292 10067 3842 189 3572
11,18360 8638 10068 5113 7671 2730 12469 10067 9461 8564
12,3529 3572 4634 10067 3565 9461 17955 4657 8982 5297
13,1023 4785 5142 2301 8982 10227 4762 5147 4657 8526
14,3572 3565 8982 8638 10067 17955 2301 4657 8666 6228
15,12194 8982 4691 17955 3842 3991 194 10067 7496 5560
16,9202 9204 12469 8982 7581 8666 8638 17955 4657 3572
17,15892 3922 10067 17955 187 8483 2301 4657 7581 4361
18,8483 17955 5297 4361 8638 5113 4657 6289 10067 3922
19,17955 10466 8638 5113 3572 8483 12469 2301 1212 4361
20,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
21,3565 3572 6526 8982 8414 7581 3566 8984 9303 8666
22,7496 4657 3565 8982 5297 5113 8638 10067 3572 2301
23,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
24,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
25,14847 15892 17955 5645 2301 8638 5143 10466 5297 5113
26,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
27,12469 15099 15102 8666 15100 8414 3565 3572 197 8982
28,3572 17955 4634 13206 3805 10466 14847 8481 3565 8666
29,17955 5112 4634 5645 6289 8483 8666 4657 4844 3922
30,4280 3572 7581 10067 17748 3565 8982 197 12469 10466
31,4634 4658 10466 5297 5113 5645 8638 8982 15892 17955
32,15892 5297 5645 8483 2301 5113 4361 5294 10466 3565
