user_id,item_list
0,8506 10466 4280 5113 8414 8989 7581 8982 8478 3570
1,10466 8506 8407 4280 3570 5115 7586 7585 6280 8414
2,5113 10466 5115 8479 7173 11191 8478 8989 5564 4279
4,10466 8478 5113 8506 8989 4280 5115 4279 7581 4030
5,10466 5113 8478 8506 5115 4030 5937 5275 5926 4279
6,10466 8506 8989 5113 8478 4280 5115 8414 7581 3570
7,8506 10466 7581 5115 4280 8989 5113 9477 9476 9475
8,5113 10466 7173 5115 5564 11191 8479 8989 8407 5296
9,10466 8478 5113 8506 8989 4280 5115 4279 7581 4030
10,10466 5115 8407 7173 5113 5564 8506 9108 9109 382
11,10466 8478 5113 8506 8989 4280 5115 4279 7581 4030
12,10466 5115 8407 7173 5113 5564 8506 9108 9109 382
13,10466 5115 8407 7173 5113 5564 8506 9108 9109 382
14,10466 5113 8506 5115 4280 8989 5926 5275 5937 10227
15,10466 5115 5113 8479 7173 5296 11191 4037 5564 8478
16,5113 10466 5115 7173 8506 5564 11191 8407 8479 8989
17,10466 5113 7172 8407 8989 7581 8506 5115 7173 7583
18,5113 10466 7173 5115 5564 11191 8479 8989 8407 5296
19,5113 10466 7173 5115 5564 11191 8479 8989 8407 5296
20,5113 10466 7173 5115 5564 11191 8479 8989 8407 5296
21,10466 8407 5113 5115 7173 8506 7581 9108 9109 3570
22,5113 10466 5115 7173 8506 5564 11191 8407 8479 8989
23,10466 5113 8506 7581 5115 8989 7173 8407 8982 4279
24,8506 10466 4280 5113 8414 8989 7581 8982 8478 3570
25,10466 8506 8407 4280 3570 5115 7586 7585 6280 8414
26,10466 7173 5115 8407 5113 7172 5941 8989 5275 5937
27,10466 5113 7173 5115 8407 5564 4057 7172 5112 11191
28,10466 5113 5115 7173 4124 3922 4740 4361 8989 7172
29,8506 8407 4280 3570 5115 7585 7586 6280 8414 7581
30,8506 10466 4280 5113 8414 8989 7581 8982 8478 3570
31,10466 5113 5115 5926 5275 5937 8478 8989 7172 7173
32,10466 5115 5113 8479 7173 5296 11191 4037 5564 8478
33,10466 5113 7172 8407 8989 7581 8506 5115 7173 7583
34,10466 5115 8407 7173 5564 8506 9108 9109 382 12469
35,5113 5115 4280 8407 5941 5937 5275 5926 8506 8989
36,10466 7173 5113 8989 5941 7172 5115 5926 5937 5275
39,10466 5115 8407 7173 5113 5564 8506 9108 9109 382
