user_id,item_list
20,10466 4279 6277 4124 5115 8479 4030 5113 9014 12469
23,12469 4065 5113 8666 4020 4021 8668 4279 10466 5897
26,4124 6277 4279 10466 5113 4030 5115 12469 5941 4484
41,10466 8667 4124 6405 4279 5941 5113 7586 7581 7585
46,12469 4279 10466 9014 4149 5113 8668 4030 6277 5941
48,4124 4035 4361 4365 4033 8479 5115 3941 17560 4279
67,12469 4065 5113 8666 4020 4021 8668 4279 10466 5897
76,10466 4279 5113 12469 6405 9014 8667 5897 8668 7581
82,12469 4065 5113 8666 4020 4021 8668 4279 10466 5897
86,10466 4279 6277 4124 5115 8479 4030 5113 9014 12469
92,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
125,4279 10466 12469 8666 7581 8668 6405 9014 5113 4030
131,10466 6405 8667 5113 4279 7586 8666 8668 5897 7581
137,12469 4279 10466 9014 8668 8666 4149 4030 4967 5113
144,12469 8666 8668 5113 8667 5897 4279 6405 10466 9014
153,4279 12469 10466 5113 8668 4149 7581 8666 5941 4030
183,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
187,4124 6277 4279 10466 5113 4030 5115 12469 5941 4484
190,12469 6405 8666 5897 8668 7581 5113 10466 4279 4149
192,12469 4279 10466 9014 4149 5113 8668 4030 6277 5941
196,6405 10466 8667 12469 7581 5897 7586 7585 4279 5113
230,4124 6277 4279 10466 5113 4030 5115 12469 5941 4484
233,4279 12469 10466 5113 8668 4149 7581 8666 5941 4030
238,10466 4279 6277 4124 5115 8479 4030 5113 9014 12469
242,10466 6405 8667 7585 7586 5113 7581 5897 4279 8885
260,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
264,10466 6405 5113 12469 8667 7581 4279 8666 8668 7586
266,4279 12469 10466 5113 8668 4149 7581 8666 5941 4030
270,4124 4279 4361 10466 6277 4034 4035 3941 4365 4033
283,12469 8666 4021 4065 8668 4279 5113 4020 9014 4030
285,12469 8666 4021 4065 8668 4279 5113 4020 9014 4030
289,10466 6405 8667 7585 7586 5113 7581 5897 4279 8885
294,12469 8666 8668 5113 8667 5897 4279 6405 10466 9014
318,12469 8666 8668 5113 8667 5897 4279 6405 10466 9014
329,8667 4124 10466 5113 4279 5941 12469 7585 7586 4484
334,10466 6405 5113 12469 8667 7581 4279 8666 8668 7586
346,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
351,12469 4065 5113 8666 4020 4021 8668 4279 10466 5897
359,8667 4124 10466 5113 4279 5941 12469 7585 7586 4484
364,10466 6405 5113 12469 8667 7581 4279 8666 8668 7586
372,12469 8666 8668 5113 8667 5897 4279 6405 10466 9014
389,12469 4279 10466 8666 8668 4967 9014 8479 4057 5113
393,10466 6405 7581 4279 7586 7585 7583 8666 4057 12469
398,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
400,10466 6405 8667 7581 7585 7586 4279 12469 5113 8668
414,10466 6405 4279 5115 5113 4057 8668 8666 9014 7586
422,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
444,4279 12469 10466 5113 8668 4149 7581 8666 5941 4030
447,12469 4065 5113 8666 4020 4021 8668 4279 10466 5897
459,12469 4065 5113 8666 4020 4021 8668 4279 10466 5897
476,4124 6277 4279 10466 5113 4030 5115 12469 5941 4484
492,12469 6405 8666 5897 8668 7581 5113 10466 4279 4149
500,4124 6277 4279 4030 10466 5941 5113 5115 12469 9014
505,10466 6405 7585 7586 5113 4279 8667 7581 8885 8884
511,10466 12469 4279 6405 8668 5113 8666 9014 7581 8667
521,10466 6405 4279 7581 8668 9014 7586 5115 8666 5113
530,6405 10466 8667 12469 7581 5897 7586 7585 4279 5113
544,4124 4279 4030 10466 6277 12469 5113 5115 9014 4149
