user_id,item_list
0,4020 4021 4065 10466 7588 7437 3570 10094 8407 5113
1,4021 4065 4020 4129 10466 7593 6526 4279 3876 8407
2,11191 4279 8564 5530 6277 10466 2299 3318 10751 4065
4,4021 4020 4065 11597 5813 14179 4279 10466 6277 3827
5,5113 4279 5523 18260 72 11191 4021 4020 4065 5530
6,5113 4021 4065 4020 8476 8506 5115 10466 4279 5941
8,8989 11191 8479 4507 5113 10466 4279 3318 5578 16177
9,4020 4021 4065 11597 5813 14179 4279 10466 6277 3827
11,4065 4021 4020 11597 5813 14179 4279 10466 6277 3827
12,4507 10466 4020 4021 4065 7497 7498 4279 4487 4484
14,10466 5285 4280 546 4480 6289 9475 9476 9477 4849
15,10466 11191 4279 4065 4020 4021 3318 8479 5530 17558
16,3318 16177 6277 4279 8982 10466 5275 11191 4016 5937
17,3827 8308 5115 10466 5523 8407 8171 5113 4020 4021
18,8989 11191 8479 4507 5113 10466 4279 3318 5578 3807
20,8989 11191 8479 4507 5113 10466 4279 3318 5578 16177
21,10466 4065 4020 4021 4507 16177 4016 6289 5115 5455
22,3318 16177 6277 4279 8982 10466 11191 5937 5275 4016
24,4021 4020 4065 10466 7437 7588 10094 3570 5113 8407
25,4021 4020 4065 4129 10466 7593 6526 4279 3879 3876
27,8308 14175 16177 4193 3827 4020 4021 4065 4033 4035
29,4020 4065 4021 4129 6526 7593 4279 3879 3876 8407
30,4020 4021 4065 10466 7437 7588 10094 3570 8407 5113
31,5578 4279 3827 546 7173 10466 5306 7880 11191 9132
32,10466 11191 4279 4065 4020 3318 4021 8479 5530 17559
34,4507 10466 4065 4020 4021 7498 7497 4279 4487 4484
35,3810 5113 5578 5530 4030 4507 8601 186 194 197
36,10466 5113 8989 16179 4781 4056 8479 5578 7329 4507
39,4507 10466 4020 4065 4021 7498 7497 4279 4487 4484
41,3810 10466 4507 5113 4124 4030 194 197 192 4021
43,10466 7583 4280 8407 4279 7581 4057 6289 9477 9476
45,11191 4279 8564 6277 5530 3318 2299 10466 10751 4065
47,3318 16177 6277 4279 8982 11191 5275 5937 10466 5926
49,10466 8989 4280 4279 7583 8407 5285 3318 5115 4057
50,8479 10466 5115 5113 8989 16177 4507 4016 5508 4065
52,10466 8989 5578 4280 5115 6289 8479 3827 5285 4480
53,10466 5115 4480 6289 5113 7581 5285 4849 4279 4762
55,3318 16177 6277 8982 11191 4016 5937 5926 10466 4507
56,10466 8479 4016 5113 16177 4021 4020 4065 6289 4480
57,10466 8479 4016 5113 16177 4065 4020 4021 5115 4480
59,8479 10466 5115 5113 8989 16177 4507 4016 5508 4065
61,10466 4020 4021 4507 16177 4016 6289 5115 8479 4480
63,10466 8479 4021 4020 16177 7173 4016 16219 6277 9016
64,3810 10466 4507 4124 5113 4030 7497 4065 192 194
65,4507 10466 4020 4021 4065 7498 4279 4484 4487 4016
67,10466 8479 4016 5113 16177 4065 4020 4021 5115 6289
69,10466 5285 4280 546 4480 6289 4849 9477 9476 9475
71,4507 10466 4065 4020 4021 7497 7498 4279 4487 4484
72,10466 4016 5113 7588 3565 4737 192 186 4065 4020
74,8479 10466 5115 5113 8989 16177 4507 4016 5508 4020
76,10466 3827 4279 8564 7173 5523 5530 4020 4065 4021
77,10466 8479 4016 5113 16177 4020 4065 4021 6289 4480
78,10466 5115 4480 6289 5113 7581 5285 725 4761 4762
79,10466 5285 8470 8407 3318 7581 4849 4280 7583 4279
80,10466 5115 4480 6289 5113 7581 5285 4849 4761 4762
81,10466 8479 4016 5113 16177 4021 4065 4020 4480 6289
84,8479 10466 5115 5113 8989 16177 4507 4016 5508 4065
85,10466 4021 4020 4065 4507 4016 16177 6289 5115 8479
87,10466 5113 8989 16179 4781 4056 8479 5578 7329 4507
88,10466 4020 4065 4021 4507 6277 6526 4034 1212 4361
89,10466 8479 4021 4020 4065 5115 16177 3827 5578 16219
90,5518 724 725 10466 7581 10094 4279 5285 7584 406
93,10466 5115 4480 6289 5113 7581 5285 4279 725 724
94,8989 11191 8479 4507 5113 4279 3318 5578 16177 3806
95,10466 5115 4480 6289 5113 7581 5285 4761 4849 724
96,10466 4016 5113 3565 7588 197 1212 4065 3922 192
97,10466 4016 5113 7588 3565 4737 186 4020 3922 4065
98,3810 5113 10466 8601 186 197 195 194 3565 192
102,10466 5285 4280 546 4480 6289 9477 9476 9475 4849
104,3318 16177 6277 4279 8982 11191 5926 5937 5275 4016
105,10466 4065 4021 4020 4507 6277 6526 1212 4034 4361
108,8989 11191 8479 4507 10466 4279 3318 5578 3806 3807
110,5518 724 725 10466 7581 10094 4279 5285 7584 406
111,10466 5285 8470 8407 3318 7581 4849 4280 7583 4279
112,10466 5285 4280 546 4480 6289 9475 9476 9477 4849
113,3318 16177 6277 4279 8982 5275 4016 5926 11191 5937
114,10466 6289 18260 4021 4480 4020 4065 4279 5115 4280
116,10466 5113 8989 16179 4781 4056 8479 5578 7329 4507
117,3827 8564 4279 7173 5523 5530 4020 4065 4021 6289
118,10466 8479 4016 16177 5113 4020 4065 4021 4480 5115
120,10466 4020 4021 4065 4507 4016 16177 6289 5115 5455
123,4507 10466 4065 4020 4021 7498 7497 4279 4487 4484
124,10466 11191 4279 3318 4065 4020 4021 8479 5530 17558
126,10466 6289 18260 4020 4480 4065 4021 4279 5115 4280
128,4507 10466 4065 4020 4021 7497 7498 4279 4484 4487
129,10466 8479 4020 4021 4065 16177 7173 3827 4016 16219
130,3810 5113 10466 8601 4016 3565 197 195 194 192
132,4507 10466 4065 4021 4020 7497 7498 4279 4487 4484
134,3318 16177 6277 4279 8982 11191 5926 10466 4016 5275
136,8479 10466 5115 5113 8989 16177 4507 4016 5508 4065
138,3318 16177 6277 4279 8982 10466 5937 11191 5275 5926
139,10466 4021 4065 4020 4507 16177 4016 6289 5115 8479
140,3810 5113 8601 197 192 194 4016 195 186 3565
141,4507 10466 4020 4021 4065 7497 7498 4279 4487 4484
142,10466 8479 4016 16177 5113 4020 4021 4065 6289 4480
143,11191 4279 8564 6277 5530 3318 2299 10466 10751 4021
145,10466 4016 5113 7588 3565 4737 186 3922 197 192
146,5115 10466 5113 4279 8989 4480 5578 6289 5530 3827
