user_id,item_list
0,10466 6405 5113 3318 7584 7581 12469 7583 5941 4396
1,5113 7584 3318 10466 14851 7585 7586 5275 5926 5937
2,16186 8479 4030 5113 5115 4037 11191 4035 4033 17732
4,16186 5113 3318 6405 5813 7584 10466 5293 12469 16182
5,5113 7584 16182 13647 9228 72 10466 16186 5294 3318
6,5113 3318 10466 7584 7581 7583 12469 725 724 6405
7,7583 7584 7582 6405 7585 7586 7581 8883 8668 8666
8,5113 7581 8479 10466 8989 7583 5115 4034 17560 17559
9,16186 5113 3318 6405 7584 5813 10466 5293 12469 16182
10,5113 11191 7581 4033 4034 10466 4035 4124 7584 4030
11,16186 5113 3318 6405 7584 5813 10466 5293 12469 16182
12,5113 11191 7581 4033 4034 10466 4035 4124 7584 8479
13,5113 11191 7581 4034 10466 4035 4033 4124 5112 4030
14,10466 7586 7585 7582 5113 8564 7583 10227 12469 6405
15,5113 8479 4034 4124 10466 8475 17732 16182 7329 11191
16,10466 5113 7581 8982 4034 7583 6405 4033 4035 4021
17,5113 5115 10466 3100 11191 12469 8982 4037 3318 6289
18,5113 7581 10466 8479 8989 7583 5115 17560 17558 4034
19,5113 7581 10466 8479 8989 7583 5115 17560 17558 4034
20,5113 7581 8479 10466 8989 7583 5115 4034 17560 17559
21,5113 11191 10466 8479 3318 7584 8989 16392 4065 4020
22,10466 5113 7581 8982 7583 4034 6405 4033 4035 4021
23,10466 5113 4021 4020 4065 3318 12469 7584 4396 7583
24,10466 6405 5113 3318 7584 7581 12469 7583 5941 4396
25,5113 7584 3318 14851 10466 7585 7586 5275 6405 5937
26,4124 11191 5113 10466 3318 5115 4035 14851 7584 4033
27,15847 5113 10466 4034 5115 3941 9104 9002 4033 4035
28,4124 17732 4142 5113 16186 4037 10466 5287 4967 11191
29,7584 3318 14851 7585 7586 6405 5275 5937 5926 7581
30,10466 6405 5113 3318 7584 7581 12469 7583 5941 4396
31,5113 5115 10466 7584 7690 11309 7581 12469 8564 9016
32,5113 8479 4034 10466 8475 4124 17732 16182 7329 11191
33,5113 5115 10466 3100 11191 8982 4037 3318 10290 380
34,11191 7581 4035 10466 4033 4034 4124 5112 7584 8479
35,5113 725 724 17560 17558 15201 17559 5941 5578 7581
36,5113 10466 4124 5115 17558 17559 17560 3318 8479 17732
39,5113 11191 7581 10466 4035 4034 4033 4124 5112 7584
40,10466 4124 5275 5926 724 725 5937 11191 5113 9228
