user_id,item_list
20,4279 10466 5112 8989 724 725 4035 4034 4033 7498
23,4279 8989 5113 10466 724 725 7172 5112 7581 6405
26,4034 4035 4033 16182 4279 7497 7498 5112 11191 17558
41,4035 4034 4033 4279 5112 16182 7498 7497 10466 11191
46,4279 10466 8989 4035 5112 4033 725 724 4034 7497
48,4033 4034 4035 4279 7497 7498 5112 16182 10466 11191
67,4279 8989 5113 10466 724 725 7172 5112 7581 6405
76,4279 8989 4280 7581 6405 5113 10466 724 725 7172
82,4279 8989 5113 10466 724 725 7172 5112 7581 6405
86,4279 10466 5112 8989 724 725 4035 4034 4033 7498
92,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
125,4279 8989 10466 6405 7581 4280 5113 725 724 7172
131,4279 8989 6405 4280 7581 10466 5113 724 725 7172
137,4279 8989 10466 724 725 5113 7581 5112 7172 6405
144,4279 8989 6405 725 4280 5113 10466 7581 724 7172
153,4279 7498 4034 5112 7497 10466 7172 8989 4033 4035
183,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
187,4034 4035 4033 16182 4279 7497 7498 5112 11191 17558
190,4279 8989 724 5113 6405 725 7581 4280 10466 5112
192,4279 10466 8989 4035 5112 4033 725 724 4034 7497
196,4279 8989 4280 6405 5113 724 10466 7581 725 7172
230,4034 4035 4033 16182 4279 7497 7498 5112 11191 17558
233,4279 7498 4034 5112 7497 10466 7172 8989 4033 4035
238,4279 10466 5112 8989 724 725 4035 4034 4033 7498
242,4279 6405 4280 7581 8989 5113 725 724 3510 10227
260,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
264,4279 6405 8989 7581 725 4280 724 5113 10466 7172
266,4279 7498 4034 5112 7497 10466 7172 8989 4033 4035
270,4034 4033 4035 4279 7498 7497 5112 16182 10466 11191
283,4279 10466 8989 724 725 7581 5113 5112 6405 4280
285,4279 10466 8989 724 725 7581 5113 5112 6405 4280
289,4279 6405 4280 7581 8989 5113 725 724 3510 10227
294,4279 8989 6405 725 4280 5113 10466 7581 724 7172
318,4279 8989 6405 725 4280 5113 10466 7581 724 7172
329,4035 4033 4034 4279 7498 7497 5112 10466 11191 16182
334,4279 6405 8989 7581 725 4280 724 5113 10466 7172
346,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
351,4279 8989 5113 10466 724 725 7172 5112 7581 6405
359,4035 4033 4034 4279 7498 7497 5112 10466 11191 16182
364,4279 6405 8989 7581 725 4280 724 5113 10466 7172
372,4279 8989 6405 725 4280 5113 10466 7581 724 7172
389,4279 10466 8989 724 5113 725 5112 7581 7172 6405
393,4279 8989 4280 6405 7581 10466 5113 725 724 7172
398,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
400,4279 8989 6405 7581 725 4280 724 10466 5113 7172
414,4279 8989 6405 7581 4280 10466 725 5113 724 7172
422,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
444,4279 7498 4034 5112 7497 10466 7172 8989 4033 4035
447,4279 8989 5113 10466 724 725 7172 5112 7581 6405
459,4279 8989 5113 10466 724 725 7172 5112 7581 6405
476,4034 4035 4033 16182 4279 7497 7498 5112 11191 17558
492,4279 8989 724 5113 6405 725 7581 4280 10466 5112
500,4034 4033 4035 4279 7498 5112 7497 16182 10466 11191
505,4279 8989 6405 10466 7581 4280 5113 724 725 7172
511,4279 8989 6405 10466 7581 5113 4280 725 724 7172
521,4279 8989 10466 7581 6405 724 5113 725 4280 7172
530,4279 8989 4280 6405 5113 724 10466 7581 725 7172
544,4279 10466 5112 8989 4035 4033 5113 7498 4034 7497
