user_id,item_list
7,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
10,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
13,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
19,10466 6405 3318 5113 11191 3922 4033 4035 725 724
23,6405 10466 3318 4280 8667 5113 12469 8989 725 724
26,4124 3922 4035 4033 4034 10466 17560 17559 17558 11191
28,4124 4035 3922 4033 17559 4034 17560 11191 10466 17558
33,6405 10466 3318 5113 8667 725 11191 724 4280 6277
40,4124 3922 4033 4035 17560 4034 17558 17559 16182 11191
42,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
44,6405 10466 3318 8667 4280 5113 12469 4396 4149 8989
46,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
48,4124 4035 3922 4033 17559 4034 17560 11191 10466 17558
51,6405 8667 10466 3318 4280 7586 7585 7584 724 725
54,10466 3318 11191 3922 4035 5113 4033 6405 725 724
60,6405 10466 3318 4280 5113 8667 725 724 11191 12469
62,6405 10466 3318 4280 5113 8667 725 724 12469 4396
66,6405 10466 3318 4280 8667 725 724 12469 5113 6277
68,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
75,6405 10466 3318 4280 8667 724 12469 5113 725 4149
82,6405 10466 3318 4280 8667 5113 12469 8989 725 724
86,10466 6405 3318 5113 11191 3922 4033 4035 725 724
92,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
103,10466 3318 6405 724 725 5113 11191 4280 8989 12469
106,4124 3922 4033 4035 17560 4034 17558 17559 16182 11191
109,10466 3318 6405 724 725 5113 11191 4280 8989 12469
115,6405 8667 10466 3318 4280 7586 7585 7584 724 725
119,10466 3318 6405 724 725 5113 11191 4280 8989 12469
122,10466 4033 4124 4035 3922 11191 3318 4034 5113 17560
125,6405 10466 3318 4280 8667 8989 4396 5113 724 12469
127,6405 10466 3318 4280 8667 725 724 12469 5113 6277
131,6405 10466 3318 4280 8667 724 12469 5113 725 4149
135,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
137,10466 6405 3318 4280 11191 5113 724 8667 725 6277
144,6405 8667 10466 3318 4280 7586 7585 7584 724 725
153,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
163,6405 10466 3318 4280 8667 724 12469 5113 725 4149
168,6405 8667 10466 3318 4280 7586 7585 7584 724 725
174,4124 3922 4033 4035 17560 4034 17558 17559 16182 11191
178,6405 3318 10466 4280 8667 725 4480 8989 4396 12469
181,10466 6405 3318 8667 4280 724 5113 725 12469 8989
183,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
186,4124 4035 3922 4033 17559 4034 17560 11191 10466 17558
190,6405 10466 3318 4280 8667 725 724 12469 5113 6277
192,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
196,6405 10466 3318 4280 8667 724 5113 12469 725 8989
205,3922 4124 4035 4033 10466 4034 11191 17558 17559 5113
214,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
219,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
225,3318 6405 10466 725 11191 724 8667 4280 5113 4149
227,3318 6405 10466 11191 5113 4280 6277 725 724 8667
230,4124 3922 4035 4033 4034 10466 17560 17559 17558 11191
233,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
238,10466 6405 3318 5113 11191 3922 4033 4035 725 724
240,10466 6405 3318 4280 11191 5113 724 8667 725 6277
242,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
246,6405 10466 3318 4280 8667 5113 724 725 4396 12469
254,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
258,6405 8667 10466 3318 4280 7586 7585 7584 724 725
260,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
264,6405 10466 3318 8667 4280 5113 7584 4396 725 724
266,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
270,4124 4033 3922 4035 17560 17559 17558 4034 10466 16182
283,3318 6405 10466 11191 5113 4280 6277 725 724 8667
285,3318 6405 10466 11191 5113 4280 6277 725 724 8667
289,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
294,6405 8667 10466 3318 4280 7586 7585 7584 724 725
298,6405 10466 3318 4280 8667 724 5113 12469 725 8989
302,10466 3318 6405 5113 11191 4280 4149 12469 8989 725
307,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
314,6405 10466 3318 4280 8667 5113 12469 8989 725 724
317,6405 10466 3318 4280 8667 724 5113 12469 725 8989
321,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
329,10466 4124 3922 4033 4035 4034 5113 3318 11191 17559
334,6405 10466 3318 8667 4280 5113 7584 4396 725 724
343,6405 10466 3318 4280 5113 724 725 11191 8667 6277
346,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
351,6405 10466 3318 4280 8667 5113 12469 8989 725 724
356,4124 3922 4035 4033 17558 4034 17560 16182 17559 4361
359,10466 4124 3922 4033 4035 4034 5113 3318 11191 17559
361,3922 4124 4035 4033 10466 4034 11191 17558 17559 5113
364,6405 10466 3318 8667 4280 5113 7584 4396 725 724
