user_id,item_list
20,10466 6405 3318 5113 11191 3922 4033 4035 725 724
23,6405 10466 3318 4280 8667 5113 12469 8989 725 724
26,4124 3922 4035 4033 4034 10466 17560 17559 17558 11191
41,4124 3922 4033 4035 17560 4034 17558 17559 16182 11191
46,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
48,4124 4035 3922 4033 17559 4034 17560 11191 10466 17558
67,6405 10466 3318 4280 8667 5113 12469 8989 725 724
76,10466 6405 3318 8667 4280 724 5113 725 12469 8989
82,6405 10466 3318 4280 8667 5113 12469 8989 725 724
86,10466 6405 3318 5113 11191 3922 4033 4035 725 724
92,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
125,6405 10466 3318 4280 8667 8989 4396 5113 724 12469
131,6405 10466 3318 4280 8667 724 12469 5113 725 4149
137,10466 6405 3318 4280 11191 5113 724 8667 725 6277
144,6405 8667 10466 3318 4280 7586 7585 7584 724 725
153,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
183,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
187,4124 3922 4035 4033 4034 10466 17560 17559 17558 11191
190,6405 10466 3318 4280 8667 725 724 12469 5113 6277
192,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
196,6405 10466 3318 4280 8667 724 5113 12469 725 8989
230,4124 3922 4035 4033 4034 10466 17560 17559 17558 11191
233,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
238,10466 6405 3318 5113 11191 3922 4033 4035 725 724
242,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
260,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
264,6405 10466 3318 8667 4280 5113 7584 4396 725 724
266,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
270,4124 4033 3922 4035 17560 17559 17558 4034 10466 16182
283,3318 6405 10466 11191 5113 4280 6277 725 724 8667
285,3318 6405 10466 11191 5113 4280 6277 725 724 8667
289,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
294,6405 8667 10466 3318 4280 7586 7585 7584 724 725
318,6405 8667 10466 3318 4280 7586 7585 7584 724 725
329,10466 4124 3922 4033 4035 4034 5113 3318 11191 17559
334,6405 10466 3318 8667 4280 5113 7584 4396 725 724
346,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
351,6405 10466 3318 4280 8667 5113 12469 8989 725 724
359,10466 4124 3922 4033 4035 4034 5113 3318 11191 17559
364,6405 10466 3318 8667 4280 5113 7584 4396 725 724
372,6405 8667 10466 3318 4280 7586 7585 7584 724 725
389,6405 10466 3318 4280 5113 724 725 11191 8667 6277
393,6405 3318 10466 4280 8667 725 4480 8989 4396 12469
398,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
400,6405 3318 10466 8667 4280 725 8989 7586 4480 12469
414,6405 10466 3318 4280 725 5113 724 8667 11191 4480
422,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
444,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
447,6405 10466 3318 4280 8667 5113 12469 8989 725 724
459,6405 10466 3318 4280 8667 5113 12469 8989 725 724
476,4124 3922 4035 4033 4034 10466 17560 17559 17558 11191
492,6405 10466 3318 4280 8667 725 724 12469 5113 6277
500,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
505,6405 10466 3318 4280 5113 8667 725 724 11191 12469
511,6405 10466 3318 4280 5113 8667 725 724 12469 4396
521,6405 3318 10466 4280 724 5113 8667 725 11191 6277
530,6405 10466 3318 4280 8667 724 5113 12469 725 8989
544,10466 4033 11191 4124 6405 4035 3922 3318 5113 4034
548,6405 10466 3318 4280 8667 5113 725 724 12469 4396
564,6405 8667 10466 3318 4280 7586 7585 7584 724 725
577,6405 10466 3318 4280 8667 5113 725 724 12469 4396
579,10466 4124 3922 4033 4035 4034 5113 3318 11191 17559
595,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
614,10466 6405 3318 5113 11191 3922 4033 4035 725 724
622,6405 10466 3318 4280 5113 8667 725 724 12469 4396
638,6405 10466 3318 8667 4280 5113 7584 4396 725 724
656,6405 10466 3318 8667 4280 5113 7584 4396 725 724
679,6405 10466 3318 4280 8667 5113 12469 8989 725 724
692,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
720,4124 3922 4033 4035 17560 4034 17558 17559 16182 11191
744,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
756,6405 8667 10466 3318 4280 7586 7585 7584 724 725
760,6405 3318 8667 10466 4280 7586 8989 7585 5113 7584
779,6405 10466 3318 11191 5113 4280 6277 12469 8989 724
787,6405 3318 10466 8667 4280 725 8989 7586 4480 12469
798,6405 10466 3318 4280 8667 5113 12469 8989 725 724
817,10466 4033 4124 4035 3922 11191 3318 4034 5113 17560
824,10466 4033 4124 4035 3922 11191 3318 4034 5113 17560
839,3318 6405 10466 11191 5113 4280 6277 725 724 8667
849,6405 10466 3318 4280 8667 5113 12469 8989 725 724
854,10466 3318 3922 4124 4033 5113 6405 11191 4035 4034
857,6405 10466 3318 4280 8667 5113 12469 8989 725 724
862,6405 8667 10466 3318 4280 7586 7585 7584 724 725
868,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
870,10466 4033 11191 4124 6405 4035 3922 3318 5113 4034
874,10466 3318 4035 3922 11191 4124 6405 5113 4033 725
885,6405 3318 10466 8667 4280 725 8989 7586 4480 12469
899,6405 8667 10466 3318 4280 7586 7585 7584 724 725
