user_id,item_list
0,8982 12469 5113 4279 6405 10466 8407 4065 4021 4020
1,12469 8982 6405 5113 4279 4280 8407 3570 10466 8989
2,8982 11191 12469 5115 3318 11190 8479 8475 7659 7657
4,12469 8982 5113 4279 10466 8407 11191 4065 3318 8989
5,12469 8982 5113 8989 4279 11191 5578 5115 8478 4030
6,8982 12469 5113 4279 10466 6405 8989 8407 3570 11191
7,12469 8982 8989 5113 4279 6405 4280 3570 10466 7293
8,12469 8982 11191 5115 5113 8989 11190 4030 8479 4279
9,12469 8982 5113 4279 8407 11191 10466 4065 8989 4021
10,12469 8982 8989 5113 11191 4279 8478 4280 8407 3318
11,12469 8982 5113 4279 11191 10466 8407 8989 3318 4065
12,12469 8982 5113 8989 11191 4279 10466 4030 8478 8407
13,12469 8982 8989 5113 11191 4279 8478 4280 8407 3318
14,8982 12469 8989 4279 6405 5113 4280 8407 10466 7293
15,12469 11191 11190 8989 8982 7657 8984 8479 5113 8478
16,8982 12469 5113 11191 4279 3318 8479 4065 4020 8407
17,12469 8982 8989 5113 4279 5115 10466 8407 11191 8478
18,12469 8982 5115 11191 5113 8479 11190 8989 3318 5578
19,12469 8982 11191 5115 5113 8989 11190 4030 8479 4279
20,12469 8982 11191 5115 5113 8989 11190 4030 8479 4279
21,12469 8989 8982 4279 4020 5113 11191 4021 4065 5115
22,8982 12469 5113 4279 11191 3318 8407 4021 4020 4065
23,12469 4065 4021 4020 8982 11191 3318 5113 5115 8989
24,8982 12469 5113 4279 6405 10466 8407 3570 4020 4021
25,12469 8982 5113 6405 4279 4280 3570 8989 10466 8407
26,5113 8982 12469 11191 3318 4030 8479 5115 5578 4279
27,12469 8982 11190 8989 5578 11191 8479 5113 7657 4279
28,8479 12469 11190 11191 5115 8989 8982 4124 4030 8478
29,12469 8982 6405 4280 4279 3570 8989 8407 5518 8667
30,8982 12469 5113 6405 10466 8407 4020 4021 3570 4065
31,8989 8982 12469 7659 8478 4279 10227 7657 5578 5113
32,12469 11190 11191 8982 8989 7659 8984 8478 5113 8479
33,12469 8982 5113 8989 4279 5115 10466 11191 8407 4280
34,12469 8982 8989 4279 11191 10466 5115 4030 8407 3318
35,4124 8982 5113 11191 5578 4034 4030 5530 3318 12469
36,4124 11191 8982 5115 5113 4033 5578 11190 4030 4035
39,12469 8982 8989 5113 4279 11191 10466 4280 5578 3318
40,5113 8982 4124 4279 11191 12469 5578 4030 8407 10466
