user_id,item_list
77, 7584 18096 5455 3897 5142 4242 4755 4361 8186 5112
136, 17144 5590 14083 13300 18185 9351 2586 16373 11805 8840
171, 8752 10958 12647 6629 9953 383 6113 6889 14902 194
214, 2287 12938 1896 13156 15132 11063 11047 3828 1504 17799
326, 1998 6888 17690 8164 3074 5166 3081 14879 4055 5114
417, 7554 9578 13888 168 8008 577 2522 8821 6955 9033
418, 8502 7958 11891 10412 16376 11133 7740 8992 4346 18201
484, 18213 7522 18185 12852 1112 4024 14353 4970 7602 3015
503, 3192 3191 12602 6833 7779 7780 14203 4013 18061 4681
573, 4062 16219 11356 16175 16220 672 15003 2392 16692 16211
662, 16772 1554 14084 1011 4278 17307 5324 7220 5499 14596
676, 8539 17819 11851 14902 8399 9236 16256 7190 13920 4854
694, 4691 4687 4696 4693 5926 3541 5275 4695 3542 4703
820, 11223 2379 8979 4191 1686 18248 509 17363 16096 5415
827, 9199 9204 9206 9203 9201 197 189 192 9448 194
837, 7475 5018 8174 4824 6545 6036 74 6784 4483 6326
842, 11524 12303 14162 6844 8530 5265 11670 2748 11252 15861
919, 11008 5114 12975 6165 5196 15892 7870 18100 4795 194
942, 7437 6135 11628 5294 11521 6292 4410 6289 5562 12698
1016, 14915 4247 14056 566 552 4070 5304 6234 10077 12075
1117, 13893 6880 2805 11395 5113 528 8186 7172 9014 8945
1137, 10189 1374 4955 2575 4948 9714 5529 16096 5115 15261
1204, 5509 16307 5547 8390 8391 3970 5019 3655 7493 5887
1304, 7142 822 12720 2301 8385 12194 8214 15101 14075 2379
1365, 8329 16303 11133 8331 5044 14912 3507 131 11993 5656
1370, 7719 11155 9581 13879 4687 13842 7717 13388 16597 5922
1644, 17890 10975 4809 16184 5203 18185 16303 187 5191 532
1649, 4629 14129 7888 3105 14847 14865 4693 7885 3806 7889
1660, 15398 11214 6938 6807 3105 8363 13297 9048 17039 6463
1661, 17558 16182 16181 17559 16186 3922 4361 660 7703 4094
1674, 1542 16957 2121 1936 1770 6646 6659 8153 1020 1543
1687, 4095 1876 14626 7254 4039 17752 5847 5523 5261 3064
1794, 9197 4218 4217 144 5294 10067 11240 8856 5211 1034
1830, 15705 2211 9513 15704 5155 4242 11046 11000 50 5295
1909, 15720 15443 6709 15445 4526 8816 4967 7031 9456 7196
1925, 4179 7522 566 2301 10232 8032 6785 7706 6416 6954
1946, 5853 7938 4231 18038 5695 6637 2387 4483 11240 3657
2000, 17558 8521 7339 7699 16224 4361 9461 3407 7703 3922
2055, 5156 7353 7352 17944 8328 5714 5297 4410 5430 5074
2071, 12891 14632 4752 9979 8565 5189 2586 5192 8380 7672
2179, 6757 17507 17509 17508 12925 4561 17506 4769 4623 6809
2219, 18338 10190 8481 5645 7192 8500 13837 15908 5897 11734
2295, 15114 10067 15119 12469 6404 3879 5113 10227 7581 3876
2334, 10192 6659 8062 10195 6780 3541 2121 412 8065 11309
2443, 11170 8459 3806 2301 5328 1212 3541 15908 15907 12704
2472, 10525 13583 9541 7631 1677 155 3852 5176 12229 4937
2503, 7640 6659 4280 469 1212 9103 11483 192 5897 5645
2563, 15908 10003 3847 12679 15907 737 736 13837 11734 11254
2610, 2522 4768 7324 4769 5120 5455 9104 14754 12834 15030
2678, 7137 16708 9009 3897 15101 7114 11827 12340 9007 5074
