user_id,item_list
0,10227 3569 6404 6530 12469 5562 3601 8635 8638 5700
1,7259 15892 18073 8470 4410 9014 5113 8429 5650 7354
2,4657 4658 11734 11733 735 5732 739 737 5700 4728
4,4634 4728 8666 5297 8982 5562 8564 4638 5147 6648
5,6798 5645 12194 5610 6794 8638 4013 5113 8481 4748
6,10227 6343 4844 345 10230 8635 15581 14342 13554 3827
7,6798 4057 8483 5113 10466 3806 10469 11222 9014 8982
8,5192 5189 4526 5190 4527 5174 9448 4771 5196 3387
9,9303 5297 4082 5294 16767 7199 5301 7602 12469 8483
10,3901 4325 4279 16178 16097 18046 4623 3968 5175 4210
11,18360 2730 4767 10466 4361 6881 5192 9196 3571 4784
12,3529 4705 8179 4722 9476 3534 6986 3533 3536 4721
13,1023 4785 9035 4779 10924 4768 2301 4784 207 5133
14,9302 7885 10227 10067 5725 6201 3565 6526 12469 7887
15,18301 5113 12194 18299 3991 7493 10914 10232 3641 5742
16,9202 9204 9201 12469 5297 9446 8638 10466 6289 8982
17,5645 3251 15892 9224 5296 187 7326 4361 3922 18185
18,6289 3105 8638 8347 7326 8257 10227 10141 7352 6546
19,10466 4844 10227 7190 8306 192 6289 8638 5518 12469
20,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
21,9208 3565 6526 8414 3572 9446 9461 8666 8008 7592
22,7496 4019 12257 3654 5113 3834 5294 3655 5044 12355
23,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
24,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
25,10167 8638 7310 4057 5114 3105 6292 14847 5645 10466
26,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
27,15102 12469 15099 15100 8638 8414 4747 6404 8666 17558
28,2519 14779 7688 5700 7661 13206 13831 3094 11393 12594
29,5114 6404 6289 8481 5112 7310 4057 6292 5297 4410
30,4280 17748 8635 5593 15706 6404 8481 7642 194 7662
31,4634 4658 10466 5294 5113 8483 15892 4361 6292 7172
32,15892 5297 5294 5645 189 8481 187 8666 4361 8186
33,8414 8666 9461 7581 6526 9446 6530 8008 15099 3572
34,5114 4361 3922 8483 10466 6289 5112 4034 8638 9224
35,5297 4844 6289 18153 8481 6292 8483 5113 6404 8505
36,4191 16137 5089 4187 661 4284 4033 10157 16578 7997
39,4795 3655 7495 7496 3842 5736 4792 9461 3834 8445
40,5128 8568 8825 3996 4510 4652 8928 5295 4497 10116
