user_id,item_list
0,8638 6289 5113 7581 17955 4657 3922 8982 2301 3572
1,5113 10227 10466 3922 4361 8638 12469 1212 17955 3572
2,9461 14847 5645 7581 3922 10466 3806 5113 4361 4657
4,5113 3922 5645 10067 4657 4361 8481 2301 194 197
5,194 187 5297 10067 4657 3922 9014 10466 197 8481
6,8638 3572 187 10067 8982 17955 3922 5645 5113 8414
7,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
8,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
9,5113 3922 5645 10067 4657 4361 8481 2301 194 197
10,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
11,5113 3922 5645 10067 4657 4361 8481 2301 194 197
12,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
13,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
14,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
15,14847 5113 12194 3806 17955 5645 1212 3922 5700 8481
16,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
17,6289 10068 8414 189 8481 4657 2301 10067 7354 197
18,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
19,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
20,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
21,8483 4657 5113 5142 12469 5645 8666 17955 7496 10067
22,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
23,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
24,8638 6289 5113 7581 17955 4657 3922 8982 2301 3572
25,5113 10227 10466 3922 4361 8638 12469 1212 17955 3572
26,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
27,14847 5113 9461 7496 5645 7581 3922 5297 5044 4279
28,3922 4361 197 4657 187 3806 10466 5296 8982 5700
29,5113 10227 10466 3922 4361 8638 12469 1212 17955 3572
30,8638 6289 5113 7581 17955 4657 3922 8982 2301 3572
31,4657 194 8638 6289 9014 5113 5297 4976 4127 15892
32,14847 5113 12194 3806 17955 5645 1212 3922 5700 8481
33,6289 10068 8414 189 8481 4657 2301 10067 7354 197
34,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
35,3922 187 189 17955 5297 3572 126 8186 197 6289
36,3922 4361 187 3806 10466 4657 197 10067 8982 17955
39,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
40,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
41,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
42,3922 4361 8982 17955 10466 187 5562 197 4657 3806
43,5113 10227 4844 5143 17955 8638 5645 6404 10466 6798
44,8638 5113 6289 4280 7581 17955 10067 9302 4627 8627
45,9461 14847 5645 7581 3922 10466 3806 5113 4361 4657
46,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
47,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
48,3922 4361 197 4657 187 3806 10466 5296 8982 5700
49,5645 10067 5297 17955 8638 187 4280 5143 9461 4844
50,8481 2301 1212 5700 17955 194 4657 8638 5113 12194
51,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
52,4657 8638 8982 5113 17955 5297 3572 10227 3565 10466
53,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
54,3572 187 5610 1212 9461 12469 8414 8982 6289 197
55,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
56,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
57,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
59,8481 2301 1212 5700 17955 194 4657 8638 5113 12194
60,8668 6798 5113 8638 3922 10055 3806 8666 4410 10227
61,8483 4657 5113 5142 12469 5645 8666 17955 7496 10067
62,6289 8414 10067 2301 8666 189 4657 12469 8481 10068
63,8481 2301 5645 5700 4657 1212 12469 194 17955 10227
64,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
65,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
66,10227 14847 5113 7310 4279 4219 8638 3572 6289 4657
67,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
68,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
69,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
71,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
72,3922 4361 8982 17955 10466 187 5562 197 4657 3806
74,8481 2301 1212 5700 17955 194 4657 8638 5113 12194
75,4657 5113 15892 8564 4634 9302 8982 6404 10067 197
76,10067 8666 8414 6289 2301 4657 194 8481 189 12469
77,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
78,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
79,8638 5113 6289 4280 7581 17955 10067 9302 4627 8627
80,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
81,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
82,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
84,8481 2301 1212 5700 17955 194 4657 8638 5113 12194
85,8483 4657 5113 5142 12469 5645 8666 17955 7496 10067
86,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
87,3922 4361 187 3806 10466 4657 197 10067 8982 17955
88,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
89,12194 8481 5700 8483 1212 2301 10227 194 4634 17955
90,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
92,3922 4361 8982 17955 10466 187 5562 197 4657 3806
93,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
94,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
95,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
96,3922 4361 8982 17955 10466 187 5562 197 4657 3806
97,3922 4361 8982 17955 10466 187 5562 197 4657 3806
98,6289 3572 3922 189 4361 8186 187 197 3565 5562
102,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
103,12194 8481 5700 8483 1212 2301 10227 194 4634 17955
104,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
105,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
106,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
108,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
109,12194 8481 5700 8483 1212 2301 10227 194 4634 17955
110,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
111,8638 5113 6289 4280 7581 17955 10067 9302 4627 8627
112,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
113,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
114,10227 14847 5113 7310 4279 4219 8638 3572 6289 4657
115,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
