user_id,item_list
20,18494 1377 13626 7310 18156 18494 5061 4668 746 186
23,18494 18494 15463 17956 4006 4735 5259 8668 18355 13626
26,4022 18156 17956 15016 186 6593 5508 181 18494 4735
41,18156 4022 18355 1521 18494 184 6593 17917 8190 18494
46,18494 18494 1377 5259 17956 186 746 18156 8640 4006
48,18156 4022 186 5259 184 3807 17917 18370 8640 14379
67,18494 18494 15463 17956 4006 4735 5259 8668 18355 13626
76,15707 8668 12289 1715 4006 5259 186 18355 184 15270
82,18494 18494 15463 17956 4006 4735 5259 8668 18355 13626
86,18494 1377 13626 7310 18156 18494 5061 4668 746 186
92,18156 4022 8640 17956 17917 184 8955 186 5259 3807
125,1715 18355 15270 184 186 4658 12289 746 8190 194
131,5259 18494 15016 13519 4658 9303 8640 8081 15707 186
137,18355 4006 7310 14379 5259 15463 15270 186 17956 8190
144,1715 4006 18494 8668 15270 5259 17917 7310 4735 15707
153,15463 8640 186 17917 8179 4658 11290 18494 18494 5061
183,18156 4022 8640 17956 17917 184 8955 186 5259 3807
187,4022 18156 17956 15016 186 6593 5508 181 18494 4735
190,8190 13626 18494 10168 2828 18494 18494 4735 1715 5259
192,18494 18494 1377 5259 17956 186 746 18156 8640 4006
196,4668 8081 8190 15270 8668 8111 18494 4658 18494 7310
230,4022 18156 17956 15016 186 6593 5508 181 18494 4735
233,15463 8640 186 17917 8179 4658 11290 18494 18494 5061
238,18494 1377 13626 7310 18156 18494 5061 4668 746 186
242,8081 8190 6950 18494 4178 8955 8668 7471 8666 17917
260,18156 4022 8640 17956 17917 184 8955 186 5259 3807
264,8640 8190 18494 4178 8668 4668 5259 4718 4481 8081
266,15463 8640 186 17917 8179 4658 11290 18494 18494 5061
270,4022 18156 17917 8190 3807 18494 15176 15270 5259 15707
283,11290 5259 18494 4481 15270 7310 8668 17956 5061 15707
285,11290 5259 18494 4481 15270 7310 8668 17956 5061 15707
289,8081 8190 6950 18494 4178 8955 8668 7471 8666 17917
294,1715 4006 18494 8668 15270 5259 17917 7310 4735 15707
318,1715 4006 18494 8668 15270 5259 17917 7310 4735 15707
329,1715 4735 18156 184 4022 8179 184 186 4718 8955
334,8640 8190 18494 4178 8668 4668 5259 4718 4481 8081
346,18156 4022 8640 17956 17917 184 8955 186 5259 3807
351,18494 18494 15463 17956 4006 4735 5259 8668 18355 13626
359,1715 4735 18156 184 4022 8179 184 186 4718 8955
364,8640 8190 18494 4178 8668 4668 5259 4718 4481 8081
372,1715 4006 18494 8668 15270 5259 17917 7310 4735 15707
389,18355 4006 15463 14379 17956 186 5259 18494 18494 2748
393,5259 17917 4704 746 9438 4006 2746 1377 8640 6229
398,18156 4022 8640 17956 17917 184 8955 186 5259 3807
400,1715 4668 18494 7471 18494 8081 13626 14131 3807 7933
414,5259 186 18494 1715 9824 18494 746 4977 7510 15016
422,18156 4022 8640 17956 17917 184 8955 186 5259 3807
444,15463 8640 186 17917 8179 4658 11290 18494 18494 5061
447,18494 18494 15463 17956 4006 4735 5259 8668 18355 13626
459,18494 18494 15463 17956 4006 4735 5259 8668 18355 13626
476,4022 18156 17956 15016 186 6593 5508 181 18494 4735
492,8190 13626 18494 10168 2828 18494 18494 4735 1715 5259
500,18156 4022 8640 17956 17917 184 8955 186 5259 3807
505,8666 9438 18494 18494 18156 10054 3807 8668 7471 8190
511,1715 12289 15707 4006 8668 184 5259 15270 18355 6181
521,5259 17956 11310 8640 18494 13626 8955 4977 11156 6950
530,4668 8081 8190 15270 8668 8111 18494 4658 18494 7310
544,1377 13626 7310 4668 18156 17917 3807 18494 4022 5259
