user_id,item_list
7,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
10,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
13,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
19,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
23,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
26,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
28,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
33,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
40,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
42,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
44,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
46,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
48,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
51,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
54,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
60,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
62,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
66,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
68,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
75,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
82,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
86,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
92,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
103,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
106,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
109,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
115,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
119,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
122,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
125,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
127,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
131,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
135,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
137,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
144,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
153,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
163,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
168,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
174,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
178,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
181,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
183,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
186,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
190,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
192,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
196,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
205,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
214,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
219,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
225,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
227,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
230,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
233,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
238,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
240,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
242,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
246,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
254,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
258,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
260,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
264,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
266,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
270,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
283,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
285,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
289,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
294,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
298,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
302,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
307,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
314,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
317,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
321,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
329,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
334,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
343,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
346,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
351,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
356,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
359,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
361,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
364,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
367,17956 18494 18494 8190 5259 186 8640 17917 18156 4022
