user_id,item_list
7,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
10,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
13,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
19,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
23,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
26,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
28,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
33,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
40,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
42,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
44,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
46,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
48,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
51,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
54,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
60,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
62,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
66,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
68,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
75,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
82,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
86,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
92,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
103,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
106,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
109,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
115,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
119,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
122,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
125,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
127,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
131,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
135,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
137,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
144,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
153,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
163,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
168,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
174,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
178,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
