user_id,item_list
20,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
23,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
26,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
41,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
46,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
48,3922 4361 197 4657 187 3806 10466 5296 8982 5700
67,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
76,10067 8666 8414 6289 2301 4657 194 8481 189 12469
82,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
86,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
92,3922 4361 8982 17955 10466 187 5562 197 4657 3806
125,6289 8481 12469 189 197 4634 8414 5297 10227 192
131,4657 5113 15892 8564 4634 9302 8982 6404 10067 197
137,8481 2301 5645 5700 4657 1212 12469 194 17955 10227
144,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
153,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
183,3922 4361 8982 17955 10466 187 5562 197 4657 3806
187,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
190,10227 14847 5113 7310 4279 4219 8638 3572 6289 4657
192,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
196,7581 6404 10227 12469 8666 4280 5113 4634 8638 5645
230,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
233,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
238,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
242,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
260,3922 4361 8982 17955 10466 187 5562 197 4657 3806
264,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
266,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
270,4361 3922 10466 10227 3806 5113 5294 12469 4657 10067
283,8483 4657 5113 5142 12469 5645 8666 17955 7496 10067
285,8483 4657 5113 5142 12469 5645 8666 17955 7496 10067
289,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
294,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
318,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
329,6289 3572 3922 189 4361 8186 187 197 3565 5562
334,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
346,3922 4361 8982 17955 10466 187 5562 197 4657 3806
351,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
359,6289 3572 3922 189 4361 8186 187 197 3565 5562
364,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
372,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
389,8481 2301 1212 5700 17955 194 4657 8638 5113 12194
393,4657 10466 4702 5297 6798 2301 737 9461 8982 6228
398,3922 4361 8982 17955 10466 187 5562 197 4657 3806
400,6289 7581 8638 4410 5113 6404 14847 3509 3806 8635
414,4657 194 8638 6289 9014 5113 5297 4976 4127 15892
422,3922 4361 8982 17955 10466 187 5562 197 4657 3806
444,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
447,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
459,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
476,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
492,10227 14847 5113 7310 4279 4219 8638 3572 6289 4657
500,3922 4361 8982 17955 10466 187 5562 197 4657 3806
505,8668 6798 5113 8638 3922 10055 3806 8666 4410 10227
511,6289 8414 10067 2301 8666 189 4657 12469 8481 10068
521,4657 17955 8445 8982 8638 14847 5562 4976 5951 5560
530,7581 6404 10227 12469 8666 4280 5113 4634 8638 5645
544,9461 14847 5645 7581 3922 10466 3806 5113 4361 4657
548,4657 8638 8982 5113 17955 5297 3572 10227 3565 10466
564,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
577,4657 8638 8982 5113 17955 5297 3572 10227 3565 10466
579,6289 3572 3922 189 4361 8186 187 197 3565 5562
595,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
614,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
622,6289 8414 10067 2301 8666 189 4657 12469 8481 10068
638,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
656,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
679,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
692,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
720,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
744,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
756,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
760,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
779,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
787,6289 7581 8638 4410 5113 6404 14847 3509 3806 8635
798,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
817,14847 5113 9461 7496 5645 7581 3922 5297 5044 4279
824,14847 5113 9461 7496 5645 7581 3922 5297 5044 4279
839,8483 4657 5113 5142 12469 5645 8666 17955 7496 10067
849,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
854,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
857,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
862,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
868,3922 4361 8982 17955 10466 187 5562 197 4657 3806
870,9461 14847 5645 7581 3922 10466 3806 5113 4361 4657
874,3922 4361 8982 17955 10466 187 5562 197 4657 3806
885,6289 7581 8638 4410 5113 6404 14847 3509 3806 8635
899,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
912,3922 4361 8982 17955 10466 187 5562 197 4657 3806
920,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
937,14847 5113 9461 7496 5645 7581 3922 5297 5044 4279
939,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
943,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
955,8638 5113 6289 4280 7581 17955 10067 9302 4627 8627
959,3572 187 5610 1212 9461 12469 8414 8982 6289 197
966,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
969,10227 3806 3922 8666 11218 3565 8668 15908 6806 9461
980,14847 5113 12194 3806 17955 5645 1212 3922 5700 8481
986,5113 10227 4844 5143 17955 8638 5645 6404 10466 6798
1000,7581 6404 10227 12469 8666 4280 5113 4634 8638 5645
1008,10227 14847 5113 7310 4279 4219 8638 3572 6289 4657
1019,3922 4361 187 3806 10466 4657 197 10067 8982 17955
1027,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
1029,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
1063,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
1082,4361 3922 17955 15892 197 4034 6526 5112 5113 3572
1099,10227 14847 5113 7310 4279 4219 8638 3572 6289 4657
1103,8638 5113 6289 4280 7581 17955 10067 9302 4627 8627
1116,4361 3922 10466 10227 3806 5113 5294 12469 4657 10067
1132,6289 10068 8414 189 8481 4657 2301 10067 7354 197
1134,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
1141,14847 5113 12194 3806 17955 5645 1212 3922 5700 8481
1148,10067 197 10068 8414 2301 4657 6289 12469 18185 7354
1174,9461 14847 5645 7581 3922 10466 3806 5113 4361 4657
1183,3922 4361 8982 17955 10466 187 5562 197 4657 3806
1186,1212 8982 197 10466 8186 4634 8483 5113 8638 7496
1192,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
1199,7581 6404 10227 12469 8666 4280 5113 4634 8638 5645
1205,4657 8638 8982 5113 17955 5297 3572 10227 3565 10466
1209,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
1217,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
1224,6289 7581 8638 4410 5113 6404 14847 3509 3806 8635
1230,6289 8414 10067 2301 8666 189 4657 12469 8481 10068
1237,8481 2301 1212 5700 17955 194 4657 8638 5113 12194
1245,3922 4361 8481 6292 5113 189 4034 10466 10227 8638
1250,10067 8666 8414 6289 2301 4657 194 8481 189 12469
1257,4657 17955 8445 8982 8638 14847 5562 4976 5951 5560
1268,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
1270,8982 10227 8638 4844 8666 7581 4657 3565 5143 6404
1288,10227 3806 3922 8666 11218 3565 8668 15908 6806 9461
1300,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
1305,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
1329,6289 2301 8638 8666 12469 4657 10466 5645 3572 10067
1361,8638 5113 9461 4657 17955 197 5297 3922 8982 2301
1377,14847 5113 12194 3806 17955 5645 1212 3922 5700 8481
1391,5113 9461 14847 5645 3922 8638 7496 7581 5297 197
1393,6404 10227 5560 5113 4844 5562 8666 4410 8668 10466
1397,5113 8638 1212 17955 2301 3572 4657 8666 8481 14847
1421,3922 4361 8982 17955 10466 187 5562 197 4657 3806
1431,3922 4361 197 4657 187 3806 10466 5296 8982 5700
1435,4361 3922 3806 4657 5296 187 12469 197 8186 5113
1442,4657 8638 8982 5113 17955 5297 3572 10227 3565 10466
