user_id,item_list
0, 13206 3569 6530 6404 7493 10227 5693 4976 10067 17835
1, 7259 16148 7354 18073 3278 6291 16460 6228 8470 4355
2, 4657 13206 4658 13208 5700 735 11734 15235 737 739
4, 4634 15892 5644 4410 14225 1105 10142 13893 11734 3834
5, 12194 9641 12196 4013 6798 3146 12195 8483 6794 4059
6, 8414 18096 5305 7661 5926 4687 4732 8478 4844 7354
7, 17791 5112 6780 4977 4071 10469 8179 6866 6018 4057
8, 5192 4526 4527 5189 18140 16256 17791 5174 3827 5190
9, 4082 9303 5297 8982 4083 4432 7602 10117 5637 10469
10, 3901 6288 8478 1212 4210 3842 13416 16097 12557 4357
11, 18360 2730 4767 5008 10466 9196 7671 12527 8526 4970
12, 4705 3529 3534 4722 3528 6986 9476 9477 4710 648
13, 1023 4785 5142 4487 5191 3604 4784 5144 5133 4179
14, 5725 4702 7885 6201 6200 16463 7887 3105 4703 5875
15, 12194 18301 18299 17661 5742 5737 3698 187 5650 4437
16, 9202 9204 9201 9712 11191 5297 6167 7602 9224 12469
17, 3251 7326 5756 18081 6650 4410 11890 3922 5296 6545
18, 8347 9641 1689 12368 7326 1691 4010 4440 8257 3105
19, 6289 7190 8481 4030 1105 4458 11906 6812 9337 5049
20, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
21, 7368 6202 3565 9208 3576 6203 3595 6205 7592 3566
22, 12257 7496 4019 12355 18292 12358 5294 3655 5752 7490
23, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
24, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
25, 4082 12705 10167 4081 3105 14847 4128 8457 8445 7642
26, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
27, 15102 4747 13297 15099 2234 17558 15100 4767 5044 12469
28, 13206 14779 2519 3146 3572 3094 4070 12341 11393 2708
29, 4287 6170 6173 7661 16137 3942 4844 6292 9104 6662
30, 17748 4280 15706 8473 16307 3785 10067 5593 7192 4001
31, 4634 4658 6794 3516 5297 5875 15223 5115 3514 15228
32, 16232 6228 3983 18181 5113 7258 5294 192 14852 5005
33, 15118 8414 8526 8306 15101 12030 15116 6530 8583 15099
34, 6174 6171 5455 3726 8481 4342 4034 6639 6394 4361
35, 18153 4844 8505 6404 13210 6292 8481 566 4220 5113
36, 5089 4191 16137 7997 4187 661 4033 10158 10154 4361
39, 18301 10194 18299 1932 5128 5114 4795 5737 10192 4792
40, 5196 5752 4634 4838 4497 1041 3996 3991 5186 14315
41, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
42, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
43, 5294 4024 10585 8179 18291 18290 5518 6806 4984 5554
44, 3568 3569 15120 15099 9448 13202 9477 5897 7437 5176
45, 725 5661 5147 3805 3835 5176 7823 7706 9477 3387
46, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
47, 4035 9236 7323 3823 5296 17735 7153 13206 14847 5291
48, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
49, 724 5508 5695 17507 7352 4291 9126 5469 6985 16171
50, 9477 9476 10080 9048 10579 8577 8627 15030 13833 13825
51, 724 5508 5695 17507 7352 4291 9126 5469 6985 16171
52, 4128 8854 6356 5101 11653 8856 3883 8853 4209 4214
53, 15114 15100 15099 9709 9477 10725 6289 3568 5897 12469
54, 5562 3626 7655 4440 3629 8984 4748 4439 18157 5957
55, 4280 197 192 6172 194 6289 6171 187 4410 6070
56, 4346 6117 4967 6118 4359 4410 4693 7310 17870 16376
57, 5562 17750 17752 3554 10466 3805 1661 16099 4693 4967
59, 4128 5715 207 11301 4214 18332 4737 5143 15908 11211
60, 7661 7662 7657 4446 5603 5602 4440 5957 3564 9263
61, 3529 4657 10142 3530 16794 3531 8347 4769 9199 9204
62, 15852 8563 5135 4747 8570 14319 127 16185 4069 5736
63, 9092 15101 7496 16178 18096 3572 7662 4280 3529 15227
64, 4703 12815 3806 5135 8347 197 192 4770 11733 4440
65, 9202 15102 15100 15227 5190 9709 4790 15223 9448 7704
66, 7823 5645 4019 4018 4275 8872 7135 8202 192 15120
67, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
68, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
69, 7496 11163 5951 4844 5455 8666 4728 9643 11833 18248
71, 11300 10846 4000 7662 10068 5128 7172 4151 5184 5113
72, 8506 4361 9224 3922 8570 8563 17559 3146 234 1105
74, 11403 9446 9655 10636 3698 2103 1212 13348 5005 7493
75, 3852 7771 4209 4217 8984 7642 8171 17601 17965 5297
76, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
77, 18096 18097 14244 7583 18098 17790 16592 18100 1023 5128
78, 18231 725 18238 161 9199 18236 3565 3527 7592 3576
79, 5294 15855 5287 5296 4024 3307 8470 5112 4360 5434
80, 1944 18096 18098 5133 739 18095 4410 5508 4420 6763
81, 10142 14851 14867 9145 3895 7602 3100 4806 14870 8984
82, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
84, 3572 3565 16096 16104 15496 8414 14779 10914 3095 127
85, 11734 2233 4194 9477 4123 11782 14887 227 6641 5433
86, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
87, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
88, 9093 5562 16176 16179 8505 5508 4513 6526 4514 8982
89, 5918 5921 3654 4687 3842 5296 7495 5920 4691 14780
90, 9133 11309 7518 736 14800 9124 11733 5074 5951 8937
92, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
93, 10068 17955 379 18094 8445 8179 6404 254 18101 197
94, 4361 6881 12816 7657 5113 6797 4253 16219 7659 8223
95, 15120 521 8516 9712 10068 15227 6404 2301 15222 15223
96, 7581 14800 5294 14614 6404 16118 10227 7310 16292 4702
97, 160 4194 4123 2775 5455 7446 17559 7441 5153 6778
98, 8668 12469 4279 197 8638 4033 6160 8186 8414 18100
102, 16659 9477 7198 6167 7583 15030 5143 7197 3146 3842
103, 5653 5649 12410 5470 5044 12194 9104 7478 5560 4416
104, 8516 17547 17955 8556 8519 5113 3057 1694 15299 8513
105, 3568 6831 6207 6530 379 18094 6200 14282 10466 6201
106, 5296 4361 3970 6038 3943 4352 7323 16097 5637 7529
108, 4284 4034 657 588 7883 5114 6552 9446 9224 7310
109, 5653 4361 5044 5661 10423 5296 4416 8380 16184 3595
110, 4357 7455 3898 16376 4343 8641 16374 5143 6359 17870
111, 3922 15114 657 10068 4771 5143 7335 10167 16137 5135
112, 4123 4124 4194 6213 2301 4738 17732 131 4480 17951
113, 187 4280 10068 6018 7335 10846 4033 8179 10966 4844
114, 9204 3251 5561 3805 7589 3568 9203 9202 4243 3594
115, 5113 5115 6018 15908 4358 4623 11300 4102 5752 13845
116, 9128 8564 11734 11309 15908 736 8565 8481 17580 5508
117, 17989 6528 18360 4057 8414 8008 5113 9196 9446 9714
118, 3568 4779 4791 14867 4446 5139 4242 8668 11239 6713
119, 8500 13838 6545 6289 5260 4291 7310 1338 7150 5416
120, 7495 5508 7493 5561 6182 3805 6185 8542 7627 9446
122, 5297 15674 7310 14883 4024 9456 194 3058 9104 17951
123, 4361 3827 5483 15819 5481 16222 12186 4919 3278 16384
124, 17790 4748 9302 6207 6201 3554 8984 5401 6200 11834
125, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
126, 4634 18098 18097 10167 9303 17750 8627 18100 17752 3569
127, 3572 3566 3593 3582 16273 4804 7592 15496 4720 9205
128, 3105 16092 16105 9446 4346 16376 10141 3991 4359 3829
129, 10068 7437 7190 6289 197 8635 8414 8564 187 9948
130, 7661 7662 7657 3999 4202 8526 5593 4669 4446 2103
131, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
132, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
134, 8849 5729 4251 2500 1904 5895 5896 2499 7493 5294
135, 724 5508 5695 17507 7352 4291 9126 5469 6985 16171
136, 18185 14084 5926 4687 4732 5114 12038 5293 3095 7216
137, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
138, 7455 8425 3845 3806 3831 8668 6331 16376 5147 16186
139, 17951 9303 4279 8666 6289 8526 4446 6165 4696 8667
140, 3902 15854 11222 5113 11218 4808 7310 6165 5294 6943
141, 4657 15101 4634 15100 4712 15099 4731 8414 7887 4727
142, 11734 735 11733 5677 5681 13837 5700 10813 15908 17550
143, 18096 4798 1689 1691 15892 8034 18097 18094 11733 379
144, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
145, 6776 6780 1637 15132 10024 14465 2301 5611 6445 6881
146, 4702 15217 4703 4710 4346 16740 4708 4844 4737 520
149, 4657 5726 15114 4279 6228 3806 5723 7657 7662 5268
150, 12815 8186 4128 4219 3554 13137 5114 7490 5560 7489
151, 9203 9202 4634 3901 9204 10068 4658 9201 16224 4082
152, 11395 4035 4033 10914 10466 16661 6292 9228 66 8506
153, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
155, 8515 4983 10141 4985 5455 3127 3104 3569 14852 6530
156, 4280 8506 8500 15099 15102 10232 15101 5561 5508 7651
157, 15458 16220 4037 5700 4410 16211 17990 16175 10466 6881
158, 15398 15707 18096 17594 14319 17597 9302 3105 5196 10824
159, 7662 7657 17750 5677 5681 10227 17748 18212 5537 4844
160, 9053 6798 1944 17560 5678 6276 5677 5645 6794 133
161, 3572 15800 3566 8736 9129 6404 7584 5184 2301 6639
162, 4702 18176 1943 5202 3569 2301 5135 7711 9641 14515
163, 12516 8389 8381 3852 8853 6165 3844 6235 7585 16141
164, 4279 8257 6228 7259 7883 9124 5143 5725 5723 5455
165, 9477 5921 7455 8257 15030 5920 5114 14244 8564 13081
166, 7883 3902 11902 4630 13838 8666 5562 7884 11734 8526
167, 16265 17597 17594 6881 4309 17596 10466 16224 2217 12981
168, 7687 2586 8011 8380 8627 4446 4748 724 11942 15399
169, 4280 6229 3972 7583 16184 5135 6160 5455 18288 5593
170, 4657 3877 8306 4713 8308 5281 4727 4712 5276 5561
171, 6292 6289 14314 8347 8982 4669 4791 17559 8382 15429
172, 8419 9948 15514 8028 17791 5700 8564 2301 7655 10232
173, 10068 2301 4762 7883 12469 6404 14244 4446 4785 6135
174, 4410 10142 5645 4984 345 6289 9461 10469 14883 8473
175, 5608 3531 5606 10068 7662 9302 737 11218 7606 11733
176, 9303 9930 4279 3057 13241 17955 4693 8638 189 4346
177, 15120 15114 5007 3569 4346 3807 4357 5508 5008 12979
178, 4952 5009 5005 17980 3795 14251 17989 968 7671 16185
179, 4124 16659 4194 4034 9228 11191 17732 9236 4361 8414
180, 18166 4528 17967 14727 8641 8445 18148 5297 8635 5887
181, 8513 376 5661 4217 6207 8872 5566 540 15947 17936
182, 3407 6357 4770 16373 3897 8186 5611 12355 6404 4844
183, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
184, 5663 7889 7885 4779 8506 6882 7884 3806 7887 6881
185, 5012 4346 7443 4357 14089 9014 7441 4970 6780 3509
186, 45 5143 4970 1023 5204 17974 5188 4762 3569 12469
187, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
188, 4779 618 621 12194 620 4280 5139 4657 7640 16307
189, 9126 7198 5650 9475 5656 8417 8666 9476 11300 3805
190, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
191, 8306 10068 17547 7325 5664 4361 16186 7174 7703 5653
192, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
193, 197 189 5280 192 7455 6955 8666 3514 7581 16397
194, 4019 4314 17556 2776 3922 2519 5297 4925 8638 8481
195, 13298 14727 4361 5297 1023 5143 17560 5723 4724 8936
196, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
197, 520 6528 7198 4839 8261 8259 10142 12469 9229 8483
199, 9477 5896 8627 15030 5143 8526 4280 9461 7584 12355
200, 15120 15114 2775 5204 8309 8308 6530 15892 5203 5206
201, 17835 3105 7494 14865 6404 5350 16584 5370 15114 5113
202, 17768 8261 8259 4384 9475 6404 17955 10141 11268 7215
203, 4372 4280 11782 197 207 13206 187 192 4481 8856
204, 15100 8564 10067 17835 4513 5542 7196 10169 4806 8380
205, 4124 17558 4034 17732 4361 9224 657 17735 4365 661
206, 3529 4657 3528 3530 4658 3531 7661 7662 7657 3534
207, 3806 7496 3807 17580 3278 4844 50 16373 7626 3541
208, 5921 5695 10141 5922 13208 5650 17955 5919 3922 17661
209, 9203 9202 5682 9208 6228 9201 6526 3593 15222 11903
210, 15120 15227 18176 15114 18180 18098 15102 9203 15228 15099
211, 12355 12357 6794 6881 2301 8668 7581 8186 8481 126
212, 4770 4514 5128 2301 5196 5142 5632 6650 4693 8445
213, 10914 3654 3642 5516 5061 3827 6404 5297 5562 5294
214, 8984 17816 18176 2808 404 4249 2810 12194 4714 7493
215, 4768 7885 6156 7887 7884 14847 3922 7888 5034 5610
216, 3565 7496 2084 6526 4629 11328 3654 2103 14847 5560
217, 16293 5679 197 3901 194 4771 4755 5190 6685 1944
219, 6798 11314 3611 18301 4384 9605 189 3528 8508 4771
221, 16222 8445 3922 18185 4361 4878 8261 618 12410 15429
223, 15102 5561 15099 3805 15100 3569 4712 6901 6948 10232
224, 6955 5276 5280 11301 8445 5602 4410 5113 8668 4446
225, 5142 8668 7583 5143 5176 10568 6516 8308 14251 12761
226, 18100 9128 18101 6798 9133 16416 8666 18098 3972 5147
227, 11834 12720 2232 13348 814 1535 7310 1819 14894 11853
228, 14282 4988 197 4210 5479 4627 15458 7310 3529 4340
229, 4637 4706 7496 75 9205 4654 8505 7493 5297 5112
230, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
231, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
232, 8009 9451 8011 8526 7581 7592 8943 8031 13208 8637
233, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
234, 9202 9206 6934 9201 4037 6438 6462 18185 7192 6530
235, 18150 8306 8308 15892 6118 17936 9930 7354 2736 8706
237, 197 192 5007 194 6458 5005 4977 7659 7662 5008
238, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
239, 75 3105 3127 6528 16099 8978 16097 5034 14870 5291
240, 4035 4033 3922 10813 9228 5645 9124 4365 8666 9133
241, 4410 5518 5918 4623 231 5268 15299 5005 8892 7883
242, 18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
243, 15100 15099 12469 8666 8414 5897 6289 9448 3834 3879
244, 16661 227 8564 4063 3252 5518 7581 3251 18185 4844
245, 17962 4309 3119 3105 4404 4057 14315 5297 4702 8565
