user_id,item_list
0,3569 6530 10227 6404 6289 17835 10067 5700 8635 8627
1,7259 16148 8470 16460 18073 7354 6280 6205 6228 13208
2,4657 4658 735 11734 13206 11733 739 5732 737 13837
4,4634 15892 4728 14225 13393 667 18191 14341 13893 7219
5,6798 9641 4013 12196 12194 12195 6794 5645 7352 3146
6,345 4844 10227 9461 5305 14912 18096 7661 10359 8635
7,12333 12332 12331 12330 12329 12328 0 12326 12325 12324
8,5192 4526 4527 5189 5190 18140 5174 4763 18070 18063
9,9303 4082 4083 5297 4432 7602 4086 5294 10117 5301
10,3901 13416 8478 6288 12557 4210 4348 6738 18422 7150
11,18360 2730 4767 9196 4770 4784 10466 2725 5203 4790
12,4705 3529 4722 3534 9476 3528 9477 4721 3536 6986
13,4785 1023 5142 4487 5133 5144 4784 4779 4480 4179
14,5725 6201 7885 6200 4702 16463 7887 9302 4703 6209
15,18301 18299 12194 17661 7493 6135 3991 5650 394 13235
16,9202 9204 9201 9712 5297 11191 6167 9446 7602 12469
17,3251 7326 5645 5296 18081 6650 11890 5128 16262 187
18,8347 1689 7326 9641 1691 8257 3105 4440 6546 3627
19,0 12332 12331 12330 12329 12328 12327 12326 12325 12324
20,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
21,3565 7368 6202 3576 9208 3572 3566 3595 7592 6203
22,7496 12257 4019 12355 3654 12358 3655 5113 5752 18292
23,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
24,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
25,10167 4082 12705 4081 3105 14847 4057 5143 5645 6292
26,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
27,15102 15099 4747 15100 17558 13297 12469 4767 2234 5044
28,12332 12331 12330 12329 12328 12327 12333 0 12324 12323
29,4287 6170 6173 5112 16137 6289 5114 4057 6292 7353
30,17748 4280 15706 8473 3785 16307 5593 10067 5671 7192
31,4634 4658 6794 3516 5297 15223 5875 5115 3514 8483
32,16232 18181 3983 7258 5296 5294 5113 5610 15892 16428
33,15118 8414 15099 15101 15100 8666 8306 6530 8526 7581
34,6174 4361 6171 5114 3922 4034 10466 9224 5112 8483
35,18153 4844 8505 5297 6289 5113 8481 6404 6292 8516
36,5089 4191 16137 4187 661 4033 7997 10157 10158 4284
39,18301 18299 10194 4795 4792 3655 5737 7493 10192 7496
40,5196 4497 5186 5752 15768 1241 1041 6786 4448 3996
41,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
42,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
43,5294 7581 4024 5143 2301 6289 14847 18291 8445 8635
44,3568 3569 15120 15119 9477 13202 15114 15099 8627 5897
45,725 3805 5562 7823 1685 13033 5661 7695 3806 7706
46,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
47,9236 3823 5296 5297 7323 4035 7153 5293 17955 15892
48,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
49,724 5508 4300 5695 17507 3387 4747 3805 13838 6985
50,9476 9477 4728 15030 10080 15706 9048 8627 4638 9461
51,724 5508 4300 5695 17507 3387 4747 3805 13838 6985
52,4128 8854 6356 5101 8853 8856 4214 11653 12516 4209
53,15114 15100 15099 9477 9709 6289 3568 10725 9461 15030
54,5562 3626 7655 4440 3629 7706 4748 5561 7710 3624
55,4280 197 192 194 187 6172 6171 6289 234 4410
56,4346 6117 6118 4359 4967 4693 16376 9002 3572 3565
57,5562 10466 17750 17752 3805 3554 16099 5561 3654 4627
59,4128 5715 11301 207 4214 5143 15908 737 8668 5144
60,7657 7661 7662 5603 5602 4446 4440 3564 9263 5336
61,3529 4657 9199 3530 3531 4658 9204 9206 5143 9202
62,15852 11166 7118 7116 9599 8563 7357 14319 13405 13629
63,3572 15101 3529 7496 10068 8666 9092 4280 7662 18096
64,4703 12815 3806 8347 197 192 5135 11733 187 194
65,9202 15102 15100 15227 5190 12469 15223 3568 4790 7704
66,7823 4019 4018 7135 5645 4275 8872 192 15120 3008
67,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
68,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
69,7496 7493 5752 5737 3655 3654 7495 5736 3838 17863
71,11300 10846 4000 5113 6432 8638 7581 5005 5345 8363
72,8506 4361 8570 8563 8569 3922 17559 3572 3565 3146
74,9446 10636 11403 12199 14847 12201 2835 12181 8638 14113
75,3852 7771 17601 8171 12532 17965 8984 6231 5703 939
76,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
77,18096 18097 18098 7583 14244 17790 1023 18092 18100 14353
78,18231 18238 18236 725 9199 3565 9203 3527 161 7592
79,5294 5296 15855 8470 5287 15892 4360 4024 8694 3307
80,1944 739 735 5133 15908 736 737 18096 738 13837
81,10142 14851 14867 9145 14870 3100 14852 7602 4806 9144
82,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
84,3565 3572 16096 16104 8982 15496 16099 8414 6526 10914
85,11734 4194 4123 9477 5297 197 2233 4193 5433 189
86,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
87,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
88,9093 5562 16176 16179 5508 8505 4514 4513 15104 10112
89,5918 5645 3654 4687 5921 5296 4691 7495 3842 187
90,9133 11309 11734 9124 3827 737 11733 15036 8937 3653
92,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
93,10068 8179 379 18094 18101 254 6404 17955 7584 18096
94,7657 5113 7659 4361 7661 16219 6881 12816 10831 8223
95,15120 521 10068 9712 8516 6404 4691 15223 15222 15227
96,10227 6404 4280 4702 4844 7581 8535 4410 7310 4279
97,4194 4123 160 17559 2775 4361 9302 5143 13206 7446
98,12469 8668 8445 4279 8414 15119 194 4280 4657 4634
102,16659 9477 7198 15030 7583 6167 7197 5128 234 8668
103,5653 5044 5649 5656 12410 5470 9104 5664 7478 5560
104,8516 17547 8556 8519 8505 3057 8523 8506 8513 1694
105,3568 6831 6207 379 18094 18101 6530 6201 6203 6204
106,5296 3970 6038 3943 4352 16097 5637 4361 7529 6778
108,4284 4361 7883 4034 6404 588 5112 8186 5114 10466
109,5653 5044 5661 5664 10423 5649 2453 5656 12586 6246
110,4357 7455 3898 16376 16374 4343 5143 17870 3568 8641
111,15114 3922 10068 4771 657 5896 10167 7335 5044 16137
112,4124 4123 4194 6213 5370 4738 17732 5350 2301 17784
113,187 4280 10068 6018 8179 7335 10846 4844 8635 10966
114,9204 5561 3805 9203 3251 9202 3568 3572 9206 7589
115,5113 5115 6018 13410 10141 16722 18367 1106 4037 4623
116,9128 11734 8564 11309 8565 736 8570 15908 8569 17580
117,6528 17989 8414 18360 8008 4057 5113 15100 15099 6289
118,3568 4779 4791 8668 5139 2301 5143 8635 1860 5593
119,8500 5645 10466 7310 6292 4291 8567 8179 10160 4931
120,7495 5508 7493 5561 3805 7627 6182 3842 6289 8635
122,5297 15674 4024 14883 7310 9456 3058 11988 3902 294
123,15819 5483 3827 12186 5481 4361 16222 12194 16384 5523
124,4748 17790 9302 6207 6201 11834 6203 5401 6204 3562
125,0 12332 12331 12330 12329 12328 12327 12333 12326 12324
126,4634 18098 18097 10167 9303 18092 18100 18101 17750 3569
127,3572 3566 3593 3582 8982 7581 790 1182 8414 7592
128,3105 4346 9446 16092 4359 16376 10141 14865 6526 3991
129,10068 7437 7190 6289 5369 7199 5113 8564 8481 8635
