user_id,item_list
0,3569 6530 10227 6404 6289 17835 10067 5700 13206 5494
1,7259 16148 8470 16460 18073 7354 6280 6228 16144 6205
2,4657 4658 735 11734 13206 739 737 5732 11733 13837
4,4634 4728 15892 14225 13393 18191 4638 7219 14341 13893
5,9641 6798 4013 12196 12194 12195 6794 5645 7352 3146
6,14912 345 10359 14135 13554 5305 4844 10227 4732 9461
7,5112 4977 6798 10469 6780 4057 11222 7174 10466 17791
8,5192 4526 4527 5189 5190 5174 18140 4763 18070 18063
9,9303 4082 4083 5297 4432 7602 4086 10117 5294 8203
10,3901 13416 8478 6288 12557 4348 6738 18422 4210 16097
11,18360 2730 4767 9196 10466 4784 2725 4770 4790 5192
12,4705 3529 4722 3534 9476 3528 9477 4721 3536 6986
13,4785 1023 5142 4487 5133 5144 4784 4480 4779 4179
14,5725 6201 7885 6200 4702 16463 9302 7887 4703 6209
15,18301 18299 12194 17661 6135 5650 3991 7493 394 15708
16,9202 9204 9201 9712 5297 11191 6167 7602 9446 12469
17,3251 7326 5645 5296 18081 6650 11890 5128 187 16262
18,8347 1689 9641 7326 1691 8257 4440 3105 6546 3627
19,7190 6289 8481 9714 7195 5112 4458 4030 9337 1105
20,4658 6391 4629 5610 10843 4968 8668 7495 4365 6167
21,3565 7368 6202 3576 9208 3572 3566 3595 7592 6203
22,7496 12257 4019 12355 3654 12358 3655 5113 16376 18292
23,4634 4691 9477 5147 7310 4280 9303 12194 10068 5044
24,5147 6793 6530 9229 8414 189 10277 9104 5291 4630
25,10167 4082 12705 4081 3105 14847 4057 5143 5645 6292
26,11734 17580 4627 3641 3568 5115 5562 7602 11222 14727
27,15102 15099 4747 15100 17558 13297 12469 4767 2234 5044
28,13206 2519 14779 3094 11393 2708 3146 12341 7688 11309
29,4287 6170 6173 5112 16137 5114 7353 4057 6289 6292
30,4280 17748 15706 8473 3785 16307 5593 10067 5671 7192
31,4634 4658 6794 3516 5297 15223 5875 5115 3514 8483
32,16232 18181 3983 7258 5296 5294 5113 6228 14852 1326
33,15118 8414 15099 15101 8666 8306 15100 6530 8526 7581
34,6174 4361 6171 4034 3922 5114 10466 9224 5112 10141
35,18153 8505 4844 5297 6404 8481 5113 6289 6292 8516
36,5089 4191 16137 4187 661 4033 10157 10158 7997 4284
39,18301 18299 10194 4795 4792 3655 5737 7493 10192 7496
40,5196 5752 4497 5186 15768 1241 1041 4838 6786 4448
41,4219 15101 4968 9126 5192 9475 9224 9446 3641 6228
42,6391 4658 4771 3059 5610 15907 7495 7583 4365 8414
43,5294 4024 7581 18291 5143 6289 10585 5835 8445 14847
44,3568 3569 15120 15119 9477 13202 15114 15099 4417 4223
45,725 3805 5562 7823 1685 3806 7706 13033 5661 7695
46,11734 6510 4359 1023 5276 17752 18100 8202 8478 10117
47,9236 3823 4035 7323 5296 5297 7153 5293 7121 17955
48,10141 6167 7584 5508 17580 10068 4629 6798 8635 18096
49,724 5508 5695 17507 3387 4300 4747 10067 6985 9126
50,9476 9477 4728 15030 10080 4638 9461 9048 8627 15706
51,724 5508 5695 17507 3387 4300 4747 10067 6985 9126
52,4128 8854 6356 5101 8853 8856 4214 11653 4209 12516
53,15114 15100 15099 9477 9709 6289 3568 10725 9461 3569
54,5562 3626 7655 3629 4440 7706 3624 4748 7710 5561
55,4280 197 192 194 187 6172 6171 234 6289 4410
56,4346 6117 4967 6118 4359 4693 16376 9002 3572 15908
57,5562 10466 17750 17752 3805 3554 16099 5561 3654 4967
59,4128 5715 207 11301 4214 5143 15908 737 5144 735
60,7657 7661 7662 5603 4446 5602 4440 3564 9263 5957
61,3529 4657 9199 3530 3531 4658 9204 9206 5143 8347
62,15852 11166 7118 7116 9599 8563 7357 13405 14319 13629
63,3572 15101 8666 7496 10068 3529 9092 4280 7662 10466
64,4703 12815 3806 8347 197 5135 192 11733 187 194
65,9202 15102 15100 15227 5190 15223 3568 12469 4790 7704
66,7823 4019 4018 7135 5645 4275 8872 192 15120 7825
67,10277 3568 17580 8008 7354 256 8535 4976 5291 9103
68,8008 10277 256 7495 7661 345 17559 4346 1943 9115
69,7496 7493 10451 5752 5737 3655 7495 3654 18248 2147
