user_id,item_list
0,10227 3569 6404 5562 6289 8635 8638 6530 10466 10067
1,  5455 15971  4410  5113  8306  5142  8638  4209  7259 15892
2,  4657  4658  5700  8666  1212   735 11734  6526  5732  9002
4, 4634 8666 4728 8982 5297 3827 5562 4731 5142 5147
5,  6798  4984  3806  8638  5645 12194 15892  4410  5610  6794
6, 16373 14909 10230  8635  4844 10945 17144  6343  5680 15636
7, 10466  6798  4057  4627  6808  8982  6404  8483  3827  3806
8,  5192  5190  5189  4526  4527  4528   189 10067  5191  4410
9,  9303  9335  5297  8483  5294 16767  8473  5128  4082  7581
10,  3901  4279 16178 11280  4325  3902  9459 10141  9224  5005
11, 18360 15380  2469  4767  3923  4627  2730  8668  7817  9031
12, 3529 8179 9476 6018 9103 4705 9477 4634 4721 3534
13,  1023  5455  2301  6531  4779 10924  5142  4785  5133 15030
14,  9302  8638  6526 10227 10067  2301  3565  6404 12469  3572
15, 12181  5113 12194  8666 10232 12469  3991   189 10914  5516
16,  9202  9204  9201  8982 12469  9446  6289  5297  5897 10466
17,  5645   187 10227  4361  3922  4657  5296  3251  9224 15892
18,  4361  8638  3105  8481 10227  7310  6289  8347  5294 10232
19, 10466  8306  4844  8638  9461 12469   192 10227  3806  6806
20, 18494  6068  6160  6161  6162  6163  6164  6165  6166  6167
21, 6526 3565 9208 8414 8666 3572 9448 9461 6404 8008
22,  7496  5113  4019 12257  8666  5044  5700  8481  5294  8982
23, 18494  6068  6160  6161  6162  6163  6164  6165  6166  6167
24, 18494  6068  6160  6161  6162  6163  6164  6165  6166  6167
25,  6404  5113 10167  6292  4410 15892  5297  8638  4057 14852
26, 18494  6068  6160  6161  6162  6163  6164  6165  6166  6167
27, 15102 15099 12469 15100  8638  8414  6404  1212  8666  4747
28,  2519 11395 13831 14779  7688  3956 11394 16209 13206   389
29, 6404 5114 6289 5112 8481 4410 6292 4057 4844 7310
30,  4280 17748 17752  5593  6404 10068 15707  8635   194   197
31,  4634 10466  4658  8483  5113  8638 15892  5297  5294  7172
32, 15892  4361  8481  5645  2301  5297  5294   189  8638  1212
33,  8414  8666  9448  6526  6530  7581 15101 15100  6289  9446
34,  4361  3922  5114  8638  8483  4034  5112  6292 10466  8481
