user_id,item_list
0, 3569 6530 8627 5700 5128 4416 6289 7642 6404 10227
1, 8984 8470 7259 16148 7671 6391 3531 3604 8202 3529
2, 4657 4658 11734 11733 735 739 737 5700 13837 15908
4, 4634 4638 4728 4637 4731 4723 4726 15303 17140 4713
5, 6798 6794 4013 12196 9641 12194 4748 12195 5645 5297
6, 14912 11715 14784 14910 15856 5305 4732 10359 3603 5570
7, 7174 5112 6798 4977 6880 10469 4220 9448 8505 4071
8, 5192 5189 5190 4527 4526 4771 5174 4770 2301 5206
9, 9303 5297 4082 4083 7602 5926 5294 8483 9305 5301
10, 3901 8478 4210 16097 3968 15841 8529 67 6288 4355
11, 18360 2730 4767 9196 4770 17987 2725 4790 4784 12142
12, 3529 4705 9477 3528 3534 9476 4722 3533 4721 3536
13, 1023 4785 4487 5133 5144 4481 5147 4784 4480 5118
14, 9302 6201 6200 7885 4702 5725 7887 6209 9263 4703
15, 18301 18299 10914 12194 6135 3991 5731 3641 10232 17661
16, 9202 9204 9201 9205 7602 9208 5112 9712 8306 5297
17, 3251 5296 7326 4037 5128 9224 187 8478 15892 5115
18, 8347 10141 3105 1689 8257 7326 6546 14865 12199 2103
19, 7190 7195 9714 5128 8179 6228 4458 5044 3541 5275
20, 4627 7199 8984 187 10067 15892 5196 8179 8564 6391
21, 3565 3576 9446 9208 3595 3566 8984 9199 7592 9205
22, 7496 12257 3654 3655 4019 5752 10141 7494 4346 4010
23, 5560 5142 1023 9014 197 8483 5294 8635 9461 724
24, 5114 15892 724 8483 197 5142 725 1023 187 4844
25, 3105 4057 14847 5114 4081 4082 10167 10142 5143 6648
26, 5700 4728 8526 1023 724 4687 6292 12469 4219 8445
27, 15099 15102 15100 12469 4747 192 8667 17558 8668 4767
28, 2519 13206 12341 3094 3146 2708 14779 6661 11393 15746
29, 5112 4287 4057 4220 6170 6289 6173 18288 4219 8483
30, 4280 17748 5593 15706 4410 9948 8635 10141 5598 8473
31, 4634 4658 6794 4346 6796 4359 8564 5291 6776 10466
32, 5294 4057 5296 189 15892 4976 16232 7640 17953 5610
33, 8306 8008 12030 15101 15100 15099 15118 8414 5897 6526
34, 4034 3105 8483 10141 6174 9224 5114 4361 14315 6171
35, 18153 8505 6793 4844 9014 8984 8481 5112 4057 8508
36, 5089 16137 4191 4187 4284 661 16578 9759 10158 4033
39, 3842 3655 4795 194 4792 18185 18301 18299 7493 4010
40, 4551 4554 5186 15577 1983 5322 4497 4690 4705 6284
41, 8445 6292 4627 8483 9302 10067 4693 6228 187 4844
42, 4410 5700 10469 7662 7642 6228 7172 3568 9103 7661
43, 5294 8445 9302 5143 4209 2301 14847 10141 197 9106
44, 3568 3569 15120 15119 9477 15114 4762 13202 8627 5896
45, 725 3805 5562 7706 3387 5561 3806 6943 4748 13825
46, 5700 8526 4728 10068 1023 724 12469 4687 725 10141
47, 10141 5296 5293 5301 4024 3823 9236 3970 5835 4219
48, 189 5143 12194 4410 10232 8526 5562 10227 7642 8414
