user_id,item_list
0,3569 10227 6530 6404 8638 3601 5113 9302 4416 6289
1,15892 8470 4410 9014 5113 8429 7354 5477 3565 5560
2,4657 4658 5732 4728 6526 8666 13208 4629 4726 4638
4,4634 4728 8666 5297 8982 5562 8564 4638 5147 6648
5,4984 6798 5645 12194 5610 8638 4013 6794 5113 8481
6,14909 13554 10945 10230 829 652 6484 13535 1429 14135
7,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
8,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
9,9303 5297 4082 5294 7199 5301 7602 12469 16767 8483
10,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
11,18360 2730 4767 2469 7817 10466 4361 15380 6881 5192
12,3529 4705 4722 3534 3533 3536 4721 6986 3528 3530
13,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
14,9302 7885 10227 10067 5725 6201 3565 6526 12469 7887
15,18301 18299 12181 17863 394 9451 16171 15708 393 395
16,9202 9204 9201 9446 12469 5297 8638 6289 8982 11191
17,7326 7325 3922 16262 11892 4361 16225 17732 15892 3818
18,3105 8347 12194 7326 6289 7352 14865 5297 6546 15892
19,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
20,9461 5113 14847 5645 3922 8638 7496 197 17955 7581
21,3565 9208 7592 3566 3576 3595 3572 3594 9205 9203
22,7496 12257 3654 3834 5294 3655 5044 5113 12355 8481
23,8638 1212 5113 17955 2301 3572 4657 8481 8666 14847
24,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
25,10167 8638 7310 4057 5114 6292 14847 5645 10466 12194
26,4361 3922 17955 15892 197 4034 5112 5113 6526 3572
27,15102 15099 15100 12469 8638 8414 6404 7583 2301 8666
28,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
29,5114 6289 6404 8481 6292 5112 7172 7310 4410 4844
30,4280 17752 8635 17748 5593 6404 7662 7581 4410 8473
31,4634 4658 10466 5294 8483 5113 15892 4361 6292 5297
32,15892 5297 5294 5645 189 8481 187 8666 4361 8186
33,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
34,4361 5114 3922 4034 10466 8483 4410 6404 5112 9224
35,5297 8481 6289 4844 5113 8635 8483 4070 6292 8506
36,4187 4033 7997 4191 4035 7706 4194 5090 11989 2771
39,3655 7496 5736 7493 7495 3842 18301 5737 18299 4010
40,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
