user_id,item_list
7,6798 4057 4977 7174 11222 5112 9014 6780 10469 10141
10,3901 13416 6288 8478 12557 4210 16097 4348 3968 67
13,4785 1023 4487 5133 5144 4784 4480 4481 4179 4779
19,7190 4458 7195 9714 4310 4030 1105 9930 4053 5049
23,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
26,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
28,13206 12341 3146 3094 2519 14779 11393 2708 6661 13174
33,15099 15118 8306 8414 8008 8666 15101 15100 6526 9461
40,5186 4497 1041 6786 15594 4448 1241 8568 15768 4510
42,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
44,3568 3569 15120 15119 15114 9477 13202 5896 6168 6169
46,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
48,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
51,724 5508 5695 3387 6686 17507 16485 17440 5026 6201
54,5562 7655 3626 7706 4748 3629 5561 4440 7710 5508
60,7661 7662 7657 5602 5603 4446 4440 9263 3564 5957
62,7118 11166 9599 7116 15852 1879 11011 12525 5878 8563
66,7823 4019 4018 4275 7135 8872 7416 5556 17551 3008
68,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
75,3852 7771 17601 17965 8171 18318 6231 9196 5703 15655
82,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
86,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
92,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
103,5653 5649 5470 5656 5044 5664 4416 17600 9104 12410
106,3970 6038 5296 3943 4352 16097 5853 7017 341 2368
109,5653 5661 5044 5664 4416 5649 10423 17600 5281 5470
115,5113 5115 10141 6018 4037 4623 11300 4358 4018 4102
119,8500 5645 10466 6292 7310 8179 8567 8478 126 4291
122,5297 4024 15674 3902 5331 14883 9456 6209 521 5336
125,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
127,3572 3566 3593 8982 7581 3582 8414 8984 9446 7592
131,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
135,724 5508 5695 3387 6686 17507 16485 17440 5026 6201
137,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
144,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
153,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
163,12516 8381 8389 3852 8853 3844 6235 6165 10277 7585
168,11942 8544 15399 7868 11000 9426 3171 12099 14325 5780
174,4984 18071 5522 345 12059 6971 4815 14883 8470 6741
178,4952 5009 5005 17989 968 17980 3795 8399 3815 3976
181,8513 376 17936 5566 944 15927 8338 18494 6164 6160
183,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
186,45 5188 17974 18230 4211 18308 4508 5458 156 4477
190,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
192,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
196,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
205,4124 4142 17558 4034 17732 17733 17735 657 4365 4035
214,2808 17816 11077 4249 8759 11854 9015 13545 404 11133
219,9605 11314 12047 3078 18301 1344 2279 4384 8196 6810
225,8668 8414 12469 2301 7581 8526 10227 4242 1212 4634
227,11834 12720 2232 814 13348 1535 1819 11853 14894 2233
230,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
233,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
238,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
240,4035 4033 3922 9228 4194 10813 9132 4365 4361 9124
242,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
246,3565 3593 3582 8404 8982 9446 3568 8984 3595 10843
254,10353 12123 9365 12066 7760 3067 2396 11239 10389 5133
258,3572 3565 6526 9446 7581 3566 5562 9461 9303 9199
260,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
264,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
266,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
270,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
283,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
285,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
289,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
294,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
298,10938 10940 10937 10934 10939 4949 6513 3626 9975 6546
302,9260 9263 5398 4764 9262 10783 2451 4768 4372 4149
307,4844 6516 6018 6551 14250 8635 5113 5672 8638 3509
314,6258 8162 6800 15333 1690 6831 12397 6468 12854 388
317,6706 2480 9858 3854 11360 9696 6171 6170 6172 6169
321,4361 3922 4365 4034 5297 4033 5455 15222 6780 4070
329,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
334,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
343,13297 13325 15150 1276 2537 13889 17782 3978 3075 15034
346,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
351,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
356,11220 5262 11218 6265 4952 6393 4628 5291 6808 4033
359,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
361,11214 13325 2234 1321 12969 1075 8028 16303 6356 8135
364,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
367,9093 10112 8914 5416 8915 9465 8506 5417 9911 13577
370,4844 5113 8635 6289 4410 7581 6018 2301 14847 5143
372,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
388,7455 4446 13838 15907 15707 5753 7196 256 4070 5957
393,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
397,15810 17505 3449 11457 6166 6161 6162 6163 6164 6165
399,9115 5141 13842 16170 8203 10575 3934 11233 6166 6163
414,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
417,7146 3349 13048 4059 5425 6716 5574 11916 9412 14863
419,5518 3897 1492 4696 3604 4416 2669 3509 4242 9948
422,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
425,194 187 3805 6954 3641 131 6956 10067 8638 4691
432,7374 7372 16162 18157 114 7376 7375 9248 11399 2692
435,15398 16303 8475 6329 16726 16994 6161 6162 6163 6164
438,3542 3541 5940 5280 6046 6176 10050 7578 5155 2264
444,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
447,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
459,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
468,4279 8186 6404 6014 4280 8179 5114 8415 6780 6808
472,189 192 187 194 10067 8638 4691 4657 10068 5560
474,4748 5044 4404 8349 5223 234 11906 5653 4344 3992
476,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
481,15841 16376 4351 4343 3971 7517 17782 3978 3075 3090
483,4629 11960 3807 4416 5656 3636 3816 11220 8360 4937
488,7310 10466 5112 5114 4844 8666 8483 5142 15119 6404
490,4035 4033 3922 9228 4194 4365 4361 9224 4193 4124
492,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
495,6292 9224 4844 10466 4365 7310 4034 10227 5455 3922
497,15473 4882 4867 4695 13602 13590 3829 6833 18081 6309
500,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
503,3190 15262 7779 1009 1832 2585 3024 13530 5698 857
505,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
511,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
514,15801 16304 10039 4784 15804 2263 17742 6161 6162 6163
516,6692 5697 13842 13172 8385 5686 1284 16433 18494 6164
521,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
523,5143 1023 8666 5142 4762 8526 8638 5562 5147 10067
526,8535 3897 15385 4805 5554 17349 4396 18185 3569 9712
528,4513 5120 5128 4806 5149 5135 4755 4399 6637 1193
530,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
540,5562 5508 192 189 724 5561 5156 8666 5142 15119
544,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
548,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
552,4000 67 14847 12199 12201 10636 12181 8363 2103 2835
562,8523 8515 8508 4514 8516 4513 8518 8502 9111 16339
564,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
573,16220 16211 16175 16700 16232 16179 16706 16698 16696 4059
577,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
579,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
588,10298 15110 6757 2956 10734 15548 6160 6161 6162 6163
592,17957 18031 18352 18351 17966 5005 12121 3873 15303 16281
595,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
600,8666 5142 15119 5562 10227 3805 7310 4280 189 192
603,5143 2301 10068 7581 5147 4481 14847 197 10227 6404
606,7584 4361 8708 9655 4755 4795 5460 9224 5458 5190
614,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
618,4748 5044 4952 4404 4629 5009 5510 8349 5649 5223
622,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
624,10235 6240 6081 14179 18135 6424 7601 5666 18268 7986
628,2983 1887 14772 12340 277 11831 6162 6163 6164 6165
638,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
643,447 2116 446 1782 4668 1760 14342 13154 15670 9151
645,6021 4976 5005 6808 5840 5007 9645 5013 4091 5391
656,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
662,12228 14083 12815 13566 13032 3065 13894 13298 410 8494
667,8567 10966 17620 8565 13836 16584 5156 17791 5741 8563
670,6513 8893 6281 6284 11127 5729 2730 16765 9932 6269
673,8500 4291 8865 10160 7425 4931 17812 7150 5882 16767
675,4768 5196 5572 7594 5568 5573 5222 4513 18163 4795
679,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
682,5393 11299 15694 12839 18494 6166 6161 6162 6163 6164
685,10179 16681 8171 6637 5246 6796 6296 6829 15867 8698
692,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
695,4396 7602 5196 3897 5429 6167 5518 3252 4805 14353
702,5645 8179 15892 5297 10466 6292 7310 5142 5700 5294
704,4487 4404 9104 14445 4456 6405 8175 8142 380 16236
711,6648 4629 6637 3807 6646 4416 5656 3636 6638 4432
714,4720 4719 3654 7495 3842 7496 5737 4688 16307 7493
716,5561 5508 3805 7651 5661 724 5463 7627 8982 5044
720,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
728,3407 5009 3399 12015 9347 5471 9868 11409 15262 1931
734,11733 735 739 736 13838 15908 13837 738 737 5700
739,11783 14040 11005 10062 12347 2661 7944 6685 7320 5556
744,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
746,8186 6404 6014 8179 5114 17140 127 6167 6780 6808
752,9229 3822 4035 5612 8368 10169 4006 3818 10297 8247
756,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
759,9303 5142 6641 5128 2301 6648 5147 4762 8308 7602
764,8960 373 374 18288 5714 17584 4349 17768 18268 17283
769,7437 12038 18494 6162 6163 6164 6165 6166 6167 6168
778,5113 4057 6289 8481 5112 5645 8483 7310 4687 6793
780,11191 3568 5896 5895 5189 8626 256 2586 6504 3620
782,8856 4059 8399 4051 17636 8336 9149 3049 9920 2255
785,17594 3820 488 389 220 4113 4284 12000 6789 7508
787,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
793,10167 10157 10152 10158 8556 10154 18080 10297 8555 8565
796,7259 4691 4693 6205 4696 5275 4695 3541 5926 4703
798,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
802,5561 5508 3805 7651 724 7627 8982 5044 2301 1212
806,17863 4968 234 12852 231 9043 17858 5611 8674 17620
808,6835 10725 6374 3831 8223 3829 8552 17505 18246 6891
811,4703 4704 10163 6289 1944 8481 10169 8635 1212 8445
813,11393 7192 2709 232 5739 9129 10459 17836 7978 10511
817,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
820,8978 4209 2379 8834 11218 9641 6021 567 13599 1386
823,4010 7493 7495 3830 17836 3841 8347 8889 14190 9236
826,3192 14844 3860 2937 12811 5072 6165 6161 6162 6163
833,3608 6144 14179 15954 9246 5590 12259 4023 7340 13319
836,254 253 15662 8507 4110 7467 8166 17953 17169 13523
839,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
842,13275 8331 11529 3903 15511 9427 15262 16755 12937 9620
844,8361 2451 5481 5270 8347 5502 5475 15385 4472 18248
849,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
854,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
857,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
861,8179 4279 6018 4280 8415 12038 14851 647 12037 6852
863,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
866,17768 5929 8960 10037 10077 17764 4041 5550 15801 7352
868,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
870,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
872,5732 16584 207 5523 5005 4623 9013 10163 231 5840
874,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
880,3655 7493 7496 5736 3842 5737 7495 5752 4010 5061
885,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
889,4197 4201 6049 8872 9938 1990 6163 6164 6165 6166
891,4169 7142 3902 17782 3075 3978 3090 17567 5184 2740
895,256 3996 4000 13348 7704 8825 5564 3886 12852 18111
898,15398 16303 12801 15200 3931 3373 678 2332 8475 10030
904,216 577 9655 2586 11218 1689 4098 17773 13241 7292
912,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
920,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
923,5113 11222 5034 16209 15299 4201 15309 15929 9407 12552
937,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
939,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
943,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
955,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
957,4169 3902 7600 4768 11337 8983 2740 964 3128 11328
959,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
964,6289 15235 5113 8481 15236 7310 9224 3611 4219 5951
967,5746 16286 5710 4377 12016 4368 5707 11242 5708 5688
969,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
971,7603 8218 15655 6855 6164 6159 6160 6161 6162 6163
976,5433 4357 7944 4346 5252 4712 4355 4344 16374 16341
980,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
986,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
988,4279 4280 17266 15749 8415 3245 5183 16106 14851 7490
990,14203 14208 5043 13644 11028 3825 17889 12046 9630 11453
992,10466 5112 5114 4844 8483 6404 6292 4410 6289 7310
994,16659 9224 4365 4034 5455 3922 16182 4035 4123 4362
1000,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1002,739 736 5296 735 11733 11734 5645 15908 15892 10813
1005,7584 9224 4365 4034 5455 3922 16182 4035 4123 4362
1008,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1012,8308 9477 5142 15030 5128 2301 5147 4762 14754 8638
1015,4481 4480 4491 14196 2788 11248 4149 9073 8084 5185
1017,145 12761 12527 12763 18175 12661 5137 8900 9129 4312
1019,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1023,17989 4035 4033 17988 3922 9228 4194 16397 4365 4361
1027,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1029,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1037,145 5555 8203 16256 5058 6641 15800 4230 15985 16433
1040,8179 6018 12038 12037 5434 6662 11383 6437 6165 6162
1043,6292 4844 10466 7310 10227 4279 5113 8483 8481 5112
1047,8399 6159 5374 8396 8380 8552 3603 8854 5887 18091
1049,3289 2732 18311 11048 11384 12754 18494 6167 6163 6164
1051,3105 14865 14867 14876 14851 3100 10142 14870 14883 14852
1056,6292 4844 10466 7310 10227 4279 5113 8483 8481 5112
1063,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1077,11734 739 735 738 15908 737 736 13837 5700 13838
1082,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1086,5275 6901 7199 7192 8306 17752 7642 8309 15706 17748
1097,1166 15966 10130 6165 6159 6160 6161 6162 6163 6164
1099,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1103,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1108,16278 5008 18031 5378 10197 5012 3580 14452 15249 6019
1115,5671 4702 10575 9106 8535 5602 4703 5603 4704 4531
1118,3572 3565 6526 9446 7581 8505 3566 5562 9461 9303
1120,9228 9236 4035 5623 4123 5624 17732 6731 7323 11438
1126,8873 6286 8871 5181 6282 18360 16743 7824 16345 5909
1132,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1134,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1140,15100 15101 15102 12469 8668 8414 2301 7581 8526 10227
1145,4273 4182 5467 5394 5686 6789 5181 5338 10812 16265
1148,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
1150,3942 4069 8182 3971 15855 17865 3928 17870 3947 2154
