row,col,data
0,255,1.0
1,846,1.0
2,844,1.0
3,13,1.0
4,13,1.0
5,13,1.0
6,13,1.0
7,13,1.0
8,13,1.0
9,228,1.0
10,482,1.0
11,438,1.0
12,803,1.0
13,474,1.0
14,12,1.0
15,755,1.0
16,842,1.0
17,795,1.0
18,569,1.0
19,569,1.0
20,23,1.0
21,23,1.0
22,23,1.0
23,31,1.0
24,31,1.0
25,31,1.0
26,65,1.0
27,766,1.0
28,766,1.0
29,766,1.0
30,766,1.0
31,585,1.0
32,30,1.0
33,30,1.0
34,763,1.0
35,438,1.0
36,35,1.0
37,644,1.0
38,324,1.0
39,737,1.0
40,538,1.0
41,639,1.0
42,633,1.0
43,776,1.0
44,332,1.0
45,657,1.0
46,19,1.0
47,28,1.0
48,221,1.0
49,134,1.0
50,134,1.0
51,630,1.0
52,452,1.0
53,452,1.0
54,843,1.0
55,425,1.0
56,425,1.0
57,681,1.0
58,845,1.0
59,743,1.0
60,553,1.0
61,553,1.0
62,553,1.0
63,553,1.0
64,553,1.0
65,114,1.0
66,114,1.0
67,114,1.0
68,22,1.0
69,22,1.0
70,22,1.0
71,577,1.0
72,508,1.0
73,70,1.0
74,840,1.0
75,224,1.0
76,840,1.0
77,657,1.0
78,452,1.0
79,531,1.0
80,531,1.0
81,375,1.0
82,562,1.0
83,234,1.0
84,532,1.0
85,436,1.0
86,324,1.0
87,627,1.0
88,224,1.0
89,226,1.0
90,324,1.0
91,421,1.0
92,114,1.0
93,27,1.0
94,27,1.0
95,752,1.0
96,844,1.0
97,464,1.0
98,27,1.0
99,325,1.0
100,532,1.0
101,532,1.0
102,425,1.0
103,116,1.0
104,126,1.0
105,436,1.0
106,226,1.0
107,845,1.0
108,776,1.0
109,627,1.0
110,627,1.0
111,538,1.0
112,221,1.0
113,108,1.0
114,432,1.0
115,322,1.0
116,106,1.0
117,840,1.0
118,106,1.0
119,144,1.0
120,627,1.0
121,126,1.0
122,339,1.0
123,762,1.0
124,438,1.0
125,762,1.0
126,144,1.0
127,546,1.0
128,246,1.0
129,448,1.0
130,766,1.0
131,743,1.0
132,743,1.0
133,35,1.0
134,898,1.0
135,5,1.0
136,761,1.0
137,448,1.0
138,332,1.0
139,35,1.0
140,121,1.0
141,249,1.0
142,121,1.0
143,249,1.0
144,565,1.0
145,755,1.0
146,680,1.0
147,332,1.0
148,412,1.0
149,182,1.0
150,12,1.0
151,437,1.0
152,226,1.0
153,226,1.0
154,12,1.0
155,8,1.0
156,636,1.0
157,636,1.0
158,636,1.0
159,542,1.0
160,633,1.0
161,633,1.0
162,335,1.0
163,12,1.0
164,121,1.0
165,654,1.0
166,642,1.0
167,332,1.0
168,446,1.0
169,546,1.0
170,640,1.0
171,235,1.0
172,16,1.0
173,748,1.0
174,547,1.0
175,16,1.0
176,329,1.0
177,432,1.0
178,118,1.0
179,456,1.0
180,230,1.0
181,332,1.0
182,432,1.0
183,640,1.0
184,630,1.0
185,70,1.0
186,630,1.0
187,630,1.0
188,835,1.0
189,630,1.0
190,427,1.0
191,329,1.0
192,630,1.0
193,849,1.0
194,630,1.0
195,630,1.0
196,739,1.0
197,630,1.0
198,748,1.0
199,342,1.0
200,117,1.0
201,117,1.0
202,643,1.0
203,259,1.0
204,19,1.0
205,611,1.0
206,611,1.0
207,441,1.0
208,441,1.0
209,234,1.0
210,342,1.0
211,432,1.0
212,448,1.0
213,329,1.0
214,23,1.0
215,234,1.0
216,362,1.0
217,843,1.0
218,846,1.0
219,242,1.0
220,646,1.0
221,121,1.0
222,432,1.0
223,644,1.0
224,646,1.0
225,670,1.0
226,845,1.0
227,226,1.0
228,226,1.0
229,437,1.0
230,437,1.0
231,640,1.0
232,640,1.0
