row,col,data
0,566,1.0
1,451,1.0
2,307,1.0
3,588,1.0
4,588,1.0
5,588,1.0
6,588,1.0
7,588,1.0
8,88,1.0
9,396,1.0
10,124,1.0
11,249,1.0
12,644,1.0
13,559,1.0
14,588,1.0
15,408,1.0
16,905,1.0
17,864,1.0
18,3,1.0
19,3,1.0
20,1,1.0
21,1,1.0
22,1,1.0
23,264,1.0
24,264,1.0
25,264,1.0
26,732,1.0
27,398,1.0
28,398,1.0
29,398,1.0
30,398,1.0
31,282,1.0
32,398,1.0
33,398,1.0
34,961,1.0
35,451,1.0
36,414,1.0
37,693,1.0
38,612,1.0
39,108,1.0
40,1007,1.0
41,588,1.0
42,396,1.0
43,299,1.0
44,289,1.0
45,857,1.0
46,149,1.0
47,824,1.0
48,779,1.0
49,977,1.0
50,977,1.0
51,541,1.0
52,498,1.0
53,498,1.0
54,690,1.0
55,271,1.0
56,271,1.0
57,450,1.0
58,161,1.0
59,184,1.0
60,270,1.0
61,270,1.0
62,270,1.0
63,270,1.0
64,138,1.0
65,612,1.0
66,256,1.0
67,256,1.0
68,311,1.0
69,499,1.0
70,499,1.0
71,109,1.0
72,446,1.0
73,188,1.0
74,396,1.0
75,872,1.0
76,396,1.0
77,615,1.0
78,22,1.0
79,174,1.0
80,108,1.0
81,983,1.0
82,15,1.0
83,162,1.0
84,112,1.0
85,289,1.0
86,571,1.0
87,108,1.0
88,872,1.0
89,900,1.0
90,1007,1.0
91,1018,1.0
92,888,1.0
93,246,1.0
94,246,1.0
95,998,1.0
96,739,1.0
97,957,1.0
98,246,1.0
99,888,1.0
100,340,1.0
101,6,1.0
102,6,1.0
103,221,1.0
104,142,1.0
105,255,1.0
106,671,1.0
107,602,1.0
108,506,1.0
109,681,1.0
110,541,1.0
111,344,1.0
112,291,1.0
113,541,1.0
114,888,1.0
115,1008,1.0
116,39,1.0
117,55,1.0
118,309,1.0
119,493,1.0
120,108,1.0
121,602,1.0
122,162,1.0
123,774,1.0
124,289,1.0
125,774,1.0
126,322,1.0
127,213,1.0
128,552,1.0
129,246,1.0
130,201,1.0
131,612,1.0
132,612,1.0
133,952,1.0
134,429,1.0
135,226,1.0
136,403,1.0
137,156,1.0
138,451,1.0
139,322,1.0
140,307,1.0
141,649,1.0
142,307,1.0
143,950,1.0
144,265,1.0
145,574,1.0
146,506,1.0
147,289,1.0
148,353,1.0
149,591,1.0
150,612,1.0
151,464,1.0
152,541,1.0
153,28,1.0
154,991,1.0
155,365,1.0
156,368,1.0
157,571,1.0
158,571,1.0
159,140,1.0
160,900,1.0
161,900,1.0
162,445,1.0
163,612,1.0
164,67,1.0
165,615,1.0
166,167,1.0
167,739,1.0
168,697,1.0
169,998,1.0
170,289,1.0
171,403,1.0
172,314,1.0
173,255,1.0
174,403,1.0
175,249,1.0
176,289,1.0
177,293,1.0
178,938,1.0
179,99,1.0
180,307,1.0
181,161,1.0
182,905,1.0
183,289,1.0
184,340,1.0
185,34,1.0
186,340,1.0
187,340,1.0
188,770,1.0
189,340,1.0
190,507,1.0
191,221,1.0
192,340,1.0
193,487,1.0
